Index	Value
0	2
1	40
2	0
3	19
4	2
5	45
6	0
7	15
8	2
9	43
10	0
11	10
12	2
13	43
14	0
15	13
16	2
17	48
18	0
19	7
20	2
21	37
22	0
23	5
24	2
25	36
26	0
27	2
28	2
29	32
30	0
31	7
32	2
33	30
34	-1
35	-2
36	2
37	28
38	0
39	0
40	2
41	28
42	0
43	0
44	2
45	21
46	-1
47	-5
48	2
49	18
50	-1
51	-5
52	2
53	16
54	-1
55	-7
56	2
57	11
58	-1
59	-4
60	2
61	12
62	-1
63	-7
64	2
65	10
66	0
67	2
68	2
69	15
70	-1
71	-4
72	2
73	12
74	0
75	0
76	2
77	13
78	-1
79	-3
80	2
81	12
82	-1
83	-1
84	2
85	10
86	-1
87	-1
88	2
89	9
90	-1
91	-4
92	2
93	7
94	-1
95	-6
96	2
97	8
98	-1
99	-6
100	2
101	11
102	-1
103	-8
104	2
105	5
106	-1
107	-15
108	1
109	-1
110	-1
111	-13
112	1
113	-6
114	-1
115	-15
116	1
117	-8
118	-1
119	-10
120	1
121	-10
122	-1
123	-5
124	1
125	-12
126	-1
127	-13
128	1
129	-10
130	-1
131	-10
132	1
133	-16
134	-1
135	-13
136	1
137	-12
138	-1
139	-18
140	1
141	-13
142	-1
143	-15
144	1
145	-8
146	-1
147	-13
148	1
149	-5
150	-1
151	-10
152	2
153	0
154	-1
155	-10
156	1
157	-4
158	-1
159	-8
160	2
161	0
162	-1
163	-8
164	2
165	7
166	0
167	0
168	1
169	-1
170	-1
171	-1
172	2
173	1
174	0
175	0
176	1
177	-4
178	-1
179	-6
180	1
181	-1
182	0
183	0
184	2
185	3
186	0
187	4
188	2
189	1
190	0
191	1
192	2
193	1
194	0
195	3
196	2
197	4
198	0
199	9
200	2
201	4
202	0
203	5
204	2
205	3
206	0
207	1
208	2
209	4
210	0
211	7
212	1
213	-7
214	0
215	7
216	1
217	-12
218	0
219	10
220	1
221	-18
222	0
223	12
224	1
225	-17
226	0
227	9
228	1
229	-23
230	0
231	5
232	1
233	-31
234	0
235	5
236	1
237	-31
238	0
239	14
240	1
241	-37
242	0
243	15
244	1
245	-39
246	0
247	21
248	1
249	-42
250	0
251	17
252	1
253	-40
254	0
255	17
256	1
257	-44
258	0
259	16
260	1
261	-50
262	0
263	17
264	1
265	-49
266	0
267	21
268	1
269	-54
270	0
271	23
272	1
273	-57
274	0
275	24
276	1
