Index	Value
0	-3
1	-68
2	-2
3	25
4	-3
5	-44
6	-2
7	13
8	-3
9	-62
10	-3
11	-5
12	-3
13	-66
14	-2
15	17
16	-3
17	-42
18	-2
19	42
20	-3
21	-33
22	-2
23	21
24	-3
25	-51
26	-2
27	26
28	-3
29	-42
30	-2
31	43
32	-3
33	-30
34	-2
35	42
36	-3
37	-28
38	-2
39	43
40	-3
41	-27
42	-2
43	32
44	-3
45	-40
46	-2
47	38
48	-3
49	-27
50	-2
51	73
52	-3
53	-7
54	-2
55	77
56	-3
57	-11
58	-2
59	47
60	-3
61	-34
62	-2
63	51
64	-3
65	-34
66	-2
67	50
68	-3
69	-18
70	-2
71	36
72	-3
73	-14
74	-2
75	52
76	-3
77	-5
78	-2
79	73
80	-2
81	12
82	-2
83	78
84	-2
85	6
86	-2
87	80
88	-2
89	10
90	-2
91	77
92	-2
93	32
94	-2
95	106
96	-2
97	43
98	-2
99	118
100	-2
101	30
102	-2
103	106
104	-2
105	44
106	-2
107	112
108	-2
109	44
110	-2
111	87
112	-2
113	31
114	-2
115	83
116	-2
117	38
118	-2
119	108
120	-2
121	43
122	-2
123	90
124	-2
125	33
126	-2
127	66
128	-2
129	33
130	-2
131	102
132	-2
133	63
134	-2
135	114
136	-2
137	69
138	-2
139	100
140	-2
141	88
142	-2
143	-123
144	-2
145	104
146	-2
147	126
148	-2
149	101
150	-2
151	-124
152	-2
153	104
154	-2
155	-117
156	-2
157	110
158	-2
159	-119
160	-2
161	-125
162	-2
163	-90
164	-2
165	-108
166	-2
167	-69
168	-2
169	-109
170	-2
171	-63
172	-2
173	-99
174	-2
175	-68
176	-2
177	-95
178	-2
179	-92
180	-2
181	-108
182	-2
183	-112
184	-2
185	-122
186	-2
187	127
188	-2
189	-119
190	-2
191	-127
192	-2
193	-89
194	-2
195	-90
196	-2
197	-80
198	-2
199	-79
200	-2
201	-87
202	-2
203	-74
204	-2
205	-80
206	-2
207	-73
208	-2
209	-72
210	-2
211	-76
212	-2
213	-45
214	-2
215	-76
216	-2
217	-33
218	-2
219	-65
220	-2
221	-35
222	-2
223	-45
224	-2
225	-25
226	-2
227	-50
228	-2
229	-27
230	-2
231	-39
232	-2
233	-20
234	-2
235	-28
236	-2
237	-13
238	-2
239	-25
240	-2
241	-4
242	-1
243	0
244	-1
245	13
246	-1
247	3
248	-1
249	16
250	-2
251	-11
252	-1
253	20
254	-1
255	3
256	-1
257	20
258	-1
259	13
260	-1
261	20
262	-1
263	17
264	-1
265	29
266	-1
267	28
268	-1
269	40
270	-1
271	40
272	-1
273	54
274	-1
275	41
276	-1
277	52
278	-1
279	39
280	-1
281	51
282	-1
283	52
284	-1
285	76
286	-1
287	81
288	-1
289	106
290	-1
291	111
292	-1
293	112
294	-1
295	124
296	-1
297	110
298	-1
299	124
300	-1
301	123
302	-1
303	123
304	-1
305	120
306	-1
307	120
308	-1
309	117
310	-1
311	-119
312	-1
313	-127
314	-1
315	-113
316	-1
317	-126
318	-1
319	-120
320	-1
321	-118
322	-1
323	-116
324	-1
325	-112
326	-1
327	-118
328	-1
329	-126
330	-1
331	-120
332	-1
333	119
334	-1
335	114
336	-1
337	-125
338	-1
339	-121
340	-1
341	-95
342	-1
343	-69
344	-1
345	-65
346	-1
347	-51
348	-1
349	-57
350	-1
351	-16
352	-1
353	-55
354	-1
355	-7
356	-1
357	-61
358	-1
359	-30
360	-1
361	-56
362	-1
363	-19
364	-1
365	-47
366	-1
367	-3
368	-1
369	-36
370	-1
371	-3
372	-1
373	-39
374	-1
375	-7
376	-1
377	-41
378	-1
379	-11
380	-1
381	-42
382	0
383	3
384	-1
385	-31
386	0
387	15
388	-1
389	-29
390	0
391	22
392	-1
393	-21
394	0
395	55
396	0
397	2
398	0
399	64
400	0
401	5
402	0
403	64
404	0
405	5
406	0
407	76
408	0
409	0
410	0
411	70
412	0
413	6
414	0
415	72
416	0
417	24
418	0
419	104
420	0
421	28
422	0
423	115
424	0
425	23
426	0
427	106
428	0
429	20
430	0
431	122
432	0
433	35
434	0
435	-113
436	0
437	38
438	0
439	126
440	0
441	39
442	0
443	-127
444	0
445	42
446	0
447	-100
448	0
449	39
450	0
451	-82
452	0
453	42
454	0
455	-69
456	0
457	65
458	0
459	-32
460	0
461	79
462	0
463	-8
464	0
465	77
466	0
467	-17
468	0
469	58
470	0
471	-47
472	0
473	47
474	0
475	-34
476	0
477	66
478	0
479	-12
480	0
481	66
482	0
483	-42
484	0
485	39
486	0
487	-53
488	0
489	31
490	0
491	-8
492	0
493	34
494	1
495	0
496	0
497	41
498	0
499	-6
500	0
501	57
502	1
503	28
504	0
505	74
506	1
507	19
508	0
509	77
510	1
511	9
512	0
513	49
514	1
515	14
516	0
517	50
518	1
519	27
520	0
521	74
522	1
523	72
524	0
525	95
526	1
527	91
528	0
529	83
530	1
531	71
532	0
533	64
534	1
535	90
536	0
537	66
538	1
539	99
540	0
541	66
542	1
543	68
544	0
545	81
546	1
547	90
548	0
549	88
550	1
551	103
552	0
553	59
554	1
555	98
556	0
557	45
558	1
559	98
560	0
561	46
562	1
563	97
564	0
565	66
566	1
567	104
568	0
569	70
570	1
571	124
572	0
573	64
574	1
575	-124
576	0
577	62
578	1
579	115
580	0
581	56
582	1
583	109
584	0
585	59
586	1
587	123
588	0
589	79
590	1
591	-99
592	0
593	87
594	1
595	-78
596	0
597	89
598	1
599	-64
600	0
601	85
602	1
603	-80
604	0
605	73
606	1
607	-107
608	0
609	59
610	1
611	127
612	0
613	49
614	1
615	-127
616	0
617	54
618	1
619	-107
620	0
621	69
622	1
623	-98
624	0
625	65
626	1
627	-85
628	0
629	62
630	1
631	-92
632	0
633	50
634	1
635	-106
636	0
637	45
638	1
639	-94
640	0
641	50
642	1
643	-97
644	0
645	57
646	1
647	-71
648	0
649	69
650	1
651	-72
652	0
653	71
654	1
655	-59
656	0
657	55
658	1
659	-73
660	0
661	38
662	1
663	-79
664	0
665	50
666	1
667	-66
668	0
669	58
670	1
671	-85
672	0
673	73
674	1
675	-69
676	0
677	68
678	1
679	-55
680	0
681	59
682	1
683	-39
684	0
685	69
686	1
687	-38
688	0
689	71
690	1
691	-27
692	0
693	73
694	1
695	-40
696	0
697	53
698	1
699	-65
700	0
701	43
702	1
703	-73
704	0
705	55
706	1
707	-71
708	0
709	32
710	1
711	-97
712	0
713	23
714	1
715	-93
716	0
717	39
718	1
719	-55
720	0
721	58
722	1
723	-50
724	0
725	72
726	1
727	-60
728	0
729	70
730	1
731	-54
732	0
733	67
734	1
735	-57
736	0
737	74
738	1
739	-69
740	0
741	80
742	1
743	-46
744	0
745	96
746	1
747	-40
748	0
749	73
750	1
751	-67
752	0
753	63
754	1
755	-55
756	0
757	70
758	1
759	-46
760	0
761	67
762	1
763	-55
764	0
765	63
766	1
767	-58
768	0
769	64
770	1
771	-50
772	0
773	67
774	1
775	-58
776	0
777	53
778	1
779	-79
780	0
781	52
782	1
783	-70
784	0
785	51
786	1
787	-79
788	0
789	46
790	1
791	-62
792	0
793	54
794	1
795	-37
796	0
797	50
798	1
799	-61
800	0
801	51
802	1
803	-67
804	0
805	68
806	1
807	-69
808	0
809	81
810	1
811	-49
812	0
813	96
814	1
815	-25
816	0
817	76
818	1
819	-49
820	0
821	56
822	1
823	-39
824	0
825	57
826	1
827	-69
828	0
829	50
830	1
831	-102
832	0
833	55
834	1
835	-68
836	0
837	74
838	1
839	-53
840	0
841	92
842	1
843	-55
844	0
845	90
846	1
847	-46
848	0
849	95
850	1
851	-34
852	0
853	115
854	1
855	-40
856	0
857	96
858	1
859	-69
860	0
861	97
862	1
863	-42
864	0
865	127
866	1
867	-22
868	0
869	-124
870	1
871	-41
872	0
873	-122
874	1
875	-42
876	0
877	-120
878	1
879	-33
880	0
881	119
882	1
883	-75
884	0
885	91
886	1
887	-103
888	0
889	82
890	1
891	-84
892	0
893	100
894	1
895	-76
896	0
897	116
898	1
899	-79
900	0
901	-125
902	1
903	-74
904	0
905	-117
906	1
907	-55
908	0
909	-112
910	1
911	-52
912	0
913	-115
914	1
915	-29
916	0
917	-113
918	1
919	-45
920	0
921	-113
922	1
923	-73
924	0
925	-127
926	1
927	-75
928	0
929	124
930	1
931	-74
932	0
933	-120
934	1
935	-65
936	0
937	-104
938	1
939	-61
940	0
941	-97
942	1
943	-55
944	0
945	-91
946	1
947	-83
948	0
949	-124
950	1
951	-124
952	0
953	112
954	1
955	-123
956	0
957	-127
958	1
959	-99
960	0
961	-101
962	1
963	-93
964	0
965	-89
966	1
967	-76
968	0
969	-93
970	1
971	-47
972	0
973	-108
974	1
975	-76
976	0
977	-118
978	1
979	-114
980	0
981	-113
982	1
983	-97
984	0
985	-110
986	1
987	-97
988	0
989	-120
990	1
991	-120
992	0
993	-123
994	1
995	-117
996	0
997	-125
998	1
999	-109
1000	0
1001	124
1002	1
1003	-103
1004	0
1005	-126
1006	1
1007	-76
1008	0
1009	-111
1010	1
1011	-53
1012	0
1013	-98
1014	1
1015	-95
1016	0
1017	-114
1018	1
1019	121
1020	0
1021	125
1022	1
1023	-123
1024	0
1025	-117
1026	1
1027	-116
1028	0
1029	-94
1030	1
1031	-110
1032	0
1033	-73
1034	1
1035	-79
1036	0
1037	-70
1038	1
1039	-65
1040	0
1041	-74
1042	1
1043	-63
1044	0
1045	-71
1046	1
1047	-80
1048	0
1049	-62
1050	1
1051	-87
1052	0
1053	-45
1054	1
1055	-79
1056	0
1057	-31
1058	1
1059	-77
1060	0
1061	-34
1062	1
1063	-67
1064	0
1065	-51
1066	1
1067	-81
1068	0
1069	-56
1070	1
1071	-83
1072	0
1073	-43
1074	1
1075	-84
1076	0
1077	-55
1078	1
1079	-113
1080	0
1081	-57
1082	1
1083	-96
1084	0
1085	-30
1086	1
1087	-75
1088	0
1089	-12
1090	1
1091	-77
1092	0
1093	-18
1094	1
1095	-68
1096	0
1097	-15
1098	1
1099	-61
1100	0
1101	-22
1102	1
1103	-59
1104	0
1105	-31
1106	1
1107	-72
1108	0
1109	-27
1110	1
1111	-65
1112	0
1113	-7
1114	1
1115	-52
1116	1
1117	3
1118	1
1119	-80
1120	0
1121	-14
1122	1
1123	-92
1124	0
1125	-30
1126	1
1127	-74
1128	0
1129	-25
1130	1
1131	-53
1132	0
1133	-15
1134	1
1135	-56
1136	1
1137	2
1138	1
1139	-55
1140	0
1141	-2
1142	1
1143	-63
1144	0
1145	-29
1146	1
1147	-87
1148	0
1149	-41
1150	1
1151	-94
1152	0
1153	-23
1154	1
1155	-99
1156	0
1157	-11
1158	1
1159	-92
1160	0
1161	-3
1162	1
1163	-43
1164	1
1165	10
1166	1
1167	-50
1168	1
1169	8
1170	1
1171	-58
1172	1
1173	8
1174	1
1175	-48
1176	1
1177	18
1178	1
1179	-45
1180	1
1181	16
1182	1
1183	-50
1184	1
1185	8
1186	1
1187	-61
1188	1
1189	5
1190	1
1191	-68
1192	0
1193	-7
1194	1
1195	-61
1196	0
1197	-3
1198	1
1199	-68
1200	0
1201	-12
1202	1
1203	-81
1204	0
1205	-15
1206	1
1207	-85
1208	0
1209	-39
1210	1
1211	-86
1212	0
1213	-48
1214	1
1215	-103
1216	0
1217	-47
1218	1
1219	-124
1220	0
1221	-62
1222	1
1223	127
1224	0
1225	-54
1226	1
1227	-106
1228	0
1229	-52
1230	1
1231	-101
1232	0
1233	-66
1234	1
1235	-119
1236	0
1237	-73
1238	1
1239	-107
1240	0
1241	-77
1242	1
1243	-107
1244	0
1245	-83
1246	1
1247	-123
1248	0
1249	-65
1250	1
1251	118
1252	0
1253	-77
1254	1
1255	115
1256	0
1257	-86
1258	1
1259	-122
1260	0
1261	-70
1262	1
1263	-108
1264	0
1265	-83
1266	1
1267	111
1268	0
1269	-96
1270	1
1271	104
1272	0
1273	-80
1274	1
1275	127
1276	0
1277	-79
1278	1
1279	-120
1280	0
