Index	Value
0	-58
1	-6
2	-58
3	-6
4	-57
5	71
6	-57
7	71
8	-57
9	3
10	-57
11	3
12	-58
13	-9
14	-58
15	-8
16	-57
17	69
18	-57
19	69
20	-57
21	0
22	-57
23	0
24	-58
25	-12
26	-58
27	-11
28	-57
29	64
30	-57
31	65
32	-58
33	-3
34	-58
35	-3
36	-58
37	-16
38	-58
39	-16
40	-57
41	61
42	-57
43	61
44	-58
45	-8
46	-58
47	-9
48	-58
49	-21
50	-58
51	-21
52	-57
53	54
54	-57
55	55
56	-58
57	-14
58	-58
59	-14
60	-58
61	-27
62	-58
63	-27
64	-57
65	50
66	-57
67	49
68	-58
69	-20
70	-58
71	-20
72	-58
73	-33
74	-58
75	-33
76	-57
77	42
78	-57
79	43
80	-58
81	-26
82	-58
83	-27
84	-58
85	-40
86	-58
87	-40
88	-57
89	35
90	-57
91	35
92	-58
93	-35
94	-58
95	-35
96	-58
97	-49
98	-58
99	-50
100	-57
101	28
102	-57
103	27
104	-58
105	-42
106	-58
107	-42
108	-58
109	-57
110	-58
111	-57
112	-57
113	18
114	-57
115	17
116	-58
117	-51
118	-58
119	-51
120	-58
121	-67
122	-58
123	-67
124	-57
125	8
126	-57
127	9
128	-58
129	-61
130	-58
131	-61
132	-58
133	-76
134	-58
135	-76
136	-58
137	-1
138	-58
139	-1
140	-58
141	-71
142	-58
143	-72
144	-58
145	-87
146	-58
147	-86
148	-58
149	-11
150	-58
151	-11
152	-58
153	-82
154	-58
155	-81
156	-58
157	-96
158	-58
159	-97
160	-58
161	-21
162	-58
163	-22
164	-58
165	-93
166	-58
167	-93
168	-58
169	-108
170	-58
171	-107
172	-58
173	-33
174	-58
175	-33
176	-58
177	-103
178	-58
179	-104
180	-58
181	-119
182	-58
183	-119
184	-58
185	-45
186	-58
187	-44
188	-58
189	-115
190	-58
191	-114
192	-58
193	124
194	-58
195	124
196	-58
197	-55
198	-58
199	-56
200	-58
201	-126
202	-58
203	-127
204	-58
205	114
206	-58
207	113
208	-58
209	-69
210	-58
211	-68
212	-58
213	116
214	-58
215	117
216	-58
217	101
218	-58
219	100
220	-58
221	-80
222	-58
223	-80
224	-58
225	104
226	-58
227	105
228	-58
229	89
230	-58
231	89
232	-58
233	-93
234	-58
235	-93
236	-58
237	92
238	-58
239	92
240	-58
241	77
242	-58
243	77
244	-58
245	-105
246	-58
247	-105
248	-58
249	80
250	-58
251	81
252	-58
253	64
254	-58
255	64
256	-58
257	-117
258	-58
259	-117
260	-58
261	68
262	-58
263	69
264	-58
265	52
266	-58
267	51
268	-58
269	127
270	-58
271	-128
272	-58
273	56
274	-58
275	56
276	-58
277	38
278	-58
279	40
280	-58
281	114
282	-58
283	114
284	-58
285	43
286	-58
287	43
288	-58
289	27
290	-58
291	28
292	-58
293	102
294	-58
295	102
296	-58
297	31
298	-58
299	31
300	-58
301	15
302	-58
303	15
304	-58
305	91
306	-58
307	91
308	-58
309	20
310	-58
311	18
312	-58
313	4
314	-58
315	4
316	-58
317	80
318	-58
319	79
320	-58
321	7
322	-58
323	8
324	-59
325	-9
326	-59
327	-8
328	-58
329	68
330	-58
331	68
332	-59
333	-3
334	-59
335	-3
336	-59
337	-18
338	-59
339	-19
340	-58
341	57
342	-58
343	58
344	-59
345	-13
346	-59
347	-13
348	-59
349	-30
350	-59
351	-29
352	-58
353	46
354	-58
355	47
356	-59
357	-24
358	-59
359	-24
360	-59
361	-40
362	-59
363	-39
364	-58
365	36
366	-58
367	36
368	-59
369	-35
370	-59
371	-34
372	-59
373	-49
374	-59
375	-49
376	-58
377	26
378	-58
379	27
380	-59
381	-44
382	-59
383	-44
384	-59
385	-59
386	-59
387	-58
388	-58
389	19
390	-58
391	19
392	-59
393	-52
394	-59
395	-53
396	-59
397	-67
398	-59
399	-67
400	-58
401	10
402	-58
403	11
404	-59
405	-60
406	-59
407	-60
408	-59
409	-75
410	-59
411	-74
412	-58
413	3
414	-58
415	3
416	-59
417	-68
418	-59
419	-67
420	-59
421	-82
422	-59
423	-82
424	-59
425	-5
426	-59
427	-4
428	-59
429	-74
430	-59
431	-74
432	-59
433	-88
434	-59
435	-88
436	-59
437	-11
438	-59
439	-11
440	-59
441	-81
442	-59
443	-80
444	-59
445	-93
446	-59
447	-93
448	-59
449	-16
450	-59
451	-16
452	-59
453	-85
454	-59
455	-84
456	-59
457	-99
458	-59
459	-99
460	-59
461	-20
462	-59
463	-20
464	-59
465	-88
466	-59
467	-88
468	-59
469	-102
470	-59
471	-102
472	-59
473	-24
474	-59
475	-23
476	-59
477	-93
478	-59
479	-94
480	-59
481	-105
482	-59
483	-105
484	-59
485	-27
486	-59
487	-27
488	-59
489	-95
490	-59
491	-96
492	-59
493	-108
494	-59
495	-108
496	-59
497	-28
498	-59
499	-29
500	-59
501	-96
502	-59
503	-97
504	-59
505	-109
506	-59
507	-108
508	-59
509	-29
510	-59
511	-29
512	-59
513	-98
514	-59
515	-98
516	-59
517	-109
518	-59
519	-109
520	-59
521	-29
522	-59
523	-30
524	-59
525	-97
526	-59
527	-97
528	-59
529	-108
530	-59
531	-108
532	-59
533	-28
534	-59
535	-29
536	-59
537	-96
538	-59
539	-95
540	-59
541	-107
542	-59
543	-107
544	-59
545	-26
546	-59
547	-26
548	-59
549	-94
550	-59
551	-92
552	-59
553	-104
554	-59
555	-105
556	-59
557	-22
558	-59
559	-23
560	-59
561	-90
562	-59
563	-90
564	-59
565	-100
566	-59
567	-101
568	-59
569	-18
570	-59
571	-19
572	-59
573	-85
574	-59
575	-85
576	-59
577	-96
578	-59
579	-95
580	-59
581	-14
582	-59
583	-14
584	-59
585	-81
586	-59
587	-80
588	-59
589	-89
590	-59
591	-89
592	-59
593	-7
594	-59
595	-7
596	-59
597	-73
598	-59
599	-73
600	-59
601	-83
602	-59
603	-83
604	-58
605	0
606	-58
607	0
608	-59
609	-66
610	-59
611	-67
612	-59
613	-75
614	-59
615	-75
616	-58
617	8
618	-58
619	8
620	-59
621	-58
622	-59
623	-57
624	-59
625	-66
626	-59
627	-66
628	-58
629	17
630	-58
631	17
632	-59
633	-49
634	-59
635	-49
636	-59
637	-56
638	-59
639	-56
640	-58
641	28
642	-58
643	27
644	-59
645	-36
646	-59
647	-36
648	-59
649	-44
650	-59
651	-45
652	-58
653	39
654	-58
655	39
656	-59
657	-25
658	-59
659	-26
660	-59
661	-33
662	-59
663	-32
664	-58
665	51
666	-58
667	51
668	-59
669	-12
670	-59
671	-12
672	-59
673	-19
674	-59
675	-19
676	-58
677	64
678	-58
679	64
680	-58
681	2
682	-58
683	1
684	-59
685	-5
686	-59
687	-6
688	-58
689	80
690	-58
691	80
692	-58
693	16
694	-58
695	16
696	-58
697	11
698	-58
699	10
700	-58
701	95
702	-58
703	95
704	-58
705	33
706	-58
707	33
708	-58
709	27
710	-58
711	26
712	-58
713	112
714	-58
715	111
716	-58
717	49
718	-58
719	50
720	-58
721	43
722	-58
723	43
724	-58
725	-127
726	-58
727	-126
728	-58
729	67
730	-58
731	68
