Index	Value
0	-1
1	-14
2	-1
3	-101
4	-1
5	-22
6	-1
7	-97
8	-1
9	-22
10	-1
11	-100
12	-1
13	-25
14	-1
15	-99
16	-1
17	-21
18	-1
19	-94
20	-1
21	-18
22	-1
23	-88
24	-1
25	-19
26	-1
27	-96
28	-1
29	-21
30	-1
31	-98
32	-1
33	-19
34	-1
35	-97
36	-1
37	-21
38	-1
39	-98
40	-1
41	-25
42	-1
43	-97
44	-1
45	-29
46	-1
47	-102
48	-1
49	-22
50	-1
51	-95
52	-1
53	-21
54	-1
55	-97
56	-1
57	-23
58	-1
59	-94
60	-1
61	-23
62	-1
63	-94
64	-1
65	-26
66	-1
67	-91
68	-1
69	-27
70	-1
71	-90
72	-1
73	-30
74	-1
75	-90
76	-1
77	-38
78	-1
79	-88
80	-1
81	-37
82	-1
83	-95
84	-1
85	-41
86	-1
87	-99
88	-1
89	-40
90	-1
91	-93
92	-1
93	-44
94	-1
95	-88
96	-1
97	-53
98	-1
99	-91
100	-1
101	-52
102	-1
103	-92
104	-1
105	-54
106	-1
107	-88
108	-1
109	-59
110	-1
111	-96
112	-1
113	-61
114	-1
115	-90
116	-1
117	-62
118	-1
119	-83
120	-1
121	-58
122	-1
123	-82
124	-1
125	-64
126	-1
127	-80
128	-1
129	-65
130	-1
131	-85
132	-1
133	-71
134	-1
135	-86
136	-1
137	-75
138	-1
139	-85
140	-1
141	-70
142	-1
143	-85
144	-1
145	-70
146	-1
147	-84
148	-1
149	-70
150	-1
151	-86
152	-1
153	-67
154	-1
155	-89
156	-1
157	-73
158	-1
159	-85
160	-1
161	-72
162	-1
163	-82
164	-1
165	-64
166	-1
167	-78
168	-1
169	-67
170	-1
171	-76
172	-1
173	-68
174	-1
175	-72
176	-1
177	-66
178	-1
179	-66
180	-1
181	-71
182	-1
183	-64
184	-1
185	-67
186	-1
187	-63
188	-1
189	-67
190	-1
191	-66
192	-1
193	-69
194	-1
195	-68
196	-1
197	-72
198	-1
199	-64
200	-1
201	-79
202	-1
203	-63
204	-1
205	-84
206	-1
207	-67
208	-1
209	-82
210	-1
211	-67
212	-1
213	-77
214	-1
215	-69
216	-1
217	-84
218	-1
219	-66
220	-1
221	-85
222	-1
223	-66
224	-1
225	-88
226	-1
227	-64
228	-1
229	-89
230	-1
231	-62
232	-1
233	-91
234	-1
235	-60
236	-1
237	-91
238	-1
239	-55
240	-1
241	-96
242	-1
243	-55
244	-1
245	-96
246	-1
247	-55
248	-1
249	-94
250	-1
251	-54
252	-1
253	-99
254	-1
255	-57
256	-1
257	-96
258	-1
259	-57
260	-1
261	-96
262	-1
263	-55
264	-1
265	-97
266	-1
267	-51
268	-1
