Index	Value
0	-4
1	-75
2	-4
3	-10
4	-4
5	-107
6	-4
7	-12
8	-4
9	127
10	-4
11	-20
12	-4
13	108
14	-4
15	-30
16	-4
17	91
18	-4
19	-33
20	-4
21	62
22	-4
23	-36
24	-4
25	32
26	-4
27	-50
28	-4
29	5
30	-4
31	-70
32	-5
33	-26
34	-4
35	-91
36	-5
37	-53
38	-4
39	-91
40	-5
41	-77
42	-4
43	-95
44	-5
45	-95
46	-4
47	-109
48	-5
49	-120
50	-4
51	-118
52	-5
53	108
54	-4
55	120
56	-5
57	76
58	-4
59	107
60	-5
61	54
62	-4
63	106
64	-5
65	38
66	-4
67	96
68	-5
69	20
70	-4
71	88
72	-6
73	-8
74	-4
75	85
76	-6
77	-39
78	-4
79	66
80	-6
81	-74
82	-4
83	51
84	-6
85	-113
86	-4
87	56
88	-6
89	123
90	-4
91	57
92	-6
93	116
94	-4
95	39
96	-6
97	96
98	-4
99	28
100	-6
101	72
102	-4
103	32
104	-6
105	47
106	-4
107	17
108	-6
109	26
110	-4
111	0
112	-6
113	1
114	-5
115	-4
116	-7
117	-14
118	-5
119	-9
120	-7
121	-25
122	-5
123	-22
124	-7
125	-48
126	-5
127	-44
128	-7
129	-81
130	-5
131	-61
132	-7
133	-104
134	-5
135	-77
136	-7
137	-127
138	-5
139	-78
140	-7
141	103
142	-5
143	-76
144	-7
145	76
146	-5
147	-81
148	-7
149	57
150	-5
151	-71
152	-7
153	42
154	-5
155	-84
156	-7
157	20
158	-5
159	-100
160	-8
161	-10
162	-5
163	-103
164	-8
165	-40
166	-5
167	-82
168	-8
169	-45
170	-5
171	-100
172	-8
173	-60
174	-5
175	126
176	-8
177	-82
178	-5
179	120
180	-8
181	-112
182	-5
183	107
184	-8
185	123
186	-5
187	100
188	-8
189	108
190	-5
191	98
192	-8
193	89
194	-5
195	81
196	-8
197	77
198	-5
199	69
200	-8
201	62
202	-5
203	73
204	-8
205	44
206	-5
207	81
208	-8
209	25
210	-5
211	79
212	-8
213	6
214	-5
215	88
216	-9
217	-19
218	-5
219	84
220	-9
221	-32
222	-5
223	75
224	-9
225	-48
226	-5
227	64
228	-9
229	-74
230	-5
231	48
232	-9
233	-87
234	-5
235	39
236	-9
237	-98
238	-5
239	15
240	-9
241	-112
242	-6
243	-9
244	-9
245	125
246	-6
247	-23
248	-9
249	101
250	-6
251	-28
252	-9
253	97
254	-6
255	-37
256	-9
257	86
258	-6
259	-44
260	-9
261	70
262	-6
263	-38
264	-9
265	58
266	-6
267	-30
268	-9
269	46
270	-6
271	-29
272	-9
273	26
274	-6
275	-32
276	-9
277	5
278	-6
279	-58
280	-10
281	-24
282	-6
283	-74
284	-10
285	-45
286	-6
287	-71
288	-10
289	-54
290	-6
291	-61
292	-10
293	-59
294	-6
295	-74
296	-10
297	-70
298	-6
299	-86
300	-10
301	-86
302	-6
303	-101
304	-10
305	-115
306	-6
307	-121
308	-10
309	126
310	-6
311	124
312	-10
313	114
314	-6
315	-113
316	-10
317	107
318	-6
319	-110
320	-10
321	103
322	-6
323	112
324	-10
325	89
326	-6
327	89
328	-10
329	76
330	-6
331	88
332	-10
333	62
334	-6
335	84
336	-10
337	58
338	-6
339	79
340	-10
341	50
342	-6
343	72
344	-10
345	38
346	-6
347	66
348	-10
349	19
350	-6
351	62
352	-10
353	4
354	-6
355	53
356	-11
357	-12
358	-6
359	48
360	-11
361	-20
362	-6
363	48
364	-11
365	-31
366	-6
367	47
368	-11
369	-44
370	-6
371	36
372	-11
373	-48
374	-6
375	35
376	-11
377	-47
378	-6
379	7
380	-11
381	-61
382	-6
383	3
384	-11
385	-71
386	-7
387	-10
388	-11
389	-67
390	-7
391	-24
392	-11
393	-81
394	-7
395	-37
396	-11
397	-84
398	-7
399	-48
400	-11
401	-90
402	-7
403	-54
404	-11
405	-94
406	-7
407	-57
408	-11
409	-105
410	-7
411	-49
412	-11
413	-108
414	-7
415	-41
416	-11
417	-105
418	-7
419	-64
420	-11
421	-124
422	-7
423	-77
424	-11
425	116
426	-7
427	-95
428	-11
429	104
430	-7
431	-113
432	-11
433	102
434	-7
435	-117
436	-11
437	108
438	-7
439	120
440	-11
441	103
442	-7
443	99
444	-11
445	93
446	-7
447	74
448	-11
449	84
450	-7
451	68
452	-11
453	77
454	-7
455	56
456	-11
457	73
458	-7
459	42
460	-11
461	67
462	-7
463	34
464	-11
465	66
466	-7
467	28
468	-11
469	56
470	-7
471	11
472	-11
473	51
474	-7
475	0
476	-11
477	58
478	-8
479	-20
480	-11
481	58
482	-8
483	-28
484	-11
485	53
486	-8
487	-26
488	-11
489	59
490	-8
491	-14
492	-11
493	69
494	-8
495	-15
496	-11
497	79
498	-8
499	-24
500	-11
501	74
502	-8
503	-43
504	-11
505	77
506	-8
507	-57
508	-11
509	71
