Index	Value
0	0
1	127
2	0
3	89
4	0
5	125
6	0
7	99
8	0
9	118
10	0
11	104
12	0
13	108
14	0
15	105
16	0
17	93
18	0
19	108
20	0
21	82
22	0
23	104
24	0
25	68
26	0
27	99
28	0
29	59
30	0
31	95
32	0
33	48
34	0
35	95
36	0
37	42
38	0
39	91
40	0
41	30
42	0
43	94
44	0
45	21
46	0
47	84
48	0
49	7
50	0
51	85
52	-1
53	-1
54	0
55	80
56	-1
57	-11
58	0
59	79
60	-1
61	-26
62	0
63	81
64	-1
65	-27
66	0
67	86
68	-1
69	-37
70	0
71	90
72	-1
73	-46
74	0
75	89
76	-1
77	-56
78	0
79	93
80	-1
81	-65
82	0
83	95
84	-1
85	-78
86	0
87	98
88	-1
89	-88
90	0
91	96
92	-1
93	-90
94	0
95	101
96	-1
97	-100
98	0
99	104
100	-1
101	-112
102	0
103	106
104	-1
105	-119
106	0
107	106
108	-1
109	122
110	0
111	105
112	-1
113	115
114	0
115	106
116	-1
117	102
118	0
119	102
120	-1
121	91
122	0
123	98
124	-1
125	82
126	0
127	97
128	-1
129	72
130	0
131	101
132	-1
133	65
134	0
135	96
136	-1
137	53
138	0
139	97
140	-1
141	50
142	0
143	92
144	-1
145	37
146	0
147	95
148	-1
149	27
150	0
151	94
152	-1
153	19
154	0
155	99
156	-1
157	9
158	0
159	103
160	-2
161	-3
162	0
163	107
164	-2
165	-8
166	0
167	105
168	-2
169	-19
170	0
171	106
172	-2
173	-29
174	0
175	113
176	-2
177	-34
178	0
179	111
180	-2
181	-46
182	0
183	111
184	-2
185	-51
186	0
187	109
188	-2
189	-58
190	0
191	105
192	-2
193	-67
194	0
195	105
196	-2
197	-76
198	0
199	98
200	-2
201	-88
202	0
203	93
204	-2
205	-96
206	0
207	89
208	-2
209	-93
210	0
211	90
212	-2
213	-101
214	0
215	92
216	-2
217	-108
218	0
219	90
220	-2
221	-116
222	0
223	91
224	-2
225	-126
226	0
227	82
228	-2
229	120
230	0
231	72
232	-2
233	115
234	0
235	75
236	-2
237	104
238	0
239	75
