Index	Value
0	0
1	54
2	1
3	51
4	0
5	36
6	1
7	51
8	0
9	29
10	1
11	39
12	0
13	32
14	1
15	43
16	0
17	38
18	1
19	51
20	0
21	24
22	1
23	55
24	0
25	41
26	1
27	62
28	0
29	39
30	1
31	68
32	0
33	23
34	1
35	80
36	0
37	17
38	1
39	79
40	0
41	22
42	1
43	61
44	0
45	21
46	1
47	68
48	0
49	14
50	1
51	76
52	0
53	10
54	1
55	75
56	0
57	4
58	1
59	61
60	0
61	6
62	1
63	56
64	0
65	11
66	1
67	66
68	0
69	6
70	1
71	79
72	-1
73	-2
74	1
75	70
76	-1
77	-11
78	1
79	61
80	-1
81	-20
82	1
83	55
84	-1
85	-26
86	1
87	47
88	-1
89	-23
90	1
91	58
92	-1
93	-24
94	1
95	66
96	-1
97	-24
98	1
99	61
100	-1
101	-20
102	1
103	46
104	-1
105	-13
106	1
107	49
108	-1
109	-25
110	1
111	63
112	-1
113	-28
114	1
115	66
116	-1
117	-23
118	1
119	59
120	-1
121	-19
122	1
123	57
124	-1
125	-16
126	1
127	84
128	-1
129	-27
130	1
131	86
132	-1
133	-15
134	1
135	74
136	-1
137	-31
138	1
139	73
140	-1
141	-21
142	1
143	81
144	-1
145	-25
146	1
147	99
148	-1
149	-33
150	1
151	93
152	-1
153	-31
154	1
155	97
156	-1
157	-31
158	1
159	102
160	-1
161	-40
162	1
163	102
164	-1
165	-41
166	1
167	105
168	-1
169	-44
170	1
171	100
172	-1
173	-51
174	1
175	102
176	-1
177	-54
178	1
179	98
180	-1
181	-77
182	1
183	94
184	-1
185	-76
186	1
187	90
188	-1
189	-81
190	1
191	96
192	-1
193	-80
194	1
195	92
196	-1
197	-91
198	1
199	90
200	-1
201	-88
202	1
203	82
204	-1
205	-92
206	1
207	80
208	-1
209	-81
210	1
211	93
212	-1
213	-93
214	1
215	95
216	-1
217	-94
218	1
219	87
220	-1
221	-90
222	1
223	89
224	-1
225	-107
226	1
227	89
228	-1
229	-103
230	1
231	76
232	-1
233	-104
234	1
235	77
236	-1
237	-114
238	1
239	95
240	-1
241	-113
242	1
243	89
244	-1
245	-120
246	1
247	94
248	-1
249	-121
250	1
251	86
252	-1
253	-123
254	1
255	81
256	-1
257	-126
258	1
259	82
260	-1
261	-128
262	1
263	88
264	-1
265	104
266	1
267	74
268	-1
269	122
270	1
271	71
272	-1
273	113
274	1
275	61
276	-1
277	101
278	1
279	73
280	-1
281	103
282	1
283	68
284	-1
285	107
286	1
287	61
288	-1
289	123
290	1
291	76
292	-1
293	125
294	1
295	74
296	-1
297	114
298	1
299	59
300	-1
301	102
302	1
303	46
304	-1
305	88
306	1
307	54
308	-1
309	87
310	1
311	49
312	-1
313	68
314	1
315	44
316	-1
317	63
318	1
319	38
320	-1
321	66
322	1
323	38
324	-1
325	60
326	1
327	40
328	-1
329	57
330	1
331	44
332	-1
333	51
334	1
335	39
336	-1
337	44
338	1
339	36
340	-1
341	44
342	1
343	42
344	-1
345	63
346	1
347	36
348	-1
349	69
350	1
351	40
352	-1
353	61
354	1
355	41
356	-1
357	47
358	1
359	40
360	-1
361	51
362	1
363	22
364	-1
365	44
366	1
367	10
368	-1
369	47
370	1
371	13
372	-1
373	44
374	1
375	12
376	-1
377	44
378	1
379	14
380	-1
381	43
382	1
383	16
384	-1
385	49
386	1
387	20
