Index	Value
0	0
1	117
2	-1
3	-21
4	0
5	112
6	-1
7	-17
8	0
9	110
10	-1
11	-16
12	0
13	108
14	-1
15	-21
16	0
17	113
18	-1
19	-20
20	0
21	108
22	-1
23	-19
24	0
25	104
26	-1
27	-17
28	0
29	102
30	-1
31	-15
32	0
33	102
34	-1
35	-16
36	0
37	110
38	-1
39	-15
40	0
41	107
42	-1
43	-11
44	0
45	108
46	-1
47	-10
48	0
49	109
50	-1
51	-17
52	0
53	114
54	-1
55	-6
56	0
57	115
58	-1
59	-3
60	0
61	117
62	-1
63	-7
64	0
65	121
66	-1
67	-5
68	0
69	118
70	-1
71	-4
72	0
73	120
74	-1
75	-4
76	0
77	122
78	-1
79	-3
80	0
81	-127
82	0
83	0
84	0
85	-126
86	-1
87	-1
88	0
89	126
90	-1
91	-1
92	0
93	125
94	-1
95	-2
96	0
97	126
98	0
99	1
100	0
101	-128
102	0
103	3
104	0
105	126
106	0
107	6
108	0
109	126
110	0
111	3
112	0
113	125
114	0
115	3
116	0
117	124
118	0
119	1
120	0
121	122
122	0
123	3
124	0
125	119
126	0
127	6
128	0
129	116
130	0
131	3
132	0
133	112
134	0
135	1
136	0
137	116
138	-1
139	-1
140	0
141	115
142	0
143	7
144	0
145	113
146	0
147	6
148	0
149	108
150	0
151	5
152	0
153	103
154	0
155	1
156	0
157	105
158	0
159	5
160	0
161	106
162	0
163	8
164	0
165	108
166	0
167	7
168	0
169	103
170	0
171	6
172	0
173	100
174	0
175	6
176	0
177	101
178	0
179	7
180	0
181	101
182	0
183	1
184	0
185	97
186	-1
187	-4
188	0
189	96
190	0
191	2
192	0
193	95
194	0
195	2
196	0
197	101
198	-1
199	-2
200	0
201	103
202	-1
203	-3
204	0
205	107
206	0
207	2
208	0
209	105
210	0
211	2
212	0
213	100
214	0
215	6
216	0
217	101
218	0
219	5
220	0
221	95
222	0
223	1
224	0
225	96
226	0
227	5
228	0
229	102
230	0
231	6
232	0
233	102
234	0
235	7
236	0
237	104
238	0
239	4
240	0
241	104
242	0
243	4
244	0
245	102
246	0
247	4
248	0
249	101
250	0
251	2
252	0
253	98
254	0
255	1
256	0
257	100
258	0
259	2
260	0
261	100
262	-1
263	-4
264	0
265	101
266	-1
267	-4
268	0
269	98
270	-1
271	-6
272	0
273	92
274	-1
275	-4
276	0
277	97
278	-1
279	-3
280	0
281	97
282	0
283	0
284	0
285	96
286	0
287	0
288	0
289	104
290	0
291	3
292	0
293	106
294	0
295	5
296	0
297	106
298	0
299	2
300	0
301	105
302	0
303	10
304	0
305	111
306	0
307	6
308	0
309	109
310	0
311	2
312	0
313	110
314	0
315	2
316	0
317	113
318	0
319	8
320	0
321	114
322	0
323	6
324	0
325	107
326	0
327	8
328	0
329	113
330	0
331	7
332	0
333	107
334	0
335	6
336	0
337	103
338	0
339	5
340	0
341	104
342	0
343	7
344	0
345	107
346	0
347	7
348	0
349	110
350	0
351	7
352	0
353	106
354	0
355	3
356	0
357	105
358	0
359	2
360	0
361	102
362	0
363	3
364	0
365	100
366	0
367	2
368	0
369	101
370	0
371	7
372	0
373	95
374	0
375	3
376	0
377	98
378	-1
379	-1
380	0
381	96
382	-1
383	-6
384	0
385	91
386	-1
387	-4
388	0
389	94
390	0
391	1
392	0
393	92
394	0
395	2
396	0
397	92
398	0
399	2
400	0
401	91
402	0
403	0
404	0
405	87
406	-1
407	-5
408	0
409	84
410	-1
411	-6
412	0
413	81
414	-1
415	-13
416	0
417	83
418	-1
419	-16
420	0
421	78
422	-1
423	-13
424	0
425	75
426	-1
427	-12
428	0
429	77
430	-1
431	-12
432	0
433	81
434	-1
435	-9
436	0
437	79
438	-1
439	-5
440	0
441	79
442	-1
443	-3
444	0
445	83
446	-1
447	-1
448	0
449	79
450	-1
451	-3
452	0
453	81
454	-1
455	-6
456	0
457	83
458	-1
459	-2
460	0
461	82
462	-1
463	-2
464	0
465	80
466	-1
467	-4
468	0
469	78
470	-1
471	-8
472	0
473	79
474	-1
475	-7
476	0
477	82
478	-1
479	-9
480	0
481	81
482	-1
483	-8
484	0
485	84
486	-1
487	-7
488	0
489	85
490	-1
491	-11
492	0
493	80
494	-1
495	-13
496	0
497	76
498	-1
499	-11
500	0
501	77
502	-1
503	-14
504	0
505	80
506	-1
507	-17
508	0
509	78
510	-1
511	-18
512	0
513	80
514	-1
515	-15
516	0
517	81
518	-1
519	-19
520	0
521	76
522	-1
523	-20
524	0
525	76
526	-1
527	-19
528	0
529	75
530	-1
531	-20
532	0
533	76
534	-1
535	-20
536	0
537	79
538	-1
539	-23
540	0
541	78
542	-1
543	-24
544	0
545	80
546	-1
547	-23
548	0
549	84
550	-1
551	-17
552	0
553	84
554	-1
555	-21
556	0
557	83
558	-1
559	-20
560	0
561	82
562	-1
563	-17
564	0
565	86
566	-1
567	-15
568	0
569	82
570	-1
571	-15
572	0
573	82
574	-1
575	-15
576	0
577	83
578	-1
579	-9
580	0
581	87
582	-1
583	-11
584	0
585	86
586	-1
587	-9
588	0
589	84
590	-1
591	-16
592	0
593	84
594	-1
595	-16
596	0
597	79
598	-1
599	-15
600	0
601	85
602	-1
603	-20
604	0
605	89
606	-1
607	-17
608	0
609	91
610	-1
611	-21
612	0
613	84
614	-1
615	-19
616	0
617	82
618	-1
619	-23
620	0
621	83
622	-1
623	-20
624	0
625	86
626	-1
627	-20
628	0
629	86
630	-1
631	-18
632	0
633	84
634	-1
635	-21
636	0
637	88
638	-1
639	-24
640	0
641	81
642	-1
643	-20
644	0
645	88
646	-1
647	-24
648	0
649	95
650	-1
651	-16
652	0
653	87
654	-1
655	-15
656	0
657	96
658	-1
659	-12
660	0
661	90
662	-1
663	-12
664	0
665	98
666	-1
667	-17
668	0
669	103
670	-1
671	-10
672	0
673	97
674	-1
675	-14
676	0
677	101
678	-1
679	-11
680	0
681	89
682	-1
683	-15
684	0
685	93
686	-1
687	-16
688	0
689	89
690	-1
691	-13
692	0
693	92
694	-1
695	-18
696	0
697	89
698	-1
699	-14
700	0
701	90
702	-1
703	-17
704	0
705	88
706	-1
707	-16
708	0
709	85
710	-1
711	-18
712	0
713	86
714	-1
715	-21
716	0
717	89
718	-1
719	-16
720	0
721	87
722	-1
723	-11
724	0
725	86
726	-1
727	-13
728	0
729	85
730	-1
731	-18
732	0
733	90
