Index	Value
0	0
1	99
2	0
3	4
4	0
5	113
6	0
7	13
8	0
9	123
10	0
11	3
12	0
13	-123
14	0
15	13
16	0
17	-119
18	0
19	25
20	0
21	-120
22	0
23	24
24	0
25	-115
26	0
27	30
28	0
29	-103
30	0
31	27
32	0
33	-89
34	0
35	33
36	0
37	-80
38	0
39	35
40	0
41	-79
42	0
43	27
44	0
45	-74
46	0
47	30
48	0
49	-66
50	0
51	38
52	0
53	-63
54	0
55	29
56	0
57	-55
58	0
59	34
60	0
61	-43
62	0
63	43
64	0
65	-40
66	0
67	50
68	0
69	-33
70	0
71	45
72	0
73	-22
74	0
75	37
76	0
77	-4
78	0
79	39
80	0
81	-3
82	0
83	32
84	0
85	-16
86	0
87	25
88	0
89	-13
90	0
91	24
92	0
93	-2
94	0
95	22
96	0
97	-2
98	0
99	14
100	1
101	8
102	0
103	21
104	1
105	15
106	0
107	17
108	1
109	19
110	0
111	13
112	1
113	15
114	0
115	17
116	1
117	23
118	0
119	11
120	1
121	44
122	0
123	13
124	1
125	52
126	0
127	29
128	1
129	51
130	0
131	23
132	1
133	49
134	0
135	16
136	1
137	45
138	0
139	11
140	1
141	43
142	-1
143	-2
144	1
145	40
146	-1
147	-2
148	1
149	39
150	-1
151	-10
152	1
153	36
154	-1
155	-17
156	1
157	35
158	-1
159	-19
160	1
161	41
162	-1
163	-22
164	1
165	34
166	-1
167	-29
168	1
169	28
170	-1
171	-38
172	1
173	29
174	-1
175	-41
176	1
177	41
178	-1
179	-40
180	1
181	52
182	-1
183	-38
184	1
185	50
186	-1
187	-49
188	1
189	65
190	-1
191	-55
192	1
193	68
194	-1
195	-50
196	1
197	66
198	-1
199	-41
200	1
201	66
202	-1
203	-38
204	1
205	84
206	-1
207	-42
208	1
209	91
210	-1
211	-39
212	1
213	95
214	-1
215	-34
216	1
217	96
218	-1
219	-40
220	1
221	92
222	-1
223	-39
224	1
225	94
226	-1
227	-41
228	1
229	104
230	-1
231	-37
232	1
233	110
234	-1
235	-37
236	1
237	117
238	-1
239	-39
240	1
241	118
242	-1
243	-45
244	1
245	101
246	-1
247	-48
248	1
249	99
250	-1
251	-47
252	1
253	106
254	-1
255	-53
256	1
257	99
258	-1
259	-61
260	1
261	108
262	-1
263	-66
264	1
265	-127
266	-1
267	-59
268	1
269	-121
270	-1
271	-58
272	1
273	-118
274	-1
275	-59
276	1
277	-117
278	-1
279	-64
280	1
281	-121
282	-1
283	-58
284	1
285	-113
286	-1
287	-67
288	1
289	-101
290	-1
291	-71
292	1
293	-93
294	-1
295	-69
296	1
297	-85
298	-1
299	-68
300	1
301	-83
302	-1
303	-68
304	1
305	-83
306	-1
307	-77
308	1
309	-79
310	-1
311	-87
312	1
313	-76
314	-1
315	-87
316	1
317	-76
318	-1
319	-89
320	1
321	-70
322	-1
323	-100
324	1
325	-63
326	-1
327	-92
328	1
329	-53
330	-1
331	-92
332	1
333	-49
334	-1
335	-96
336	1
337	-57
338	-1
339	-96
340	1
341	-59
342	-1
343	-99
344	1
345	-57
346	-1
347	-100
348	1
349	-50
350	-1
351	-109
352	1
353	-54
354	-1
355	-111
356	1
357	-55
358	-1
359	-120
360	1
361	-55
362	-1
363	127
364	1
365	-51
366	-1
367	-122
368	1
369	-49
370	-1
371	-109
372	1
373	-45
374	-1
375	-116
376	1
377	-44
378	-1
379	-124
380	1
381	-38
382	-1
383	-121
384	1
385	-26
386	-1
387	-125
388	1
389	-32
390	-1
391	124
392	1
393	-45
394	-1
395	123
396	1
397	-49
398	-1
399	121
400	1
401	-46
402	-1
403	116
404	1
405	-47
406	-1
407	117
408	1
409	-52
410	-1
411	116
412	1
413	-48
414	-1
415	116
416	1
417	-45
418	-1
419	109
420	1
421	-55
422	-1
423	108
424	1
425	-64
426	-1
427	105
428	1
429	-64
430	-1
431	96
432	1
433	-58
434	-1
435	101
436	1
437	-51
438	-1
439	98
440	1
441	-48
442	-1
443	94
444	1
445	-51
446	-1
447	88
448	1
449	-46
450	-1
451	90
452	1
453	-47
454	-1
455	95
456	1
457	-56
458	-1
459	93
460	1
461	-57
462	-1
463	85
464	1
465	-46
466	-1
467	88
468	1
469	-45
470	-1
471	86
472	1
473	-40
474	-1
475	83
476	1
477	-42
478	-1
479	75
480	1
481	-36
482	-1
483	74
484	1
485	-30
486	-1
487	74
488	1
489	-29
490	-1
491	83
492	1
493	-24
494	-1
495	98
496	1
497	-13
498	-1
499	114
500	1
501	-13
502	-1
503	102
504	1
505	-8
506	-1
507	89
508	1
509	-8
510	-1
511	88
512	1
513	-17
514	-1
515	86
516	1
517	-23
518	-1
519	77
520	1
521	-31
522	-1
523	75
524	1
525	-39
526	-1
527	74
528	1
529	-41
530	-1
531	73
532	1
533	-45
534	-1
535	75
536	1
537	-39
538	-1
539	66
540	1
541	-28
542	-1
543	70
544	1
545	-39
546	-1
547	71
548	1
549	-37
550	-1
551	51
552	1
553	-30
554	-1
555	46
556	1
557	-13
558	-1
559	51
560	1
561	-12
562	-1
563	51
564	1
565	-22
566	-1
567	52
568	1
569	-43
570	-1
571	46
572	1
573	-49
574	-1
575	42
576	1
577	-33
578	-1
579	35
580	1
581	-31
582	-1
583	24
584	1
585	-29
586	-1
587	29
588	1
589	-22
590	-1
591	31
592	1
593	-26
594	-1
595	21
596	1
597	-28
598	-1
599	21
600	1
601	-19
602	-1
603	24
604	1
605	-8
606	-1
607	24
608	1
609	-10
610	-1
611	16
612	1
613	-1
614	-1
615	30
616	2
617	3
618	-1
619	43
620	2
621	4
622	-1
623	32
624	2
625	4
626	-1
627	25
628	2
629	8
630	-1
631	29
632	2
633	12
634	-1
635	23
636	2
637	4
638	-1
639	25
640	2
641	13
642	-1
643	28
644	2
645	14
646	-1
647	22
648	2
649	17
650	-1
651	24
652	2
653	13
654	-1
655	27
656	2
657	18
658	-1
659	21
660	2
661	23
662	-1
663	26
664	2
665	31
666	-1
667	32
668	2
669	44
670	-1
671	29
672	2
673	39
674	-1
675	28
676	2
677	47
678	-1
679	28
680	2
681	57
682	-1
683	24
684	2
685	62
686	-1
