Index	Value
0	-3
1	-75
2	-1
3	-117
4	-3
5	-81
6	-1
7	-117
8	-3
9	-76
10	-1
11	-116
12	-3
13	-84
14	-1
15	-117
16	-3
17	-80
18	-1
19	-119
20	-3
21	-86
22	-1
23	-119
24	-3
25	-84
26	-1
27	-121
28	-3
29	-85
30	-1
31	-118
32	-3
33	-90
34	-1
35	-120
36	-3
37	-91
38	-1
39	-121
40	-3
41	-94
42	-1
43	-121
44	-3
45	-96
46	-1
47	-120
48	-3
49	-98
50	-1
51	-121
52	-3
53	-97
54	-1
55	-121
56	-3
57	-97
58	-1
59	-119
60	-3
61	-97
62	-1
63	-124
64	-3
65	-98
66	-1
67	-124
68	-3
69	-102
70	-1
71	-126
72	-3
73	-102
74	-1
75	-122
76	-3
77	-100
78	-1
79	-125
80	-3
81	-99
82	-1
83	-126
84	-3
85	-100
86	-1
87	-126
88	-3
89	-104
90	-1
91	-126
92	-3
93	-103
94	-1
95	126
96	-3
97	-106
98	-1
99	122
100	-3
101	-106
102	-1
103	120
104	-3
105	-105
106	-1
107	122
108	-3
109	-106
110	-1
111	121
112	-3
113	-105
114	-1
115	116
116	-3
117	-102
118	-1
119	126
120	-3
121	-102
122	-1
123	121
124	-3
125	-97
126	-1
127	118
128	-3
129	-98
130	-1
131	119
132	-3
133	-94
134	-1
135	120
136	-3
137	-92
138	-1
139	121
140	-3
141	-81
142	-1
143	123
144	-3
145	-86
146	-1
147	120
148	-3
149	-88
150	-1
151	118
152	-3
153	-91
154	-1
155	115
156	-3
157	-91
158	-1
159	110
160	-3
161	-89
162	-1
163	109
164	-3
165	-87
166	-1
167	109
168	-3
169	-77
170	-1
171	112
172	-3
173	-76
174	-1
175	109
176	-3
177	-82
178	-1
179	108
180	-3
181	-77
182	-1
183	103
184	-3
185	-80
186	-1
187	103
188	-3
189	-77
190	-1
191	98
192	-3
193	-69
194	-1
195	103
196	-3
197	-68
198	-1
199	105
200	-3
201	-64
202	-1
203	106
204	-3
205	-61
206	-1
207	107
208	-3
209	-54
210	-1
211	100
212	-3
213	-51
214	-1
215	102
216	-3
217	-49
218	-1
219	96
220	-3
221	-47
222	-1
223	93
224	-3
225	-42
226	-1
227	99
228	-3
229	-40
230	-1
231	98
232	-3
233	-29
234	-1
235	100
236	-3
237	-24
238	-1
239	94
240	-3
241	-17
242	-1
243	99
244	-3
245	-9
246	-1
247	103
248	-3
249	-8
250	-1
251	100
252	-2
253	2
254	-1
255	100
256	-2
257	7
258	-1
259	96
260	-2
261	11
262	-1
263	96
264	-2
265	19
266	-1
267	97
268	-2
269	23
270	-1
271	93
272	-2
273	30
274	-1
275	92
276	-2
277	40
278	-1
279	87
280	-2
281	51
282	-1
283	87
284	-2
285	52
286	-1
287	87
288	-2
289	55
290	-1
291	84
292	-2
293	53
294	-1
295	82
296	-2
297	55
298	-1
299	75
300	-2
301	58
302	-1
303	79
304	-2
305	63
306	-1
307	76
308	-2
309	71
310	-1
311	73
312	-2
313	78
314	-1
315	72
316	-2
317	77
318	-1
319	71
320	-2
321	83
322	-1
323	69
324	-2
325	82
326	-1
327	69
328	-2
329	92
330	-1
331	75
332	-2
333	100
334	-1
335	73
336	-2
337	111
338	-1
339	69
340	-2
341	111
342	-1
343	71
344	-2
345	118
346	-1
347	72
348	-2
349	126
350	-1
351	71
352	-2
353	124
354	-1
355	67
356	-2
357	-128
358	-1
359	64
360	-2
361	-123
362	-1
363	64
364	-2
365	-120
366	-1
367	63
368	-2
369	-122
370	-1
371	66
372	-2
373	-118
374	-1
375	66
376	-2
377	-114
378	-1
379	67
380	-2
381	-111
382	-1
383	69
384	-2
385	-103
386	-1
387	69
388	-2
389	-100
390	-1
391	73
392	-2
393	-95
394	-1
395	77
396	-2
397	-91
398	-1
399	79
400	-2
401	-89
402	-1
403	79
404	-2
405	-79
406	-1
407	78
408	-2
409	-78
410	-1
411	77
412	-2
413	-73
414	-1
415	82
416	-2
417	-67
418	-1
419	86
420	-2
421	-66
422	-1
423	90
424	-2
425	-59
426	-1
427	90
428	-2
429	-58
430	-1
431	95
432	-2
433	-51
434	-1
435	100
436	-2
437	-46
438	-1
439	101
440	-2
441	-44
442	-1
443	105
444	-2
445	-39
446	-1
447	103
448	-2
449	-38
450	-1
451	105
452	-2
453	-37
454	-1
455	110
456	-2
457	-34
458	-1
459	114
460	-2
461	-26
462	-1
463	119
464	-2
465	-23
466	-1
467	-128
468	-2
469	-15
470	-1
471	126
472	-2
473	-2
474	-1
475	-124
476	-1
477	0
478	-1
479	-121
480	-2
481	-2
482	-1
483	-118
484	-1
485	3
486	-1
487	-114
488	-1
489	12
490	-1
491	-110
492	-1
493	17
494	-1
495	-108
496	-1
497	29
498	-1
499	-98
500	-1
501	32
502	-1
503	-91
504	-1
505	40
506	-1
507	-90
508	-1
509	47
510	-1
511	-81
512	-1
513	49
514	-1
515	-79
516	-1
517	52
518	-1
519	-70
520	-1
521	57
522	-1
523	-65
524	-1
525	59
526	-1
527	-63
528	-1
529	62
530	-1
531	-65
532	-1
533	70
534	-1
535	-53
536	-1
537	72
538	-1
539	-48
540	-1
541	75
542	-1
543	-49
544	-1
545	75
546	-1
547	-49
548	-1
549	85
550	-1
551	-45
552	-1
553	84
554	-1
555	-38
556	-1
557	86
558	-1
559	-29
560	-1
561	93
562	-1
563	-25
564	-1
565	92
566	-1
567	-18
568	-1
569	91
570	-1
571	-14
572	-1
573	97
574	-1
575	-12
576	-1
577	98
578	-1
579	-8
580	-1
581	100
582	-1
583	-1
584	-1
585	102
586	0
587	5
588	-1
589	106
590	0
591	7
592	-1
593	107
594	0
595	14
596	-1
597	104
598	0
599	16
600	-1
601	106
602	0
603	21
604	-1
605	109
606	0
607	29
608	-1
609	112
610	0
611	35
612	-1
613	112
614	0
615	37
616	-1
617	109
618	0
619	46
620	-1
621	116
622	0
623	51
624	-1
625	115
626	0
627	59
628	-1
629	116
630	0
631	63
632	-1
633	115
634	0
635	71
636	-1
637	121
638	0
639	80
640	-1
641	121
642	0
643	90
644	-1
645	-126
646	0
647	95
648	-1
649	-126
650	0
651	107
652	-1
653	-126
654	0
655	113
656	-1
657	-126
658	0
659	115
660	-1
661	-126
662	0
663	122
664	-1
665	-123
666	0
667	127
668	-1
669	-121
670	0
671	-119
672	-1
673	-119
674	0
675	-102
676	-1
677	-121
678	0
679	-101
680	-1
681	-117
682	0
683	-101
684	-1
685	-116
686	0
687	-95
688	-1
689	-118
690	0
691	-85
692	-1
693	-119
694	0
695	-81
696	-1
697	-119
698	0
699	-78
700	-1
701	-119
702	0
703	-70
704	-1
705	-115
706	0
707	-63
708	-1
709	-117
710	0
711	-57
712	-1
713	-118
714	0
715	-54
716	-1
717	-112
718	0
719	-47
720	-1
721	-114
722	0
723	-38
724	-1
725	-111
726	0
727	-35
728	-1
729	-107
730	0
731	-26
732	-1
733	-111
734	0
735	-17
736	-1
737	-105
738	0
739	-12
740	-1
741	-106
742	0
743	-5
744	-1
745	-109
746	1
747	0
748	-1
749	-112
750	1
751	2
752	-1
753	-120
754	1
755	10
756	-1
757	-126
758	1
759	13
760	-1
761	125
762	1
763	22
764	-1
765	126
766	1
767	29
768	-1
769	121
770	1
771	34
772	-1
773	118
774	1
775	39
776	-1
777	116
778	1
779	44
780	-1
781	114
782	1
783	55
784	-1
785	110
786	1
787	60
788	-1
789	112
790	1
791	65
792	-1
793	105
794	1
795	70
796	-1
797	100
798	1
799	77
800	-1
801	104
802	1
803	88
804	-1
805	111
806	1
807	94
808	-1
809	111
810	1
811	105
812	-1
813	117
814	1
815	110
816	-1
817	121
818	1
819	125
820	-1
821	126
822	1
823	125
824	-1
825	125
826	1
827	-123
828	-1
829	127
830	1
831	-114
832	-1
833	126
834	1
835	-110
836	-1
837	127
838	1
839	-108
840	-1
841	121
842	1
843	-107
844	-1
845	122
846	1
847	-103
848	-1
849	121
850	1
851	-97
852	-1
853	115
854	1
855	-95
856	-1
857	114
858	1
859	-92
860	-1
861	111
862	1
863	-84
864	-1
865	106
866	1
867	-85
868	-1
869	98
870	1
871	-82
872	-1
873	97
874	1
875	-73
876	-1
877	97
878	1
879	-68
880	-1
881	101
882	1
883	-60
884	-1
885	95
886	1
887	-50
888	-1
889	100
890	1
891	-41
892	-1
893	100
894	1
895	-32
896	-1
897	99
898	1
899	-23
900	-1
901	98
902	1
903	-19
904	-1
905	98
906	1
907	-12
908	-1
909	103
910	1
911	-4
912	-1
913	106
914	2
915	6
916	-1
917	105
918	2
919	14
920	-1
921	116
922	2
923	20
924	-1
925	113
926	2
927	21
928	-1
929	113
930	2
931	16
932	-1
933	117
934	2
935	30
936	-1
937	117
938	2
939	37
940	-1
941	116
942	2
943	35
944	-1
945	118
946	2
947	41
948	-1
949	120
950	2
951	51
952	-1
953	116
954	2
955	51
956	-1
957	118
958	2
959	55
960	-1
961	117
962	2
963	58
964	-1
965	116
966	2
967	59
968	-1
969	120
970	2
971	64
972	-1
973	121
974	2
975	67
976	-1
977	119
978	2
979	67
980	-1
981	122
982	2
983	73
984	-1
985	126
986	2
987	77
988	-1
989	123
990	2
991	81
992	-1
993	121
994	2
995	79
996	-1
997	115
998	2
999	80
1000	-1
1001	109
1002	2
1003	73
1004	-1
1005	107
1006	2
1007	76
1008	-1
1009	105
1010	2
1011	73
1012	-1
1013	103
1014	2
1015	71
1016	-1
1017	93
1018	2
1019	72
1020	-1
1021	95
1022	2
1023	71
1024	-1
1025	94
1026	2
1027	71
1028	-1
1029	92
1030	2
1031	76
1032	-1
1033	95
1034	2
1035	79
1036	-1
1037	96
1038	2
1039	83
1040	-1
1041	103
1042	2
1043	90
1044	-1
1045	106
1046	2
1047	90
1048	-1
1049	116
1050	2
1051	101
1052	-1
1053	118
1054	2
1055	110
1056	-1
1057	124
1058	2
1059	118
1060	-1
1061	-122
1062	2
1063	126
1064	-1
1065	-114
1066	2
1067	-127
1068	-1
1069	-106
1070	2
1071	-118
1072	-1
1073	-98
1074	2
1075	-116
1076	-1
1077	-95
1078	2
1079	-116
1080	-1
1081	-90
1082	2
1083	-122
1084	-1
1085	-87
1086	2
1087	-124
1088	-1
1089	-86
