Index	Value
0	0
1	41
2	-1
3	-86
4	0
5	41
6	-1
7	-86
8	0
9	43
10	-1
11	-89
12	0
13	42
14	-1
15	-85
16	0
17	43
18	-1
19	-87
20	0
21	42
22	-1
23	-88
24	0
25	45
26	-1
27	-93
28	0
29	43
30	-1
31	-90
32	0
33	46
34	-1
35	-80
36	0
37	45
38	-1
39	-82
40	0
41	42
42	-1
43	-82
44	0
45	43
46	-1
47	-82
48	0
49	43
50	-1
51	-78
52	0
53	45
54	-1
55	-77
56	0
57	46
58	-1
59	-82
60	0
61	45
62	-1
63	-79
64	0
65	46
66	-1
67	-76
68	0
69	46
70	-1
71	-74
72	0
73	41
74	-1
75	-75
76	0
77	35
78	-1
79	-75
80	0
81	36
82	-1
83	-79
84	0
85	42
86	-1
87	-76
88	0
89	44
90	-1
91	-73
92	0
93	42
94	-1
95	-70
96	0
97	35
98	-1
99	-71
100	0
101	40
102	-1
103	-75
104	0
105	40
106	-1
107	-73
108	0
109	39
110	-1
111	-76
112	0
113	44
114	-1
115	-78
116	0
117	40
118	-1
119	-74
120	0
121	40
122	-1
123	-72
124	0
125	40
126	-1
127	-76
128	0
129	35
130	-1
131	-72
132	0
133	39
134	-1
135	-73
136	0
137	36
138	-1
139	-77
140	0
141	39
142	-1
143	-65
144	0
145	42
146	-1
147	-67
148	0
149	44
150	-1
151	-68
152	0
153	40
154	-1
155	-67
156	0
157	39
158	-1
159	-68
160	0
161	44
162	-1
163	-67
164	0
165	43
166	-1
167	-65
168	0
169	42
170	-1
171	-59
172	0
173	44
174	-1
175	-59
176	0
177	37
178	-1
179	-63
180	0
181	32
182	-1
183	-69
184	0
185	31
186	-1
187	-69
188	0
189	30
190	-1
191	-60
192	0
193	29
194	-1
195	-66
196	0
197	25
198	-1
199	-64
200	0
201	29
202	-1
203	-60
204	0
205	26
206	-1
207	-66
208	0
209	21
210	-1
211	-60
212	0
213	15
214	-1
215	-64
216	0
217	13
218	-1
219	-65
220	0
221	14
222	-1
223	-66
224	0
225	16
226	-1
227	-64
228	0
229	25
230	-1
231	-63
232	0
233	22
234	-1
235	-61
236	0
237	19
238	-1
239	-66
240	0
241	16
242	-1
243	-66
244	0
245	13
246	-1
247	-67
248	0
249	13
250	-1
251	-69
252	0
253	16
254	-1
255	-67
256	0
257	13
258	-1
259	-65
260	0
261	15
262	-1
263	-67
264	0
265	14
266	-1
267	-69
268	0
269	6
270	-1
271	-71
272	0
273	6
274	-1
275	-73
276	0
277	4
278	-1
279	-73
280	0
281	7
282	-1
283	-74
284	0
285	7
286	-1
287	-72
288	0
289	6
290	-1
291	-77
292	0
293	0
294	-1
295	-79
296	-1
297	-4
298	-1
299	-77
300	0
301	1
302	-1
303	-75
304	-1
305	-1
306	-1
307	-78
308	-1
309	-2
310	-1
311	-74
312	0
313	3
314	-1
315	-71
316	0
317	7
318	-1
319	-70
320	0
321	5
322	-1
323	-70
324	0
325	1
326	-1
327	-74
328	-1
329	-1
330	-1
331	-77
332	-1
333	-7
334	-1
335	-80
336	-1
337	-6
338	-1
339	-78
340	-1
341	-3
342	-1
343	-78
344	0
345	0
346	-1
347	-74
348	-1
349	-1
350	-1
351	-78
352	-1
353	-6
354	-1
355	-83
356	-1
357	-16
358	-1
359	-82
360	-1
361	-15
362	-1
363	-84
364	-1
365	-17
366	-1
367	-86
368	-1
369	-15
370	-1
371	-84
372	-1
373	-15
374	-1
375	-84
376	-1
377	-16
378	-1
379	-85
380	-1
381	-13
382	-1
383	-87
384	-1
385	-17
386	-1
387	-82
388	-1
389	-20
390	-1
391	-86
392	-1
393	-21
394	-1
395	-81
396	-1
397	-23
398	-1
399	-78
400	-1
401	-17
402	-1
403	-76
404	-1
405	-16
406	-1
407	-78
408	-1
409	-19
410	-1
411	-80
412	-1
413	-23
414	-1
415	-85
416	-1
417	-26
418	-1
419	-83
420	-1
421	-25
422	-1
423	-89
424	-1
425	-29
426	-1
427	-90
428	-1
429	-24
430	-1
431	-87
432	-1
433	-26
434	-1
435	-84
436	-1
437	-24
438	-1
439	-87
440	-1
441	-30
442	-1
443	-89
444	-1
445	-30
446	-1
447	-88
448	-1
449	-35
450	-1
451	-88
452	-1
453	-34
454	-1
455	-83
456	-1
457	-30
458	-1
459	-84
460	-1
461	-31
462	-1
463	-87
464	-1
465	-32
466	-1
467	-85
468	-1
469	-32
470	-1
471	-85
472	-1
473	-31
474	-1
475	-84
476	-1
477	-29
478	-1
479	-86
480	-1
481	-31
482	-1
483	-82
484	-1
485	-29
486	-1
487	-82
488	-1
489	-31
490	-1
491	-84
492	-1
493	-30
494	-1
495	-83
496	-1
497	-32
498	-1
499	-85
500	-1
501	-30
502	-1
503	-86
504	-1
505	-24
506	-1
507	-84
508	-1
509	-28
510	-1
511	-80
512	-1
513	-29
514	-1
515	-82
516	-1
517	-24
518	-1
519	-81
520	-1
521	-25
522	-1
523	-83
524	-1
525	-25
526	-1
527	-82
528	-1
529	-25
530	-1
531	-88
532	-1
533	-29
534	-1
535	-85
536	-1
537	-30
538	-1
539	-86
540	-1
541	-30
542	-1
543	-88
544	-1
545	-30
546	-1
547	-84
548	-1
549	-30
550	-1
551	-81
552	-1
553	-37
554	-1
555	-83
556	-1
557	-38
558	-1
559	-85
560	-1
561	-39
562	-1
563	-87
564	-1
565	-40
566	-1
567	-87
568	-1
569	-46
570	-1
571	-89
572	-1
573	-49
574	-1
575	-85
576	-1
577	-50
578	-1
579	-85
580	-1
581	-49
582	-1
583	-88
584	-1
585	-47
586	-1
587	-83
588	-1
589	-49
590	-1
591	-78
592	-1
593	-45
594	-1
595	-80
596	-1
597	-45
598	-1
599	-77
600	-1
601	-43
602	-1
603	-76
604	-1
605	-37
606	-1
607	-72
608	-1
609	-34
610	-1
611	-74
612	-1
613	-35
614	-1
615	-71
616	-1
617	-30
618	-1
619	-65
620	-1
621	-30
622	-1
623	-66
624	-1
625	-26
626	-1
627	-66
628	-1
629	-25
630	-1
631	-69
632	-1
633	-27
634	-1
635	-65
636	-1
637	-31
638	-1
639	-68
640	-1
641	-32
642	-1
643	-68
644	-1
645	-36
646	-1
647	-72
648	-1
649	-38
650	-1
651	-71
652	-1
653	-36
654	-1
655	-69
656	-1
657	-42
658	-1
659	-67
660	-1
661	-45
662	-1
663	-69
664	-1
665	-43
666	-1
667	-74
668	-1
669	-44
670	-1
671	-75
672	-1
673	-45
674	-1
675	-80
676	-1
677	-50
678	-1
679	-75
680	-1
681	-46
682	-1
683	-77
684	-1
685	-49
686	-1
687	-71
688	-1
689	-47
690	-1
691	-70
692	-1
693	-46
694	-1
695	-63
696	-1
697	-44
698	-1
699	-68
700	-1
701	-40
702	-1
703	-69
704	-1
705	-45
706	-1
707	-65
708	-1
709	-42
710	-1
711	-65
712	-1
713	-40
714	-1
715	-64
716	-1
717	-38
718	-1
719	-65
720	-1
721	-39
722	-1
723	-59
724	-1
725	-40
726	-1
727	-58
728	-1
729	-41
730	-1
731	-58
732	-1
733	-40
734	-1
735	-59
736	-1
737	-35
738	-1
739	-58
740	-1
741	-41
742	-1
743	-54
744	-1
745	-40
746	-1
747	-55
748	-1
749	-43
750	-1
751	-52
752	-1
753	-41
754	-1
755	-50
756	-1
757	-41
758	-1
759	-53
760	-1
761	-39
762	-1
763	-50
764	-1
765	-35
766	-1
767	-51
768	-1
769	-37
770	-1
771	-50
772	-1
773	-41
774	-1
775	-54
776	-1
777	-40
778	-1
779	-55
780	-1
781	-38
782	-1
783	-54
784	-1
785	-38
786	-1
787	-52
788	-1
789	-42
790	-1
791	-52
792	-1
793	-40
794	-1
795	-50
796	-1
797	-37
798	-1
799	-50
800	-1
801	-37
802	-1
803	-49
804	-1
805	-38
806	-1
807	-49
808	-1
809	-36
810	-1
811	-44
812	-1
813	-38
814	-1
815	-48
816	-1
817	-38
818	-1
819	-50
820	-1
821	-39
822	-1
823	-46
824	-1
825	-36
826	-1
827	-43
