Index	Value
0	-1
1	-17
2	0
3	-67
4	-1
5	-13
6	0
7	-63
8	-1
9	-6
10	0
11	-65
12	0
13	2
14	0
15	-71
16	0
17	7
18	0
19	-72
20	0
21	11
22	0
23	-67
24	0
25	18
26	0
27	-64
28	0
29	26
30	0
31	-70
32	0
33	29
34	0
35	-78
36	0
37	30
38	0
39	-77
40	0
41	35
42	0
43	-76
44	0
45	39
46	0
47	-74
48	0
49	38
50	0
51	-81
52	0
53	38
54	0
55	-84
56	0
57	49
58	0
59	-80
60	0
61	62
62	0
63	-79
64	0
65	76
66	0
67	-84
68	0
69	79
70	0
71	-84
72	0
73	90
74	0
75	-78
76	0
77	102
78	0
79	-80
80	0
81	109
82	0
83	-92
84	0
85	113
86	0
87	-85
88	0
89	127
90	0
91	-82
92	0
93	-121
94	0
95	-82
96	0
97	-111
98	0
99	-80
100	0
101	-100
102	0
103	-85
104	0
105	-92
106	0
107	-86
108	0
109	-80
110	0
111	-84
112	0
113	-76
114	0
115	-91
116	0
117	-68
118	0
119	-85
120	0
121	-55
122	0
123	-84
124	0
125	-46
126	0
127	-86
128	0
129	-42
130	0
131	-86
132	0
133	-36
134	0
135	-82
136	0
137	-29
138	0
139	-83
140	0
141	-22
142	0
143	-91
144	0
145	-23
146	0
147	-93
148	0
149	-21
150	0
151	-96
152	0
153	-13
154	0
155	-96
156	0
157	-13
158	0
159	-98
160	0
161	-4
162	0
163	-100
164	0
165	-1
166	0
167	-104
168	1
169	2
170	0
171	-101
172	1
173	5
174	0
175	-103
176	1
177	7
178	0
179	-108
180	1
181	14
182	0
183	-111
184	1
185	24
186	0
187	-108
188	1
189	32
190	0
191	-109
192	1
193	37
194	0
195	-106
196	1
197	47
198	0
199	-102
200	1
201	55
202	0
203	-104
204	1
205	56
206	0
207	-107
208	1
209	64
210	0
211	-102
212	1
213	76
214	0
215	-96
216	1
217	79
218	0
219	-97
220	1
221	77
222	0
223	-98
224	1
225	82
226	0
227	-101
228	1
229	85
230	0
231	-101
232	1
233	87
234	0
235	-101
236	1
237	90
238	0
239	-106
240	1
241	96
242	0
243	-102
244	1
245	90
246	0
247	-103
248	1
249	97
250	0
251	-107
252	1
253	104
254	0
255	-109
256	1
257	105
258	0
259	-103
260	1
261	108
262	0
263	-103
264	1
265	120
266	0
267	-106
268	1
269	126
270	0
271	-96
272	1
273	-123
274	0
275	-98
276	1
277	-117
278	0
279	-98
280	1
281	-111
282	0
283	-104
284	1
285	-108
286	0
287	-105
288	1
289	-97
290	0
291	-106
292	1
293	-87
294	0
295	-106
296	1
297	-84
298	0
299	-107
300	1
301	-77
302	0
303	-108
304	1
305	-74
306	0
307	-112
308	1
309	-71
310	0
311	-110
312	1
313	-61
314	0
315	-105
316	1
317	-57
318	0
319	-99
320	1
321	-52
322	0
323	-107
324	1
325	-48
326	0
327	-113
328	1
329	-46
330	0
331	-119
332	1
333	-39
334	0
335	-120
336	1
337	-33
338	0
339	-121
340	1
341	-26
342	0
343	-126
344	1
345	-27
346	0
347	-119
348	1
349	-18
350	0
351	127
352	1
353	-10
354	0
355	-126
356	1
357	-7
358	0
359	126
360	1
361	-1
362	0
363	126
364	2
365	3
366	0
367	121
368	2
369	10
370	0
371	115
372	2
373	15
374	0
375	114
376	2
377	24
378	0
379	113
380	2
381	25
382	0
383	108
384	2
385	29
386	0
387	107
388	2
389	38
390	0
391	104
392	2
393	35
394	0
395	99
396	2
397	43
398	0
399	102
400	2
401	45
402	0
403	101
404	2
405	49
406	0
407	98
408	2
409	55
410	0
411	98
412	2
413	57
414	0
415	93
416	2
417	64
418	0
419	90
420	2
421	60
422	0
423	87
424	2
425	65
426	0
427	76
428	2
429	68
430	0
431	72
432	2
433	75
434	0
435	65
436	2
437	84
438	0
439	72
440	2
441	89
442	0
443	70
444	2
445	97
446	0
447	60
448	2
449	92
450	0
451	63
452	2
453	102
454	0
455	58
456	2
457	104
458	0
459	51
460	2
461	104
462	0
463	39
464	2
465	106
466	0
467	40
468	2
469	107
470	0
471	42
472	2
473	114
474	0
475	36
476	2
477	123
478	0
479	29
480	2
481	-124
482	0
483	35
484	2
485	-123
486	0
487	34
488	2
489	-120
490	0
491	30
492	2
493	-118
494	0
495	29
496	2
497	-117
498	0
499	29
500	2
501	-105
502	0
503	22
504	2
505	-96
506	0
507	22
508	2
509	-85
510	0
511	21
512	2
513	-81
514	0
515	19
516	2
517	-72
518	0
519	19
520	2
521	-67
522	0
523	14
524	2
525	-63
526	0
527	15
528	2
529	-59
530	0
531	13
532	2
533	-52
534	0
535	11
536	2
537	-46
538	0
539	11
540	2
541	-34
542	0
543	8
544	2
545	-25
546	0
547	8
548	2
549	-22
550	0
551	2
552	2
553	-16
554	-1
555	-10
556	2
557	-13
558	-1
559	-13
560	2
561	-9
562	-1
563	-11
564	2
565	-2
566	-1
567	-18
568	3
569	9
570	-1
571	-15
572	3
573	11
574	-1
575	-16
576	3
577	11
578	-1
579	-26
580	3
581	24
582	-1
583	-34
584	3
585	30
586	-1
587	-33
588	3
589	41
590	-1
591	-32
592	3
593	46
594	-1
595	-36
596	3
597	50
598	-1
599	-37
600	3
601	60
602	-1
603	-39
604	3
605	69
606	-1
607	-42
608	3
609	74
610	-1
611	-53
612	3
613	80
614	-1
615	-56
616	3
617	85
618	-1
619	-55
620	3
621	95
622	-1
623	-62
624	3
625	99
626	-1
627	-72
628	3
629	96
630	-1
631	-71
632	3
633	104
634	-1
635	-75
636	3
637	104
638	-1
639	-85
640	3
641	102
642	-1
643	-85
644	3
645	107
646	-1
647	-88
648	3
649	108
650	-1
651	-91
652	3
653	115
654	-1
655	-97
656	3
657	120
658	-1
659	-94
660	3
661	120
662	-1
663	-91
664	3
665	-126
666	-1
667	-93
668	3
669	-118
670	-1
671	-95
672	3
673	-115
674	-1
675	-96
676	3
677	-110
678	-1
679	-99
680	3
681	-112
682	-1
683	-106
684	3
685	-114
686	-1
687	-105
688	3
689	-104
690	-1
691	-104
692	3
693	-89
694	-1
695	-101
696	3
697	-85
698	-1
699	-100
700	3
701	-77
702	-1
703	-100
704	3
705	-72
706	-1
707	-102
708	3
709	-67
710	-1
711	-105
712	3
713	-66
714	-1
715	-106
716	3
717	-66
718	-1
719	-102
720	3
721	-60
722	-1
723	-100
724	3
725	-55
726	-1
727	-104
728	3
729	-53
730	-1
731	-103
732	3
733	-53
734	-1
735	-109
736	3
737	-46
738	-1
739	-111
740	3
741	-39
742	-1
743	-112
744	3
745	-31
746	-1
747	-106
748	3
749	-28
750	-1
751	-111
752	3
753	-27
754	-1
755	-111
756	3
757	-17
758	-1
759	-107
760	3
761	-13
762	-1
763	-105
764	3
765	-8
766	-1
767	-106
768	3
769	-5
770	-1
771	-102
772	3
773	-1
774	-1
775	-109
776	3
777	-2
778	-1
779	-113
780	4
781	0
782	-1
783	-114
784	4
785	5
786	-1
787	-121
788	4
789	7
790	-1
791	-123
792	4
793	14
794	-1
795	-122
796	4
797	16
798	-1
799	-122
800	4
801	15
802	-1
803	-127
804	4
805	21
806	-1
807	127
808	4
809	23
810	-1
811	-126
812	4
813	31
814	-1
815	125
816	4
817	31
818	-1
819	121
820	4
821	33
822	-1
823	117
824	4
825	42
826	-1
827	118
828	4
829	51
830	-1
831	117
832	4
833	52
834	-1
835	116
836	4
837	58
838	-1
839	121
840	4
841	61
842	-1
843	119
844	4
845	66
846	-1
847	120
848	4
849	65
850	-1
851	122
852	4
853	67
854	-1
855	-128
856	4
857	66
858	-1
859	125
860	4
861	61
862	-1
863	123
864	4
865	57
866	-1
867	117
868	4
869	62
870	-1
871	117
872	4
873	59
874	-1
875	112
876	4
877	61
878	-1
879	111
880	4
881	56
882	-1
883	113
884	4
885	52
886	-1
887	110
888	4
889	57
890	-1
891	111
892	4
893	61
894	-1
895	114
896	4
897	61
898	-1
899	113
900	4
901	55
902	-1
903	109
904	4
905	60
906	-1
907	111
908	4
909	57
910	-1
911	108
912	4
913	57
914	-1
915	110
916	4
917	57
918	-1
919	108
920	4
921	58
922	-1
923	110
924	4
925	57
926	-1
927	113
928	4
929	61
930	-1
931	115
932	4
933	64
934	-1
935	115
936	4
937	63
938	-1
939	120
940	4
941	63
942	-1
943	115
944	4
945	64
946	-1
947	114
948	4
949	64
950	-1
951	116
952	4
953	64
954	-1
955	109
956	4
957	67
958	-1
959	115
960	4
961	72
962	-1
963	112
964	4
965	70
966	-1
967	111
968	4
969	69
970	-1
971	114
972	4
973	72
974	-1
975	109
976	4
977	72
978	-1
979	106
980	4
981	69
982	-1
983	105
984	4
985	69
986	-1
987	95
988	4
989	68
990	-1
991	98
992	4
993	67
994	-1
995	97
996	4
997	63
998	-1
999	101
1000	4
1001	62
1002	-1
1003	95
1004	4
1005	72
1006	-1
1007	101
1008	4
1009	67
1010	-1
1011	95
1012	4
1013	70
1014	-1
1015	101
1016	4
1017	73
1018	-1
1019	90
1020	4
1021	69
1022	-1
1023	87
1024	4
1025	73
1026	-1
1027	91
1028	4
1029	71
1030	-1
1031	89
1032	4
1033	69
1034	-1
1035	97
1036	4
1037	70
1038	-1
1039	101
1040	4
1041	78
1042	-1
1043	101
1044	4
1045	78
1046	-1
1047	103
1048	4
1049	82
1050	-1
1051	110
1052	4
1053	86
1054	-1
1055	113
1056	4
1057	85
1058	-1
1059	119
1060	4
1061	84
1062	-1
1063	121
1064	4
1065	91
1066	-1
1067	126
1068	4
1069	98
1070	-1
1071	127
1072	4
1073	100
1074	-1
1075	-126
1076	4
1077	99
1078	-1
1079	-125
1080	4
1081	97
1082	-1
1083	-127
1084	4
1085	97
1086	-1
1087	-127
1088	4
1089	91
1090	-1
1091	-124
1092	4
1093	96
1094	-1
1095	-128
1096	4
1097	96
1098	-1
1099	-121
1100	4
1101	89
1102	-1
1103	-124
1104	4
1105	86
1106	-1
1107	-126
1108	4
1109	78
1110	-1
1111	-124
1112	4
1113	81
1114	-1
1115	-127
1116	4
1117	77
1118	-1
1119	-127
1120	4
1121	78
1122	-1
1123	126
1124	4
1125	71
1126	-1
1127	-126
1128	4
1129	69
1130	-1
1131	125
1132	4
1133	71
1134	-1
1135	123
1136	4
1137	65
1138	-1
1139	127
1140	4
1141	67
1142	-1
1143	-128
1144	4
1145	66
1146	-1
