Index	Value
0	0
1	-31
2	-2
3	-112
4	0
5	-32
6	-2
7	-124
8	0
9	-33
10	-2
11	115
12	0
13	-35
14	-2
15	109
16	0
17	-38
18	-2
19	102
20	0
21	-34
22	-2
23	104
24	0
25	-26
26	-2
27	97
28	0
29	-37
30	-2
31	88
32	0
33	-39
34	-2
35	98
36	0
37	-28
38	-2
39	100
40	0
41	-31
42	-2
43	100
44	0
45	-35
46	-2
47	93
48	0
49	-29
50	-2
51	82
52	0
53	-21
54	-2
55	84
56	0
57	-16
58	-2
59	82
60	0
61	-4
62	-2
63	89
64	1
65	2
66	-2
67	85
68	0
69	-19
70	-2
71	75
72	0
73	-11
74	-2
75	70
76	1
77	2
78	-2
79	67
80	1
81	3
82	-2
83	70
84	1
85	5
86	-2
87	77
88	1
89	6
90	-2
91	75
92	1
93	0
94	-2
95	67
96	1
97	11
98	-2
99	76
100	1
101	17
102	-2
103	85
104	1
105	12
106	-2
107	85
108	1
109	12
110	-2
111	87
112	0
113	-4
114	-2
115	85
116	0
117	-7
118	-2
119	86
120	0
121	-8
122	-2
123	87
124	0
125	-10
126	-2
127	90
128	0
129	-12
130	-2
131	94
132	0
133	-6
134	-2
135	92
136	0
137	-12
138	-2
139	80
140	0
141	-11
142	-2
143	77
144	1
145	0
146	-2
147	78
148	0
149	-4
150	-2
151	77
152	0
153	-17
154	-2
155	74
156	0
157	-19
158	-2
159	71
160	0
161	-17
162	-2
163	68
164	0
165	-11
166	-2
167	71
168	0
169	-10
170	-2
171	89
172	0
173	-4
174	-2
175	104
176	0
177	-10
178	-2
179	98
180	0
181	-22
182	-2
183	81
184	0
185	-24
186	-2
187	73
188	0
189	-30
190	-2
191	77
192	0
193	-31
194	-2
195	80
196	0
197	-16
198	-2
199	75
200	0
201	-16
202	-2
203	83
204	0
205	-20
206	-2
207	87
208	0
209	-21
210	-2
211	93
212	0
213	-28
214	-2
215	90
216	0
217	-40
218	-2
219	81
220	0
221	-43
222	-2
223	83
224	0
225	-36
226	-2
227	87
228	0
229	-20
230	-2
231	91
232	0
233	-24
234	-2
235	94
236	0
237	-43
238	-2
239	103
240	0
241	-46
242	-2
243	90
244	0
245	-54
246	-2
247	78
248	0
249	-37
250	-2
251	85
252	0
253	-30
254	-2
255	95
256	0
257	-40
258	-2
259	91
260	0
261	-65
262	-2
263	94
264	0
265	-69
266	-2
267	85
268	0
269	-49
270	-2
271	78
272	0
273	-39
274	-2
275	76
276	0
277	-45
278	-2
279	83
