Index	Value
0	1
1	1
2	0
3	27
4	0
5	-2
6	0
7	27
8	0
9	-4
10	0
11	22
12	0
13	-1
14	0
15	18
16	0
17	-4
18	0
19	13
20	1
21	0
22	0
23	16
24	1
25	1
26	0
27	15
28	0
29	-3
30	0
31	10
32	1
33	1
34	0
35	5
36	0
37	-4
38	0
39	2
40	0
41	-2
42	0
43	0
44	0
45	-7
46	-1
47	-5
48	0
49	-7
50	-1
51	-11
52	0
53	-6
54	-1
55	-12
56	0
57	-4
58	-1
59	-12
60	0
61	-12
62	-1
63	-21
64	0
65	-14
66	-1
67	-29
68	0
69	-17
70	-1
71	-32
72	0
73	-22
74	-1
75	-36
76	0
77	-26
78	-1
79	-46
80	0
81	-31
82	-1
83	-54
84	0
85	-36
86	-1
87	-60
88	0
89	-36
90	-1
91	-63
92	0
93	-35
94	-1
95	-65
96	0
97	-43
98	-1
99	-66
100	0
101	-39
102	-1
103	-69
104	0
105	-45
106	-1
107	-72
108	0
109	-43
110	-1
111	-74
112	0
113	-43
114	-1
115	-81
116	0
117	-44
118	-1
119	-87
120	0
121	-43
122	-1
123	-89
124	0
125	-44
126	-1
127	-94
128	0
129	-45
130	-1
131	-100
132	0
133	-51
134	-1
135	-101
136	0
137	-50
138	-1
139	-107
140	0
141	-48
142	-1
143	-109
144	0
145	-54
146	-1
147	-115
148	0
149	-61
150	-1
151	-121
152	0
153	-59
154	-1
155	-122
156	0
157	-62
158	-1
159	-123
160	0
161	-70
162	-1
163	122
164	0
165	-65
166	-1
167	123
168	0
169	-56
170	-1
171	121
172	0
173	-67
174	-1
175	114
176	0
177	-67
178	-1
179	114
180	0
181	-75
182	-1
183	104
184	0
185	-73
186	-1
187	100
188	0
189	-73
190	-1
191	99
192	0
193	-74
194	-1
195	92
196	0
197	-71
198	-1
199	92
200	0
201	-74
202	-1
203	85
204	0
205	-79
206	-1
207	81
208	0
209	-85
210	-1
211	74
212	0
213	-89
214	-1
215	63
216	0
217	-91
218	-1
219	60
220	0
221	-88
222	-1
223	56
224	0
225	-91
226	-1
227	53
228	0
229	-94
230	-1
231	54
232	0
233	-97
234	-1
235	46
236	0
237	-98
238	-1
239	40
240	0
241	-99
242	-1
243	40
244	0
245	-101
246	-1
247	35
248	0
249	-105
250	-1
251	35
252	0
253	-104
254	-1
255	31
256	0
257	-113
258	-1
259	27
260	0
261	-116
262	-1
263	21
264	0
265	-118
266	-1
267	13
268	0
269	-123
270	-1
271	11
272	0
273	-126
274	-1
275	6
276	0
277	124
278	-1
279	0
280	0
281	121
282	-2
283	-1
284	0
285	123
286	-2
287	-6
288	0
289	120
290	-2
291	-12
292	0
293	111
294	-2
295	-11
296	0
297	112
298	-2
299	-14
300	0
301	110
302	-2
303	-17
304	0
305	109
306	-2
307	-18
308	0
309	107
310	-2
311	-23
312	0
313	108
314	-2
315	-26
316	0
317	111
318	-2
319	-33
320	0
321	106
322	-2
323	-33
324	0
325	99
326	-2
327	-33
328	0
329	103
330	-2
331	-36
332	0
333	103
334	-2
335	-39
336	0
337	102
338	-2
339	-44
340	0
341	102
342	-2
343	-43
344	0
345	101
346	-2
347	-42
348	0
349	92
350	-2
351	-48
352	0
353	87
354	-2
355	-55
356	0
357	84
358	-2
359	-56
360	0
361	80
362	-2
363	-55
364	0
365	77
366	-2
367	-63
368	0
369	76
370	-2
371	-63
372	0
373	78
374	-2
375	-66
376	0
377	72
378	-2
379	-72
380	0
381	71
382	-2
383	-76
384	0
385	69
386	-2
387	-79
388	0
389	65
390	-2
391	-80
392	0
393	66
394	-2
395	-85
396	0
397	69
398	-2
399	-90
400	0
401	66
402	-2
403	-93
404	0
405	62
406	-2
407	-94
408	0
409	53
410	-2
411	-97
412	0
413	52
414	-2
415	-104
416	0
417	58
418	-2
419	-105
420	0
421	58
422	-2
423	-110
424	0
425	52
426	-2
427	-112
428	0
429	48
430	-2
431	-113
432	0
433	50
434	-2
435	-121
436	0
437	38
438	-2
439	-127
440	0
441	35
442	-2
443	121
444	0
445	32
446	-2
447	118
448	0
449	31
450	-2
451	117
452	0
453	37
454	-2
455	116
456	0
457	31
458	-2
459	112
460	0
461	29
462	-2
463	113
464	0
465	29
466	-2
467	111
468	0
469	27
470	-2
471	108
472	0
473	25
474	-2
475	106
476	0
477	25
478	-2
479	97
480	0
481	14
482	-2
483	96
484	0
485	16
486	-2
487	89
488	0
489	14
490	-2
491	88
492	0
493	8
494	-2
495	83
496	0
497	2
498	-2
499	82
500	0
501	1
502	-2
503	79
504	-1
505	-4
506	-2
507	78
508	-1
509	-3
510	-2
511	77
512	-1
513	-9
514	-2
515	75
516	-1
517	-9
518	-2
519	73
520	-1
521	-12
522	-2
523	72
524	-1
525	-11
526	-2
527	73
528	-1
529	-18
530	-2
531	64
532	-1
533	-22
534	-2
535	61
536	-1
537	-22
538	-2
539	58
540	-1
541	-24
542	-2
543	56
544	-1
545	-22
546	-2
547	57
548	-1
549	-28
550	-2
551	56
552	-1
553	-31
554	-2
555	44
556	-1
557	-36
558	-2
559	42
560	-1
561	-39
562	-2
563	39
564	-1
565	-37
566	-2
567	37
568	-1
569	-43
570	-2
571	34
572	-1
573	-42
574	-2
575	29
576	-1
577	-48
578	-2
579	21
580	-1
581	-54
582	-2
583	22
584	-1
585	-48
586	-2
587	24
588	-1
589	-49
590	-2
591	28
592	-1
593	-53
594	-2
595	18
596	-1
597	-54
598	-2
599	13
600	-1
601	-52
602	-2
603	13
604	-1
605	-57
606	-2
607	11
608	-1
609	-64
610	-2
611	4
612	-1
613	-61
614	-2
615	2
616	-1
617	-64
618	-2
619	7
620	-1
621	-56
622	-2
623	3
624	-1
625	-56
626	-2
627	0
628	-1
629	-56
630	-3
631	-2
632	-1
633	-56
634	-3
635	-3
636	-1
637	-52
638	-3
639	-3
640	-1
641	-54
642	-3
643	-3
644	-1
645	-60
646	-3
647	-3
648	-1
649	-53
650	-3
651	-6
652	-1
653	-55
654	-3
655	-13
656	-1
657	-56
658	-3
659	-10
660	-1
661	-62
662	-3
663	-14
664	-1
665	-64
666	-3
667	-22
668	-1
669	-70
670	-3
671	-20
672	-1
673	-75
674	-3
675	-20
676	-1
677	-76
678	-3
679	-25
680	-1
681	-78
682	-3
683	-24
684	-1
685	-78
686	-3
687	-23
688	-1
689	-84
690	-3
691	-26
692	-1
693	-92
694	-3
695	-29
696	-1
697	-92
698	-3
699	-38
700	-1
701	-99
702	-3
703	-37
704	-1
705	-106
706	-3
