Index	Value
0	-2
1	-17
2	1
3	106
4	-2
5	-25
6	1
7	107
8	-2
9	-25
10	1
11	104
12	-2
13	-24
14	1
15	103
16	-2
17	-22
18	1
19	102
20	-2
21	-24
22	1
23	115
24	-2
25	-24
26	1
27	120
28	-2
29	-19
30	1
31	118
32	-2
33	-20
34	1
35	125
36	-2
37	-17
38	1
39	-125
40	-2
41	-10
42	1
43	-123
44	-2
45	-12
46	1
47	-125
48	-2
49	-14
50	1
51	-118
52	-2
53	-10
54	1
55	-118
56	-2
57	-8
58	1
59	-124
60	-2
61	-4
62	1
63	-116
64	-1
65	5
66	1
67	-120
68	-1
69	4
70	1
71	-121
72	-1
73	0
74	1
75	-117
76	-1
77	5
78	1
79	-104
80	-1
81	2
82	1
83	-109
84	-1
85	0
86	1
87	-110
88	-1
89	11
90	1
91	-104
92	-1
93	15
94	1
95	-110
96	-1
97	17
98	1
99	-98
100	-1
101	19
102	1
103	-95
104	-1
105	24
106	1
107	-98
108	-1
109	29
110	1
111	-90
112	-1
113	28
114	1
115	-96
116	-1
117	37
118	1
119	-98
120	-1
121	42
122	1
123	-94
124	-1
125	46
126	1
127	-90
128	-1
129	49
130	1
131	-87
132	-1
133	49
134	1
135	-94
136	-1
137	52
138	1
139	-105
140	-1
141	54
142	1
143	-101
144	-1
145	54
146	1
147	-103
148	-1
149	53
150	1
151	-94
152	-1
153	59
154	1
155	-93
156	-1
157	65
158	1
159	-93
160	-1
161	69
162	1
163	-89
164	-1
165	69
166	1
167	-84
168	-1
169	62
170	1
171	-93
172	-1
173	59
174	1
175	-88
176	-1
177	61
178	1
179	-79
180	-1
181	58
182	1
183	-92
184	-1
185	64
186	1
187	-81
188	-1
189	66
190	1
191	-71
192	-1
193	62
194	1
195	-83
196	-1
197	70
198	1
199	-83
200	-1
201	70
202	1
203	-89
204	-1
205	70
206	1
207	-91
208	-1
209	77
210	1
211	-82
212	-1
213	80
214	1
215	-75
216	-1
217	86
218	1
219	-77
220	-1
221	92
222	1
223	-77
224	-1
225	102
226	1
227	-73
228	-1
229	100
230	1
231	-76
232	-1
233	98
234	1
235	-75
236	-1
237	102
238	1
239	-73
240	-1
241	111
242	1
243	-77
244	-1
245	105
246	1
247	-80
248	-1
249	104
250	1
251	-77
252	-1
253	110
254	1
255	-82
256	-1
257	109
258	1
259	-88
260	-1
261	114
262	1
263	-84
264	-1
265	113
266	1
267	-89
268	-1
269	118
270	1
271	-92
272	-1
273	118
274	1
275	-87
276	-1
277	119
278	1
279	-91
280	-1
281	-128
282	1
283	-93
284	-1
285	-124
286	1
287	-91
288	-1
289	-116
290	1
291	-90
292	-1
293	-116
294	1
295	-95
296	-1
297	-116
298	1
299	-92
300	-1
301	-114
302	1
303	-88
304	-1
305	-108
306	1
307	-93
308	-1
309	-101
310	1
311	-95
312	-1
313	-95
314	1
315	-97
316	-1
317	-94
318	1
319	-97
320	-1
321	-89
322	1
323	-97
324	-1
325	-81
326	1
327	-95
328	-1
329	-76
330	1
331	-94
332	-1
333	-65
334	1
335	-94
336	-1
337	-61
338	1
339	-96
340	-1
341	-60
342	1
343	-103
344	-1
345	-53
346	1
347	-101
348	-1
349	-49
350	1
351	-103
352	-1
353	-52
354	1
355	-114
356	-1
357	-49
358	1
359	-109
360	-1
361	-39
362	1
363	-110
364	-1
365	-40
366	1
367	-110
368	-1
369	-42
370	1
371	-109
372	-1
373	-30
374	1
375	-103
376	-1
377	-26
378	1
379	-106
380	-1
381	-23
382	1
383	-111
384	-1
385	-14
386	1
387	-108
388	-1
389	-12
390	1
391	-115
392	-1
393	-9
394	1
395	-118
396	-1
397	-2
398	1
399	-117
400	0
401	6
402	1
403	-113
404	0
405	15
406	1
407	-122
408	0
409	23
410	1
411	-112
412	0
413	25
414	1
415	-106
416	0
417	32
418	1
419	-108
420	0
421	40
422	1
423	-110
424	0
425	48
426	1
427	-120
428	0
429	55
430	1
431	-126
432	0
433	54
434	1
435	-115
436	0
437	57
438	1
439	-109
440	0
441	66
442	1
443	-120
444	0
445	71
446	1
447	-118
448	0
449	78
450	1
451	-123
452	0
453	84
454	1
455	-121
456	0
457	87
458	1
459	-115
460	0
461	99
462	1
463	-114
464	0
465	111
466	1
467	-122
468	0
469	112
470	1
471	-123
472	0
473	116
474	1
475	-124
476	0
477	117
478	1
479	123
480	0
481	124
482	1
483	121
484	0
485	126
486	1
487	126
488	0
489	-125
490	1
491	126
492	0
493	-115
494	1
495	121
496	0
497	-108
498	1
499	126
500	0
501	-110
502	1
503	120
504	0
505	-103
506	1
507	118
508	0
509	-102
510	1
511	116
512	0
513	-106
514	1
515	109
516	0
517	-99
518	1
519	108
520	0
521	-90
522	1
523	113
524	0
525	-89
526	1
527	108
528	0
529	-85
530	1
531	105
532	0
533	-73
534	1
535	112
536	0
537	-68
538	1
539	111
540	0
541	-61
542	1
543	108
544	0
545	-52
546	1
547	107
548	0
549	-45
550	1
551	108
552	0
553	-37
554	1
555	111
556	0
557	-31
558	1
559	117
560	0
561	-17
562	1
563	120
564	0
565	-9
566	1
567	116
568	0
569	-7
570	1
571	110
572	0
573	-2
574	1
575	106
576	1
577	4
578	1
579	100
580	1
581	6
582	1
583	95
584	1
585	10
586	1
587	101
588	1
589	18
590	1
591	94
592	1
593	26
594	1
595	96
596	1
597	38
598	1
599	96
600	1
601	37
602	1
603	86
604	1
605	42
606	1
607	93
608	1
609	45
610	1
611	94
612	1
613	49
614	1
615	95
616	1
617	56
618	1
619	94
620	1
621	52
622	1
623	85
624	1
625	61
626	1
627	84
628	1
629	63
630	1
631	83
632	1
633	61
634	1
635	80
636	1
637	70
638	1
639	79
640	1
641	78
642	1
643	70
644	1
645	82
646	1
647	74
648	1
649	91
650	1
651	74
652	1
653	100
654	1
655	74
656	1
657	104
658	1
659	82
660	1
661	108
662	1
663	71
664	1
665	109
666	1
667	69
668	1
669	113
670	1
671	67
672	1
673	117
674	1
675	62
676	1
677	122
678	1
679	57
680	1
681	-128
682	1
683	66
684	1
685	-121
686	1
687	68
688	1
689	-117
690	1
691	58
692	1
693	-113
694	1
695	61
696	1
697	-110
698	1
699	68
700	1
701	-100
702	1
703	59
704	1
705	-92
706	1
707	63
708	1
709	-89
710	1
711	67
712	1
713	-79
714	1
715	66
716	1
717	-77
718	1
719	65
720	1
721	-76
722	1
723	61
724	1
725	-67
726	1
727	64
728	1
729	-64
730	1
731	54
732	1
733	-58
734	1
735	52
736	1
737	-54
738	1
739	54
740	1
741	-43
742	1
743	49
744	1
745	-46
746	1
747	50
748	1
749	-45
750	1
751	45
752	1
753	-49
754	1
755	34
756	1
757	-45
758	1
759	36
760	1
761	-38
762	1
763	35
764	1
765	-33
766	1
767	30
768	1
769	-25
770	1
771	34
772	1
773	-21
774	1
775	34
776	1
777	-17
778	1
779	30
780	1
781	-10
782	1
783	31
784	2
785	1
786	1
787	33
788	2
789	4
790	1
791	37
792	2
793	11
794	1
795	29
796	2
797	17
798	1
799	22
800	2
801	15
802	1
803	18
804	2
805	20
806	1
807	11
808	2
809	22
810	1
811	19
812	2
813	19
814	1
815	11
816	2
817	21
818	1
819	4
820	2
821	17
822	1
823	0
824	2
825	21
826	0
827	-2
828	2
829	23
830	1
831	9
832	2
833	34
834	1
835	9
836	2
837	33
838	1
839	5
840	2
841	31
842	1
843	2
844	2
845	38
846	1
847	11
848	2
849	53
850	1
851	8
852	2
853	54
854	1
855	13
856	2
857	62
858	1
859	25
860	2
861	72
862	1
863	15
864	2
865	71
866	1
867	14
868	2
869	83
870	1
871	13
872	2
873	89
874	1
875	11
876	2
877	92
878	1
879	10
880	2
881	97
882	1
883	13
884	2
885	101
886	1
887	16
888	2
889	102
890	1
891	11
892	2
893	105
894	1
895	11
896	2
897	101
898	1
899	7
900	2
901	102
902	1
903	8
904	2
905	105
906	1
907	9
908	2
909	107
910	1
911	2
912	2
913	105
914	0
915	-6
916	2
917	103
918	1
919	0
920	2
921	104
922	0
923	-1
924	2
925	108
926	0
927	-5
928	2
929	106
930	1
931	0
932	2
933	115
934	0
935	-2
936	2
937	119
938	1
939	1
940	2
941	125
942	0
943	-6
944	2
945	126
946	0
947	-8
948	2
949	120
950	0
951	-10
952	2
953	126
954	0
955	-15
956	2
957	-120
958	0
959	-13
960	2
961	-118
962	0
963	-8
964	2
965	-119
966	0
967	-4
968	2
969	-113
970	0
971	-7
972	2
973	-110
974	0
975	-9
976	2
977	-110
978	0
979	-11
980	2
981	-109
982	1
983	0
984	2
985	-106
986	0
987	-5
988	2
989	-104
990	0
991	-11
992	2
993	-107
994	1
995	0
996	2
997	-106
998	0
999	-1
1000	2
1001	-99
1002	0
1003	-5
1004	2
1005	-97
1006	0
1007	-4
1008	2
1009	-95
1010	1
1011	1
1012	2
1013	-89
1014	0
1015	-1
1016	2
1017	-88
1018	0
1019	-6
1020	2
1021	-85
1022	0
1023	-10
1024	2
1025	-85
1026	0
1027	-5
1028	2
1029	-77
1030	0
1031	-12
1032	2
1033	-76
1034	0
1035	-7
1036	2
1037	-80
1038	0
1039	-7
1040	2
1041	-76
1042	0
1043	-8
1044	2
1045	-71
1046	0
1047	-2
1048	2
1049	-75
1050	0
1051	-12
1052	2
1053	-77
1054	0
1055	-17
1056	2
1057	-73
1058	0
1059	-13
1060	2
1061	-77
1062	0
1063	-6
1064	2
1065	-71
1066	0
1067	-11
1068	2
1069	-74
1070	0
1071	-5
1072	2
1073	-75
1074	0
1075	-6
1076	2
1077	-76
1078	1
1079	0
1080	2
1081	-76
1082	1
1083	4
1084	2
1085	-75
1086	0
1087	-2
1088	2
1089	-75
1090	0
1091	-6
1092	2
1093	-76
1094	0
1095	-10
1096	2
1097	-77
1098	0
1099	-13
1100	2
1101	-78
1102	1
1103	0
1104	2
1105	-72
1106	1
1107	3
1108	2
1109	-68
1110	0
1111	-2
1112	2
1113	-79
1114	1
1115	0
1116	2
1117	-79
1118	1
1119	6
1120	2
1121	-78
1122	1
1123	9
1124	2
1125	-77
1126	1
1127	3
1128	2
1129	-80
1130	1
1131	3
1132	2
1133	-78
1134	1
1135	6
1136	2
1137	-81
1138	1
1139	9
1140	2
1141	-81
1142	1
1143	8
1144	2
1145	-85
1146	1
1147	4
1148	2
1149	-87
1150	1
1151	10
1152	2
1153	-89
1154	1
1155	9
1156	2
1157	-91
1158	1
1159	4
1160	2
1161	-89
1162	1
1163	14
1164	2
1165	-90
1166	1
1167	12
1168	2
1169	-90
1170	1
1171	21
1172	2
1173	-87
1174	1
1175	22
1176	2
1177	-87
1178	1
1179	20
1180	2
1181	-81
1182	1
1183	19
1184	2
1185	-83
1186	1
1187	19
1188	2
1189	-90
1190	1
1191	23
1192	2
1193	-88
1194	1
1195	20
1196	2
1197	-86
1198	1
1199	25
1200	2
1201	-86
1202	1
1203	21
1204	2
1205	-89
1206	1
1207	17
1208	2
1209	-92
1210	1
1211	21
1212	2
1213	-93
1214	1
1215	27
1216	2
1217	-96
1218	1
1219	27
1220	2
1221	-98
1222	1
1223	32
1224	2
1225	-100
1226	1
1227	28
1228	2
1229	-102
1230	1
1231	32
1232	2
1233	-100
1234	1
1235	25
1236	2
1237	-100
1238	1
1239	23
1240	2
1241	-106
1242	1
1243	30
1244	2
1245	-105
1246	1
1247	28
1248	2
1249	-101
1250	1
1251	34
1252	2
1253	-105
1254	1
1255	28
1256	2
1257	-103
1258	1
1259	30
1260	2
1261	-106
1262	1
1263	34
1264	2
1265	-109
1266	1
1267	36
1268	2
1269	-106
1270	1
1271	44
1272	2
1273	-105
1274	1
1275	44
1276	2
1277	-105
1278	1
1279	35
1280	2
1281	-110
1282	1
1283	44
1284	2
1285	-106
1286	1
1287	46
1288	2
1289	-103
1290	1
1291	49
1292	2
1293	-101
1294	1
1295	46
1296	2
1297	-100
1298	1
1299	46
1300	2
1301	-100
1302	1
1303	43
1304	2
1305	-99
1306	1
1307	44
1308	2
1309	-102
1310	1
1311	51
1312	2
1313	-104
1314	1
1315	52
1316	2
1317	-107
1318	1
1319	56
1320	2
1321	-117
1322	1
1323	53
1324	2
1325	-115
1326	1
1327	52
1328	2
1329	-116
1330	1
1331	47
1332	2
1333	-116
1334	1
1335	40
1336	2
1337	-113
1338	1
1339	46
1340	2
1341	-119
1342	1
1343	37
1344	2
1345	-127
1346	1
1347	41
1348	2
1349	127
1350	1
1351	39
1352	2
1353	124
1354	1
1355	37
1356	2
1357	-127
1358	1
1359	37
1360	2
1361	-125
1362	1
1363	39
1364	2
1365	-124
1366	1
1367	48
1368	2
1369	126
1370	1
1371	49
1372	2
1373	-124
1374	1
1375	51
1376	2
1377	-124
1378	1
1379	44
1380	2
1381	124
1382	1
1383	58
1384	2
1385	-127
1386	1
1387	57
1388	2
1389	-127
1390	1
1391	58
1392	2
1393	127
1394	1
1395	59
1396	2
1397	127
1398	1
1399	65
1400	2
1401	-127
1402	1
1403	62
1404	2
1405	121
1406	1
1407	68
1408	2
1409	124
1410	1
1411	70
1412	2
1413	126
1414	1
1415	65
1416	2
1417	122
1418	1
1419	68
1420	2
1421	119
1422	1
1423	72
1424	2
1425	115
1426	1
1427	65
1428	2
1429	114
1430	1
1431	64
1432	2
1433	113
1434	1
1435	66
1436	2
1437	111
1438	1
1439	60
1440	2
1441	104
1442	1
1443	60
1444	2
1445	110
1446	1
1447	65
1448	2
1449	107
1450	1
1451	65
1452	2
1453	104
1454	1
1455	65
1456	2
1457	104
1458	1
1459	59
1460	2
1461	106
1462	1
1463	72
1464	2
1465	101
1466	1
1467	70
1468	2
1469	105
1470	1
1471	65
1472	2
1473	106
1474	1
1475	76
1476	2
1477	107
1478	1
1479	80
1480	2
1481	111
1482	1
1483	76
1484	2
1485	105
1486	1
1487	71
1488	2
1489	108
1490	1
1491	76
1492	2
1493	109
1494	1
1495	75
1496	2
1497	106
1498	1
1499	75
1500	2
1501	109
1502	1
1503	81
1504	2
1505	109
1506	1
1507	90
1508	2
1509	112
1510	1
1511	85
1512	2
1513	112
1514	1
1515	80
