Index	Value
0	-1
1	-66
2	-1
3	12
4	-1
5	-62
6	-1
7	17
8	-1
9	-63
10	-1
11	12
12	-1
13	-68
14	-1
15	13
16	-1
17	-68
18	-1
19	13
20	-1
21	-66
22	-1
23	15
24	-1
25	-66
26	-1
27	20
28	-1
29	-69
30	-1
31	20
32	-1
33	-79
34	-1
35	22
36	-1
37	-79
38	-1
39	17
40	-1
41	-82
42	-1
43	17
44	-1
45	-86
46	-1
47	18
48	-1
49	-83
50	-1
51	15
52	-1
53	-86
54	-1
55	18
56	-1
57	-90
58	-1
59	22
60	-1
61	-89
62	-1
63	22
64	-1
65	-93
66	-1
67	23
68	-1
69	-92
70	-1
71	28
72	-1
73	-95
74	-1
75	24
76	-1
77	-86
78	-1
79	24
80	-1
81	-93
82	-1
83	26
84	-1
85	-94
86	-1
87	26
88	-1
89	-88
90	-1
91	28
92	-1
93	-88
94	-1
95	34
96	-1
97	-90
98	-1
99	38
100	-1
101	-89
102	-1
103	38
104	-1
105	-92
106	-1
107	33
108	-1
109	-95
110	-1
111	35
112	-1
113	-100
114	-1
115	36
116	-1
117	-97
118	-1
119	34
120	-1
121	-99
122	-1
123	33
124	-1
125	-98
126	-1
127	34
128	-1
129	-99
130	-1
131	33
132	-1
133	-96
134	-1
135	36
136	-1
137	-103
138	-1
139	36
140	-1
141	-100
142	-1
143	38
144	-1
145	-102
146	-1
147	34
148	-1
149	-108
150	-1
151	31
152	-1
153	-112
154	-1
155	35
156	-1
157	-108
158	-1
159	32
160	-1
161	-109
162	-1
163	33
164	-1
165	-111
166	-1
167	34
168	-1
169	-106
170	-1
171	32
172	-1
173	-103
174	-1
175	40
176	-1
177	-98
178	-1
179	41
180	-1
181	-96
182	-1
183	40
184	-1
185	-93
186	-1
187	35
188	-1
189	-93
190	-1
191	41
192	-1
193	-92
194	-1
195	42
196	-1
197	-95
198	-1
199	40
200	-1
201	-91
202	-1
203	42
204	-1
205	-87
206	-1
207	51
208	-1
209	-90
210	-1
211	53
212	-1
213	-91
214	-1
215	50
216	-1
217	-90
218	-1
219	49
220	-1
221	-95
222	-1
223	52
224	-1
225	-87
226	-1
227	55
228	-1
229	-91
230	-1
231	56
232	-1
233	-93
234	-1
235	58
236	-1
237	-95
238	-1
239	60
240	-1
241	-88
242	-1
243	62
244	-1
245	-82
246	-1
247	65
248	-1
249	-84
250	-1
251	66
252	-1
253	-88
254	-1
255	66
256	-1
257	-91
258	-1
259	65
260	-1
261	-94
262	-1
263	64
264	-1
265	-99
266	-1
267	63
268	-1
269	-93
270	-1
271	68
272	-1
273	-95
274	-1
275	67
276	-1
277	-91
278	-1
279	70
280	-1
281	-97
282	-1
283	69
284	-1
285	-96
286	-1
287	68
288	-1
289	-102
290	-1
291	69
292	-1
293	-110
294	-1
295	72
296	-1
297	-110
298	-1
299	68
300	-1
301	-111
302	-1
303	74
304	-1
305	-112
306	-1
307	81
308	-1
309	-111
310	-1
311	85
312	-1
313	-114
314	-1
315	85
316	-1
317	-111
318	-1
319	80
320	-1
321	-118
322	-1
323	79
324	-1
325	-121
326	-1
327	81
328	-1
329	-121
330	-1
331	86
332	-1
333	-116
334	-1
335	84
336	-1
337	-114
338	-1
339	88
340	-1
341	-118
342	-1
343	80
344	-1
345	-114
346	-1
347	82
348	-1
349	-119
350	-1
351	83
352	-1
353	-121
354	-1
355	83
356	-1
357	-120
358	-1
359	87
360	-1
361	-119
362	-1
363	88
364	-1
365	-122
366	-1
367	92
368	-1
369	-121
370	-1
371	89
372	-1
373	-127
374	-1
375	94
376	-1
377	126
378	-1
379	97
380	-1
381	-127
382	-1
383	94
384	-1
385	127
386	-1
387	94
388	-1
389	-127
390	-1
391	96
392	-1
393	-128
394	-1
395	93
396	-1
397	-126
398	-1
399	95
400	-1
401	125
402	-1
403	99
404	-1
405	-128
406	-1
407	102
408	-1
409	-126
410	-1
411	106
412	-1
413	-117
414	-1
415	109
416	-1
417	-119
418	-1
419	111
420	-1
421	-116
422	-1
423	117
424	-1
425	-106
426	-1
427	114
428	-1
429	-108
430	-1
431	117
432	-1
433	-110
434	-1
435	121
436	-1
437	-111
438	-1
439	121
440	-1
441	-110
442	-1
443	122
444	-1
445	-107
446	-1
447	117
448	-1
449	-105
450	-1
451	116
452	-1
453	-110
454	-1
455	117
456	-1
457	-114
458	-1
459	116
460	-1
461	-120
462	-1
463	115
464	-1
465	-123
466	-1
467	116
468	-1
469	-126
470	-1
471	113
472	-1
473	119
474	-1
475	117
476	-1
477	117
478	-1
479	121
480	-1
481	117
482	-1
483	121
484	-1
485	115
486	-1
487	121
488	-1
489	111
490	-1
491	120
492	-1
493	107
494	-1
495	115
496	-1
497	97
498	-1
499	115
500	-1
501	92
502	-1
503	114
504	-1
505	90
506	-1
507	119
508	-1
509	93
510	-1
511	123
512	-1
513	99
514	-1
515	125
516	-1
517	98
518	-1
519	127
520	-1
521	98
522	-1
523	-123
524	-1
525	95
526	-1
527	-119
528	-1
529	106
530	-1
531	-108
532	-1
533	118
534	-1
535	-107
536	-1
537	124
538	-1
539	-110
540	-1
541	119
542	-1
543	-113
544	-1
545	115
546	-1
547	-115
548	-1
549	114
550	-1
551	-113
552	-1
553	115
554	-1
555	-105
556	-1
557	116
558	-1
559	-106
560	-1
561	119
562	-1
563	-101
564	-1
565	117
566	-1
567	-101
568	-1
569	112
570	-1
571	-103
572	-1
573	113
574	-1
575	-98
576	-1
577	107
578	-1
579	-98
580	-1
581	108
582	-1
583	-99
584	-1
585	108
586	-1
587	-96
588	-1
589	110
590	-1
591	-90
592	-1
593	114
594	-1
595	-91
596	-1
597	112
598	-1
599	-82
600	-1
601	115
602	-1
603	-89
604	-1
605	114
606	-1
607	-90
608	-1
609	111
610	-1
611	-92
612	-1
613	101
614	-1
615	-90
616	-1
617	99
618	-1
619	-91
620	-1
621	103
622	-1
623	-83
624	-1
625	101
626	-1
627	-83
628	-1
629	101
630	-1
631	-83
632	-1
633	94
634	-1
635	-85
636	-1
637	90
638	-1
639	-88
640	-1
641	86
642	-1
643	-82
644	-1
645	82
646	-1
647	-81
648	-1
649	96
650	-1
651	-72
652	-1
653	97
654	-1
655	-61
656	-1
657	98
658	-1
659	-62
660	-1
661	98
662	-1
663	-65
664	-1
665	88
666	-1
667	-64
668	-1
669	87
670	-1
671	-65
672	-1
673	87
674	-1
675	-67
676	-1
677	88
678	-1
679	-65
680	-1
681	84
682	-1
683	-62
684	-1
685	79
686	-1
687	-53
688	-1
689	87
690	-1
691	-52
692	-1
693	91
694	-1
695	-53
696	-1
697	93
698	-1
699	-47
700	-1
701	95
702	-1
