Index	Value
0	-1
1	33
2	-1
3	-13
4	-1
5	29
6	-1
7	-17
8	-1
9	30
10	-1
11	-16
12	-1
13	34
14	-1
15	-16
16	-1
17	47
18	-1
19	-7
20	-1
21	56
22	0
23	4
24	-1
25	59
26	0
27	7
28	-1
29	61
30	0
31	14
32	-1
33	61
34	0
35	8
36	-1
37	59
38	0
39	8
40	-1
41	61
42	0
43	10
44	-1
45	58
46	0
47	6
48	-1
49	51
50	0
51	12
52	-1
53	45
54	0
55	12
56	-1
57	48
58	0
59	12
60	-1
61	46
62	0
63	16
64	-1
65	52
66	0
67	21
68	-1
69	57
70	0
71	24
72	-1
73	59
74	0
75	17
76	-1
77	67
78	0
79	17
80	-1
81	65
82	0
83	12
84	-1
85	67
86	0
87	6
88	-1
89	68
90	0
91	0
92	-1
93	66
94	-1
95	-1
96	-1
97	65
98	0
99	12
100	-1
101	74
102	0
103	17
104	-1
105	73
106	0
107	23
108	-1
109	75
110	0
111	29
112	-1
113	74
114	0
115	33
116	-1
117	64
118	0
119	25
120	-1
121	65
122	0
123	26
124	-1
125	61
126	0
127	23
128	-1
129	47
130	0
131	23
132	-1
133	35
134	0
135	11
136	-1
137	34
138	0
139	2
140	-1
141	48
142	-1
143	-6
144	-1
145	58
146	-1
147	-11
148	-1
149	57
150	-1
151	-5
152	-1
153	46
154	0
155	9
156	-1
157	48
158	0
159	21
160	-1
161	53
162	0
163	26
164	-1
165	57
166	0
167	42
168	-1
169	77
170	0
171	52
172	-1
173	81
174	0
175	55
176	-1
177	72
178	0
179	55
180	-1
181	63
182	0
183	45
184	-1
185	52
186	0
187	34
188	-1
189	48
190	0
191	27
192	-1
193	50
194	0
195	26
196	-1
197	54
198	0
199	30
200	-1
201	60
202	0
203	42
204	-1
205	66
206	0
207	51
208	-1
209	68
210	0
211	57
212	-1
213	70
214	0
215	62
216	-1
217	75
218	0
219	69
220	-1
221	81
222	0
223	79
224	-1
225	88
226	0
227	82
228	-1
229	100
230	0
231	98
232	-1
233	108
234	0
235	103
236	-1
237	120
238	0
239	114
240	-1
241	118
242	0
243	119
244	-1
245	126
246	0
247	117
248	-1
249	124
250	0
251	114
252	-1
253	-124
254	0
255	116
256	-1
257	-114
258	0
259	123
260	-1
261	-105
262	0
263	126
264	-1
265	-103
266	0
267	122
268	-1
269	-105
270	0
271	119
272	-1
273	-115
274	0
275	122
276	-1
277	-122
278	0
279	119
280	-1
281	-120
282	0
283	123
284	-1
285	-110
286	0
287	-127
288	-1
289	-97
290	0
291	127
292	-1
293	-80
294	0
295	-115
296	-1
297	-66
298	0
299	-108
300	-1
301	-62
302	0
303	-100
304	-1
305	-66
306	0
307	-95
308	-1
309	-61
310	0
311	-88
312	-1
313	-60
314	0
315	-87
316	-1
317	-51
318	0
319	-86
320	-1
321	-41
322	0
323	-96
324	-1
325	-35
326	0
327	-100
328	-1
329	-31
330	0
331	-91
332	-1
333	-31
334	0
335	-92
336	-1
337	-27
338	0
339	-92
340	-1
341	-21
342	0
343	-98
344	-1
345	-10
346	0
347	-94
348	-1
349	-5
350	0
351	-92
352	-1
353	-2
354	0
355	-89
356	-1
357	-6
358	0
359	-79
360	-1
361	-2
362	0
363	-70
364	-1
365	-6
