Index	Value
0	-1
1	19
2	0
3	-7
4	-1
5	23
6	0
7	-9
8	-1
9	23
10	0
11	-8
12	-1
13	24
14	0
15	-5
16	-1
17	33
18	1
19	4
20	-1
21	34
22	1
23	9
24	-1
25	40
26	1
27	10
28	-1
29	47
30	1
31	14
32	-1
33	44
34	1
35	17
36	-1
37	44
38	1
39	18
40	-1
41	37
42	1
43	15
44	-1
45	38
46	1
47	9
48	-1
49	33
50	1
51	12
52	-1
53	27
54	1
55	16
56	-1
57	33
58	1
59	19
60	-1
61	30
62	1
63	22
64	-1
65	29
66	1
67	19
68	-1
69	24
70	1
71	24
72	-1
73	20
74	1
75	23
76	-1
77	22
78	1
79	21
80	-1
81	23
82	1
83	23
84	-1
85	17
86	1
87	25
88	-1
89	17
90	1
91	22
92	-1
93	17
94	1
95	23
96	-1
97	19
98	1
99	27
100	-1
101	22
102	1
103	34
104	-1
105	23
106	1
107	32
108	-1
109	27
110	1
111	35
112	-1
113	26
114	1
115	38
116	-1
117	32
118	1
119	44
120	-1
121	33
122	1
123	46
124	-1
125	32
126	1
127	57
128	-1
129	42
130	1
131	64
132	-1
133	39
134	1
135	68
136	-1
137	49
138	1
139	67
140	-1
141	49
142	1
143	64
144	-1
145	52
146	1
147	74
148	-1
149	56
150	1
151	77
152	-1
153	59
154	1
155	79
156	-1
157	57
158	1
159	85
160	-1
161	58
162	1
163	87
164	-1
165	69
166	1
167	88
168	-1
169	65
170	1
171	97
172	-1
173	67
174	1
175	100
176	-1
177	73
178	1
179	98
180	-1
181	71
182	1
183	99
184	-1
185	66
186	1
187	98
188	-1
189	65
190	1
191	101
192	-1
193	60
194	1
195	102
196	-1
197	57
198	1
199	104
200	-1
201	56
202	1
203	99
204	-1
205	60
206	1
207	99
208	-1
209	60
210	1
211	103
212	-1
213	53
214	1
215	108
216	-1
217	59
218	1
219	107
220	-1
221	55
222	1
223	103
224	-1
225	55
226	1
227	103
228	-1
229	54
230	1
231	102
232	-1
233	59
234	1
235	109
236	-1
237	69
238	1
239	115
240	-1
241	71
242	1
243	121
244	-1
245	70
246	1
247	118
248	-1
249	71
250	1
251	121
252	-1
253	79
254	1
255	125
256	-1
257	81
258	1
259	126
260	-1
261	85
262	1
263	124
264	-1
265	82
266	1
267	126
268	-1
269	78
270	1
271	127
272	-1
273	80
274	1
275	-125
276	-1
277	81
278	1
279	-122
280	-1
281	85
282	1
283	-124
284	-1
285	82
286	1
287	-117
288	-1
289	79
290	1
291	-119
292	-1
293	80
294	1
295	-122
296	-1
297	83
298	1
299	-123
300	-1
301	88
302	1
303	-123
304	-1
305	86
306	1
307	-117
308	-1
309	88
310	1
311	-117
312	-1
313	91
314	1
315	-117
316	-1
317	92
318	1
319	-119
320	-1
321	95
322	1
323	-117
324	-1
325	98
326	1
327	-117
328	-1
329	106
330	1
331	-113
332	-1
333	109
334	1
335	-112
336	-1
337	110
338	1
339	-113
340	-1
341	116
342	1
343	-115
344	-1
345	116
346	1
347	-108
348	-1
349	110
350	1
351	-109
352	-1
353	115
354	1
355	-114
356	-1
357	117
358	1
359	-111
360	-1
361	115
362	1
363	-112
364	-1
365	109
366	1
367	-112
368	-1
369	108
370	1
371	-110
372	-1
373	107
374	1
375	-107
376	-1
377	106
378	1
379	-115
380	-1
381	114
382	1
383	-119
384	-1
385	114
386	1
387	-115
388	-1
389	113
390	1
391	-116
392	-1
393	114
394	1
395	-114
396	-1
397	117
398	1
399	-117
400	-1
401	119
402	1
403	-117
404	-1
405	119
406	1
407	-119
408	-1
409	124
410	1
411	-115
412	-1
413	-128
414	1
415	-116
416	-1
417	-126
418	1
419	-119
420	-1
421	-120
422	1
423	-122
424	-1
425	-117
426	1
427	-123
428	-1
429	-112
430	1
431	-124
432	-1
433	-111
434	1
435	-123
436	-1
437	-106
438	1
439	-123
440	-1
441	-102
442	1
443	125
444	-1
445	-97
446	1
447	124
448	-1
449	-94
450	1
451	125
452	-1
453	-90
454	1
455	-125
456	-1
457	-86
458	1
459	127
460	-1
461	-84
462	1
463	123
464	-1
465	-83
466	1
467	120
468	-1
469	-83
470	1
471	117
472	-1
473	-77
474	1
475	113
476	-1
477	-75
478	1
479	117
480	-1
481	-76
482	1
483	115
484	-1
485	-71
486	1
487	118
488	-1
489	-67
490	1
491	110
492	-1
493	-66
494	1
495	109
496	-1
497	-68
498	1
499	102
500	-1
501	-69
502	1
503	103
504	-1
505	-65
506	1
507	104
508	-1
509	-61
510	1
511	98
512	-1
513	-61
514	1
515	94
516	-1
517	-62
518	1
519	89
520	-1
521	-66
522	1
523	86
524	-1
525	-60
526	1
527	81
528	-1
529	-59
530	1
531	74
532	-1
533	-56
534	1
535	71
536	-1
537	-51
538	1
539	70
540	-1
541	-51
542	1
543	66
544	-1
545	-51
546	1
547	65
548	-1
549	-54
550	1
551	58
552	-1
553	-52
554	1
555	50
556	-1
