Index	Value
0	-1
1	97
2	-3
3	-29
4	-1
5	100
6	-3
7	-25
8	-1
9	99
10	-3
11	-29
12	-1
13	100
14	-3
15	-30
16	-1
17	105
18	-3
19	-20
20	-1
21	103
22	-3
23	-8
24	-1
25	101
26	-3
27	-6
28	-1
29	107
30	-3
31	-6
32	-1
33	113
34	-3
35	-3
36	-1
37	116
38	-2
39	0
40	-1
41	114
42	-2
43	6
44	-1
45	110
46	-2
47	6
48	-1
49	119
50	-2
51	3
52	-1
53	122
54	-2
55	6
56	-1
57	124
58	-2
59	3
60	-1
61	122
62	-3
63	-3
64	-1
65	118
66	-3
67	-9
68	-1
69	118
70	-3
71	-13
72	-1
73	115
74	-3
75	-18
76	-1
77	124
78	-3
79	-19
80	-1
81	-128
82	-3
83	-17
84	-1
85	121
86	-3
87	-20
88	-1
89	116
90	-3
91	-24
92	-1
93	118
94	-3
95	-19
96	-1
97	-125
98	-3
99	-13
100	-1
101	-121
102	-3
103	-10
104	-1
105	-123
106	-3
107	-6
108	-1
109	-124
110	-2
111	1
112	-1
113	-123
114	-3
115	-5
116	-1
117	-115
118	-3
119	-4
120	-1
121	-114
122	-3
123	-6
124	-1
125	-113
126	-2
127	0
128	-1
129	-113
130	-2
131	3
132	-1
133	-110
134	-3
135	-4
136	-1
137	-110
138	-3
139	-4
140	-1
141	-106
142	-3
143	-5
144	-1
145	-102
146	-3
147	-1
148	-1
149	-96
150	-3
151	-5
152	-1
153	-90
154	-3
155	-2
156	-1
157	-102
158	-2
159	5
160	-1
161	-96
162	-2
163	6
164	-1
165	-98
166	-2
167	9
168	-1
169	-89
170	-2
171	12
172	-1
173	-86
174	-2
175	12
176	-1
177	-84
178	-2
179	8
180	-1
181	-85
182	-2
183	9
184	-1
185	-86
186	-3
187	-3
188	-1
189	-83
190	-3
191	-5
192	-1
193	-80
194	-3
195	-2
196	-1
197	-77
198	-2
199	0
200	-1
201	-86
202	-3
203	-1
204	-1
205	-86
206	-2
207	1
208	-1
209	-78
210	-2
211	2
212	-1
213	-76
214	-2
215	4
216	-1
217	-84
218	-2
219	15
220	-1
221	-87
222	-2
223	19
224	-1
225	-87
226	-2
227	20
228	-1
229	-86
230	-2
231	16
232	-1
233	-86
234	-2
235	17
236	-1
237	-90
238	-2
239	16
240	-1
241	-91
242	-2
243	21
244	-1
245	-85
246	-2
247	29
248	-1
249	-76
250	-2
251	27
252	-1
253	-67
254	-2
255	24
256	-1
257	-77
258	-2
259	14
260	-1
261	-95
262	-2
263	16
264	-1
265	-97
266	-2
267	18
268	-1
269	-87
270	-2
271	25
272	-1
273	-87
274	-2
275	30
276	-1
277	-91
278	-2
279	24
280	-1
281	-98
282	-2
283	20
284	-1
285	-100
286	-2
287	11
288	-1
289	-95
290	-2
291	17
292	-1
293	-89
294	-2
295	30
296	-1
297	-93
298	-2
299	37
300	-1
301	-94
302	-2
303	38
304	-1
305	-84
306	-2
307	41
308	-1
309	-102
310	-2
311	40
312	-1
313	-104
314	-2
315	30
316	-1
317	-64
318	-2
319	43
320	-1
321	-93
322	-2
323	58
324	-1
325	-103
326	-2
327	44
328	-1
329	-84
330	-2
331	58
332	-1
333	-91
334	-2
335	65
336	-1
337	-67
338	-2
339	72
340	-1
341	-63
342	-2
343	80
344	-1
345	-54
346	-2
347	77
348	-1
349	-62
350	-2
351	81
352	-1
353	-73
354	-2
355	75
356	-1
357	-64
358	-2
359	73
360	-1
361	-49
362	-2
363	76
364	-1
365	-44
366	-2
367	75
368	-1
369	-34
370	-2
371	65
372	-1
373	-47
374	-2
375	61
376	-1
377	-53
378	-2
379	53
380	-1
381	-49
382	-2
383	62
384	-1
385	-44
386	-2
387	68
388	-1
389	-34
390	-2
391	64
392	-1
393	-31
394	-2
395	57
396	-1
397	-51
398	-2
399	61
400	-1
401	-50
402	-2
403	66
404	-1
405	-39
406	-2
407	68
408	-1
409	-22
410	-2
411	73
412	-1
413	-24
414	-2
415	72
416	-1
417	-43
418	-2
419	72
420	-1
421	-59
422	-2
423	82
424	-1
425	-64
426	-2
427	83
428	-1
429	-57
430	-2
431	83
432	-1
433	-40
434	-2
435	85
436	-1
437	-48
438	-2
439	87
440	-1
441	-71
442	-2
443	89
444	-1
445	-71
446	-2
447	88
448	-1
449	-85
450	-2
451	85
452	-1
453	-82
454	-2
455	76
456	-1
457	-79
458	-2
459	78
460	-1
461	-81
462	-2
463	84
464	-1
465	-91
466	-2
467	80
468	-1
469	-91
470	-2
471	75
472	-1
473	-98
474	-2
475	80
476	-1
477	-89
478	-2
479	84
480	-1
481	-81
482	-2
483	73
484	-1
485	-87
486	-2
487	74
488	-1
489	-93
490	-2
491	75
492	-1
493	-80
494	-2
495	75
496	-1
497	-84
498	-2
499	79
500	-1
501	-84
502	-2
503	81
504	-1
505	-83
506	-2
507	82
508	-1
509	-82
510	-2
511	76
512	-1
513	-79
514	-2
515	73
516	-1
517	-68
518	-2
519	78
520	-1
521	-56
522	-2
523	91
524	-1
525	-61
526	-2
527	91
528	-1
529	-62
530	-2
531	98
532	-1
533	-70
534	-2
535	100
536	-1
537	-67
538	-2
539	97
540	-1
541	-62
542	-2
543	97
544	-1
545	-65
546	-2
547	107
548	-1
549	-64
550	-2
551	110
552	-1
553	-68
554	-2
555	113
556	-1
557	-68
558	-2
559	117
560	-1
561	-72
562	-2
563	110
564	-1
565	-75
566	-2
567	105
568	-1
569	-73
570	-2
571	105
572	-1
573	-72
574	-2
575	104
576	-1
577	-66
578	-2
579	103
580	-1
581	-70
582	-2
583	103
584	-1
585	-62
586	-2
587	103
588	-1
589	-67
590	-2
591	99
592	-1
593	-60
594	-2
595	97
596	-1
597	-54
598	-2
599	91
600	-1
601	-66
602	-2
603	98
604	-1
605	-74
606	-2
607	115
608	-1
609	-67
610	-2
611	109
612	-1
613	-57
614	-2
615	101
616	-1
617	-54
618	-2
619	104
620	-1
621	-60
622	-2
623	106
624	-1
625	-74
626	-2
627	112
628	-1
629	-88
630	-2
631	117
632	-1
633	-97
634	-2
635	120
636	-1
637	-91
638	-2
639	-127
640	-1
641	-92
642	-2
643	-125
644	-1
645	-97
646	-2
647	-127
648	-1
649	-104
650	-2
651	-122
652	-1
653	-106
654	-2
655	-121
656	-1
657	-93
658	-2
659	-117
660	-1
661	-86
662	-2
663	-123
664	-1
665	-81
666	-2
667	-123
668	-1
669	-76
670	-2
671	-124
672	-1
673	-81
674	-2
675	-125
676	-1
677	-81
678	-2
679	126
680	-1
681	-78
682	-2
683	123
684	-1
685	-78
686	-2
687	127
688	-1
689	-69
690	-2
691	125
692	-1
693	-56
694	-2
695	-122
696	-1
697	-63
698	-2
699	-128
700	-1
701	-67
702	-2
703	125
704	-1
705	-78
706	-2
707	124
708	-1
709	-77
710	-2
711	124
712	-1
713	-72
714	-2
715	127
716	-1
717	-80
718	-2
719	-127
720	-1
721	-90
722	-2
723	-123
724	-1
725	-94
726	-2
727	-121
728	-1
729	-90
730	-2
731	-124
732	-1
733	-81
734	-2
735	-124
736	-1
737	-81
738	-2
739	-116
740	-1
741	-87
742	-2
743	-105
744	-1
745	-88
746	-2
747	-96
748	-1
749	-84
750	-2
751	-107
752	-1
753	-75
754	-2
755	-112
756	-1
757	-71
758	-2
759	-102
760	-1
761	-73
762	-2
763	-93
764	-1
765	-74
766	-2
767	-91
768	-1
769	-69
770	-2
771	-93
772	-1
773	-66
774	-2
775	-93
776	-1
777	-66
778	-2
779	-90
780	-1
781	-65
782	-2
783	-79
784	-1
785	-60
