Index	Value
0	0
1	-26
2	-1
3	96
4	0
5	-24
6	-1
7	100
8	0
9	-21
10	-1
11	104
12	0
13	-21
14	-1
15	101
16	0
17	-23
18	-1
19	98
20	0
21	-32
22	-1
23	101
24	0
25	-33
26	-1
27	99
28	0
29	-34
30	-1
31	103
32	0
33	-38
34	-1
35	98
36	0
37	-37
38	-1
39	95
40	0
41	-37
42	-1
43	99
44	0
45	-43
46	-1
47	98
48	0
49	-46
50	-1
51	98
52	0
53	-49
54	-1
55	95
56	0
57	-49
58	-1
59	102
60	0
61	-44
62	-1
63	107
64	0
65	-41
66	-1
67	106
68	0
69	-44
70	-1
71	115
72	0
73	-42
74	-1
75	111
76	0
77	-37
78	-1
79	115
80	0
81	-32
82	-1
83	120
84	0
85	-29
86	-1
87	122
88	0
89	-29
90	-1
91	127
92	0
93	-19
94	-1
95	-128
96	0
97	-13
98	-1
99	125
100	0
101	-11
102	-1
103	-122
104	1
105	0
106	-1
107	-117
108	1
109	1
110	-1
111	-118
112	1
113	5
114	-1
115	-118
116	1
117	2
118	-1
119	-117
120	1
121	10
122	-1
123	-108
124	1
125	16
126	-1
127	-105
128	1
129	14
130	-1
131	-103
132	1
133	23
134	-1
135	-107
136	1
137	19
138	-1
139	-101
140	1
141	19
142	-1
143	-97
144	1
145	17
146	-1
147	-95
148	1
149	19
150	-1
151	-87
152	1
153	21
154	-1
155	-86
156	1
157	18
158	-1
159	-90
160	1
161	21
162	-1
163	-90
164	1
165	20
166	-1
167	-85
168	1
169	15
170	-1
171	-87
172	1
173	8
174	-1
175	-89
176	1
177	6
178	-1
179	-88
180	1
181	7
182	-1
183	-84
184	1
185	4
186	-1
187	-89
188	1
189	1
190	-1
191	-88
192	0
193	-5
194	-1
195	-87
196	1
197	1
198	-1
199	-89
200	0
201	-1
202	-1
203	-81
204	0
205	-6
206	-1
207	-82
208	0
209	-1
210	-1
211	-81
212	0
213	-3
214	-1
215	-68
216	0
217	-3
218	-1
219	-66
220	0
221	-4
222	-1
223	-68
224	0
225	-4
226	-1
227	-64
228	1
229	1
230	-1
231	-58
232	1
233	2
234	-1
235	-53
236	1
237	6
238	-1
239	-52
240	1
241	10
242	-1
243	-44
244	1
245	3
246	-1
247	-40
248	0
249	-1
250	-1
251	-37
252	1
253	3
254	-1
255	-38
256	1
257	8
258	-1
259	-28
260	1
261	5
262	-1
263	-23
264	1
265	7
266	-1
267	-28
268	1
269	11
270	-1
271	-26
272	1
273	15
274	-1
275	-24
276	1
277	11
278	-1
279	-21
280	1
281	15
282	-1
283	-20
284	1
285	14
286	-1
287	-20
288	1
289	11
290	-1
291	-19
292	1
293	12
294	-1
295	-16
296	1
297	12
298	-1
299	-18
300	1
301	12
302	-1
303	-16
304	1
305	9
306	-1
307	-15
308	1
309	5
310	-1
311	-15
312	1
313	6
314	-1
315	-15
316	1
317	8
318	-1
319	-9
320	1
321	5
322	-1
323	-7
324	1
325	4
326	-1
327	-5
328	1
329	3
330	-1
331	-1
332	0
333	-1
334	-1
335	-7
336	0
337	-6
338	-1
339	-4
340	0
341	-3
342	0
343	0
344	0
345	-2
346	0
347	3
348	1
349	0
350	0
351	4
352	0
353	-1
354	0
355	11
356	0
357	-8
358	0
359	11
360	0
361	-9
362	0
363	11
364	0
365	-10
366	0
367	16
368	0
369	-7
370	0
371	18
372	0
373	-12
374	0
375	25
376	0
377	-11
378	0
379	25
380	0
381	-9
382	0
383	34
384	0
385	-10
386	0
387	34
388	0
389	-17
390	0
391	32
392	0
393	-16
