Index	Value
0	0
1	97
2	-1
3	-21
4	0
5	96
6	-1
7	-20
8	0
9	95
10	-1
11	-23
12	0
13	93
14	-1
15	-20
16	0
17	102
18	-1
19	-14
20	0
21	98
22	-1
23	-16
24	0
25	102
26	-1
27	-22
28	0
29	106
30	-1
31	-21
32	0
33	108
34	-1
35	-20
36	0
37	106
38	-1
39	-21
40	0
41	110
42	-1
43	-18
44	0
45	115
46	-1
47	-17
48	0
49	114
50	-1
51	-17
52	0
53	114
54	-1
55	-17
56	0
57	121
58	-1
59	-16
60	0
61	119
62	-1
63	-17
64	0
65	117
66	-1
67	-20
68	0
69	118
70	-1
71	-21
72	0
73	115
74	-1
75	-25
76	0
77	121
78	-1
79	-25
80	0
81	122
82	-1
83	-26
84	0
85	116
86	-1
87	-25
88	0
89	114
90	-1
91	-25
92	0
93	110
94	-1
95	-26
96	0
97	112
98	-1
99	-25
100	0
101	114
102	-1
103	-26
104	0
105	108
106	-1
107	-30
108	0
109	111
110	-1
111	-31
112	0
113	111
114	-1
115	-29
116	0
117	110
118	-1
119	-27
120	0
121	113
122	-1
123	-23
124	0
125	115
126	-1
127	-30
128	0
129	115
130	-1
131	-25
132	0
133	114
134	-1
135	-24
136	0
137	115
138	-1
139	-28
140	0
141	119
142	-1
143	-30
144	0
145	119
146	-1
147	-30
148	0
149	120
150	-1
151	-25
152	0
153	126
154	-1
155	-26
156	0
157	127
158	-1
159	-22
160	0
161	-128
162	-1
163	-25
164	0
165	-126
166	-1
167	-28
168	0
169	-128
170	-1
171	-29
172	0
173	-126
174	-1
175	-28
176	0
177	-124
178	-1
179	-26
180	0
181	-123
182	-1
183	-28
184	0
185	-126
186	-1
187	-33
188	0
189	-125
190	-1
191	-32
192	0
193	125
194	-1
195	-37
196	0
197	125
198	-1
199	-32
200	0
201	125
202	-1
203	-35
204	0
205	122
206	-1
207	-40
208	0
209	126
210	-1
211	-40
212	0
213	-128
214	-1
215	-36
216	0
217	127
218	-1
219	-35
220	0
221	121
222	-1
223	-37
224	0
225	123
226	-1
227	-37
228	0
229	122
230	-1
231	-42
232	0
233	117
234	-1
235	-41
236	0
237	116
238	-1
239	-37
240	0
241	116
242	-1
243	-35
244	0
245	115
246	-1
247	-37
248	0
249	111
250	-1
251	-41
252	0
253	112
254	-1
255	-46
256	0
257	114
258	-1
259	-43
260	0
261	119
262	-1
263	-39
264	0
265	116
266	-1
267	-39
268	0
269	114
270	-1
271	-44
272	0
273	111
274	-1
275	-39
276	0
277	113
278	-1
279	-44
280	0
281	117
282	-1
283	-39
284	0
285	114
286	-1
287	-43
288	0
289	115
290	-1
291	-38
292	0
293	115
294	-1
295	-42
296	0
297	111
298	-1
299	-47
300	0
301	114
302	-1
303	-46
304	0
305	113
306	-1
307	-48
308	0
309	113
310	-1
311	-43
312	0
313	113
314	-1
315	-47
316	0
317	114
318	-1
319	-49
320	0
321	115
322	-1
323	-47
324	0
325	117
326	-1
327	-45
328	0
329	125
330	-1
331	-43
332	0
333	127
334	-1
335	-39
336	0
337	-121
338	-1
339	-41
340	0
341	-119
342	-1
343	-42
344	0
345	-122
346	-1
347	-41
348	0
349	-113
350	-1
351	-36
352	0
353	-111
354	-1
355	-35
356	0
357	-113
358	-1
359	-43
360	0
361	-112
362	-1
363	-44
364	0
365	-110
