Index	Value
0	0
1	4
2	1
3	-68
4	0
5	9
6	1
7	-68
8	0
9	12
10	1
11	-67
12	0
13	13
14	1
15	-63
16	0
17	18
18	1
19	-61
20	0
21	28
22	1
23	-59
24	0
25	35
26	1
27	-58
28	0
29	41
30	1
31	-47
32	0
33	45
34	1
35	-44
36	0
37	51
38	1
39	-46
40	0
41	56
42	1
43	-40
44	0
45	63
46	1
47	-39
48	0
49	71
50	1
51	-31
52	0
53	82
54	1
55	-27
56	0
57	86
58	1
59	-29
60	0
61	90
62	1
63	-30
64	0
65	91
66	1
67	-31
68	0
69	93
70	1
71	-28
72	0
73	96
74	1
75	-27
76	0
77	100
78	1
79	-20
80	0
81	106
82	1
83	-21
84	0
85	111
86	1
87	-16
88	0
89	114
90	1
91	-15
92	0
93	120
94	1
95	-12
96	0
97	125
98	1
99	-10
100	0
101	-122
102	1
103	-3
104	0
105	-118
106	2
107	0
108	0
109	-111
110	1
111	-2
112	0
113	-105
114	2
115	4
116	0
117	-102
118	2
119	10
120	0
121	-95
122	2
123	6
124	0
125	-88
126	2
127	13
128	0
129	-86
130	2
131	15
132	0
133	-85
134	2
135	14
136	0
137	-81
138	2
139	17
140	0
141	-82
142	2
143	14
144	0
145	-81
146	2
147	13
148	0
149	-76
150	2
151	12
152	0
153	-74
154	2
155	9
156	0
157	-71
158	2
159	8
160	0
161	-69
162	2
163	10
164	0
165	-65
166	2
167	8
168	0
169	-61
170	2
171	11
172	0
173	-58
174	2
175	8
176	0
177	-54
178	2
179	14
180	0
181	-50
182	2
183	15
184	0
185	-52
186	2
187	12
188	0
189	-45
190	2
191	9
192	0
193	-41
194	2
195	14
196	0
197	-39
198	2
199	11
200	0
201	-39
202	2
203	13
204	0
205	-39
206	2
207	19
208	0
209	-40
210	2
211	16
212	0
213	-45
214	2
215	16
216	0
217	-43
218	2
219	10
220	0
221	-47
222	2
223	12
224	0
225	-43
226	2
227	15
228	0
229	-42
230	2
231	10
232	0
233	-40
234	2
235	14
236	0
237	-34
238	2
239	13
240	0
241	-30
242	2
243	11
244	0
245	-28
246	2
247	16
248	0
249	-25
250	2
251	13
252	0
253	-20
254	2
255	13
256	0
257	-14
258	2
259	13
260	0
261	-18
262	2
263	15
264	0
265	-10
266	2
267	16
268	0
269	-14
270	2
271	14
272	0
273	-18
274	2
275	11
276	0
277	-14
278	2
279	8
280	0
281	-21
282	2
283	13
284	0
285	-18
286	2
287	16
288	0
289	-21
290	2
291	8
292	0
293	-25
294	2
295	11
296	0
297	-26
298	2
299	1
300	0
301	-31
302	1
303	-1
304	0
305	-38
306	1
307	-7
308	0
309	-35
310	1
311	-11
312	0
313	-32
314	1
315	-10
316	0
317	-31
318	1
319	-11
320	0
321	-37
322	1
323	-16
324	0
325	-38
326	1
327	-18
328	0
329	-32
330	1
331	-20
332	0
333	-35
334	1
335	-25
336	0
337	-34
338	1
339	-30
340	0
341	-33
342	1
343	-33
344	0
345	-31
346	1
347	-41
348	0
349	-35
350	1
351	-46
352	0
353	-35
354	1
355	-48
356	0
357	-35
358	1
359	-53
360	0
361	-35
362	1
363	-55
364	0
365	-35
366	1
367	-60
368	0
369	-33
370	1
371	-55
372	0
373	-37
374	1
375	-62
376	0
377	-32
378	1
379	-68
380	0
381	-33
382	1
383	-73
384	0
385	-30
386	1
387	-69
388	0
389	-28
390	1
391	-74
392	0
393	-23
394	1
395	-76
396	0
397	-21
398	1
399	-78
400	0
401	-21
402	1
403	-81
404	0
405	-20
406	1
407	-87
408	0
409	-26
410	1
411	-93
412	0
413	-27
414	1
415	-96
416	0
417	-28
418	1
419	-97
420	0
421	-23
422	1
423	-102
424	0
425	-22
426	1
427	-103
428	0
429	-24
430	1
431	-104
432	0
433	-21
434	1
435	-106
436	0
437	-18
438	1
439	-106
440	0
441	-22
442	1
443	-112
444	0
445	-22
446	1
447	-115
448	0
449	-17
450	1
451	-115
452	0
453	-17
454	1
455	-119
456	0
457	-19
458	1
459	-123
460	0
461	-15
462	1
463	-124
464	0
465	-12
466	1
467	125
468	0
469	-15
470	1
471	119
472	0
473	-13
474	1
475	121
476	0
477	-11
478	1
479	117
480	0
481	-5
482	1
483	117
484	0
485	-4
486	1
487	118
488	0
489	-8
490	1
491	113
492	0
493	-9
494	1
495	111
496	0
497	-9
498	1
499	111
500	0
501	-5
502	1
503	105
504	0
505	-1
506	1
507	101
508	0
509	-3
510	1
511	104
512	0
513	-2
514	1
515	96
516	0
517	-4
518	1
519	95
520	0
521	-2
522	1
523	93
524	1
525	0
526	1
527	89
528	1
529	5
530	1
531	87
532	1
533	4
534	1
535	87
536	1
537	5
538	1
539	83
540	1
541	0
542	1
543	80
544	0
545	-3
546	1
547	72
548	1
549	2
550	1
551	69
552	0
553	-2
554	1
555	67
556	1
557	0
558	1
559	62
560	1
561	0
562	1
