Index	Value
0	-2
1	-23
2	-1
3	84
4	-2
5	-17
6	-1
7	95
8	-2
9	-11
10	-1
11	95
12	-2
13	-1
14	-1
15	106
16	-1
17	8
18	-1
19	106
20	-1
21	13
22	-1
23	112
24	-1
25	14
26	-1
27	119
28	-1
29	23
30	-1
31	123
32	-1
33	24
34	-1
35	-127
36	-1
37	27
38	-1
39	127
40	-1
41	31
42	-1
43	127
44	-1
45	39
46	-1
47	-119
48	-1
49	41
50	-1
51	-121
52	-1
53	43
54	-1
55	-111
56	-1
57	50
58	-1
59	-106
60	-1
61	57
62	-1
63	-105
64	-1
65	63
66	-1
67	-97
68	-1
69	66
70	-1
71	-94
72	-1
73	74
74	-1
75	-91
76	-1
77	79
78	-1
79	-87
80	-1
81	82
82	-1
83	-78
84	-1
85	95
86	-1
87	-71
88	-1
89	87
90	-1
91	-69
92	-1
93	90
94	-1
95	-70
96	-1
97	97
98	-1
99	-67
100	-1
101	107
102	-1
103	-61
104	-1
105	106
106	-1
107	-63
108	-1
109	110
110	-1
111	-56
112	-1
113	114
114	-1
115	-57
116	-1
117	117
118	-1
119	-58
120	-1
121	123
122	-1
123	-56
124	-1
125	127
126	-1
127	-46
128	-1
129	-118
130	-1
131	-38
132	-1
133	-121
134	-1
135	-35
136	-1
137	-115
138	-1
139	-36
140	-1
141	-108
142	-1
143	-32
144	-1
145	-108
146	-1
147	-30
148	-1
149	-102
150	-1
151	-27
152	-1
153	-94
154	-1
155	-22
156	-1
157	-87
158	-1
159	-24
160	-1
161	-80
162	-1
163	-20
164	-1
165	-69
166	-1
167	-18
168	-1
169	-68
170	-1
171	-15
172	-1
173	-66
174	-1
175	-11
176	-1
177	-65
178	-1
179	-13
180	-1
181	-56
182	-1
183	-11
184	-1
185	-54
186	-1
187	-10
188	-1
189	-43
190	-1
191	-11
192	-1
193	-39
194	-1
195	-11
196	-1
197	-37
198	-1
199	-10
200	-1
201	-31
202	-1
203	-8
204	-1
205	-31
206	-1
207	-9
208	-1
209	-21
210	-1
211	-3
212	-1
213	-18
214	-1
215	-4
216	-1
217	-7
218	-1
219	-2
220	-1
221	-6
222	0
223	2
224	0
225	3
226	0
227	5
228	0
229	12
230	0
231	3
232	0
233	12
234	0
235	8
236	0
237	23
238	0
239	4
240	0
241	24
242	0
243	3
244	0
245	36
246	0
247	9
248	0
249	38
250	0
251	8
252	0
253	47
254	0
255	12
256	0
257	47
258	0
259	12
260	0
261	55
262	0
263	8
264	0
265	65
266	0
267	10
268	0
269	64
270	0
271	10
272	0
273	64
274	0
275	7
276	0
277	70
278	0
279	5
280	0
281	66
282	0
283	7
284	0
285	66
286	-1
287	-2
288	0
289	68
290	0
291	0
292	0
293	71
294	-1
295	-4
296	0
297	71
298	-1
299	-3
300	0
301	73
302	0
303	2
304	0
305	78
306	-1
307	-5
308	0
309	79
310	-1
311	-9
312	0
313	79
314	-1
315	-11
316	0
317	80
318	-1
319	-13
320	0
321	88
322	-1
323	-9
324	0
325	92
326	-1
327	-13
328	0
329	103
330	-1
331	-11
332	0
333	99
334	-1
335	-12
336	0
337	103
338	-1
339	-11
340	0
341	109
342	-1
343	-11
344	0
345	109
346	-1
347	-8
348	0
349	122
350	-1
351	-7
352	0
353	123
354	-1
355	-9
356	0
357	-125
358	-1
359	-5
360	0
361	-122
362	-1
363	-6
364	0
365	-118
366	-1
367	-5
368	0
369	-109
370	-1
371	-7
372	0
373	-103
374	-1
375	-11
376	0
377	-92
378	-1
379	-12
380	0
381	-93
382	-1
383	-12
384	0
385	-88
386	-1
387	-16
388	0
389	-83
390	-1
391	-14
392	0
393	-71
394	-1
395	-17
396	0
397	-68
398	-1
399	-19
400	0
401	-64
402	-1
403	-21
404	0
405	-65
406	-1
407	-24
408	0
409	-61
410	-1
411	-21
412	0
413	-52
414	-1
415	-31
416	0
417	-50
418	-1
419	-34
420	0
421	-42
422	-1
423	-42
424	0
425	-44
426	-1
427	-44
428	0
429	-40
430	-1
431	-47
432	0
433	-38
434	-1
435	-50
436	0
437	-36
438	-1
439	-55
440	0
441	-28
