Index	Value
0	0
1	-113
2	-2
3	-86
4	0
5	117
6	-2
7	-101
8	0
9	101
10	-2
11	-113
12	0
13	93
14	-2
15	-125
16	0
17	82
18	-2
19	123
20	0
21	80
22	-2
23	127
24	0
25	79
26	-2
27	121
28	0
29	67
30	-2
31	119
32	0
33	54
34	-2
35	115
36	0
37	56
38	-2
39	117
40	0
41	56
42	-2
43	-127
44	0
45	64
46	-2
47	-125
48	0
49	74
50	-2
51	127
52	0
53	89
54	-2
55	-124
56	0
57	99
58	-2
59	-109
60	0
61	117
62	-2
63	-100
64	0
65	124
66	-2
67	-104
68	0
69	-123
70	-2
71	-96
72	0
73	-118
74	-2
75	-97
76	0
77	-119
78	-2
79	-105
80	0
81	-124
82	-2
83	-110
84	0
85	123
86	-2
87	-117
88	0
89	116
90	-2
91	-122
92	0
93	113
94	-2
95	125
96	0
97	113
98	-2
99	119
100	0
101	103
102	-2
103	113
104	0
105	94
106	-2
107	112
108	0
109	93
110	-2
111	110
112	0
113	93
114	-2
115	102
116	0
117	95
118	-2
119	101
120	0
121	89
122	-2
123	101
124	0
125	85
126	-2
127	98
128	0
129	100
130	-2
131	99
132	0
133	105
134	-2
135	102
136	0
137	111
138	-2
139	100
140	0
141	114
142	-2
143	102
144	0
145	115
146	-2
147	91
148	0
149	118
150	-2
151	86
152	0
153	120
154	-2
155	84
156	0
157	119
158	-2
159	72
160	0
161	103
162	-2
163	57
164	0
165	88
166	-2
167	35
168	0
169	73
170	-2
171	24
172	0
173	56
174	-2
175	10
176	0
177	43
178	-3
179	-10
180	0
181	28
182	-3
183	-19
184	0
185	15
186	-3
187	-25
188	0
189	11
190	-3
191	-29
192	0
193	14
194	-3
195	-26
196	0
197	18
198	-3
199	-34
200	0
201	19
202	-3
203	-34
204	0
205	17
206	-3
207	-35
208	0
209	20
210	-3
211	-36
212	0
213	22
214	-3
215	-43
216	0
217	20
218	-3
219	-52
220	0
221	12
222	-3
223	-55
224	0
225	16
226	-3
227	-63
228	0
229	16
230	-3
231	-61
232	0
233	29
234	-3
235	-53
236	0
237	36
238	-3
239	-46
240	0
241	49
242	-3
243	-39
244	0
245	52
246	-3
247	-28
248	0
249	65
250	-3
251	-26
252	0
253	73
254	-3
255	-25
256	0
257	76
258	-3
259	-34
260	0
261	69
262	-3
263	-39
264	0
265	69
266	-3
267	-45
268	0
269	70
270	-3
271	-55
272	0
273	69
274	-3
275	-57
276	0
277	63
278	-3
279	-67
280	0
281	56
282	-3
283	-79
284	0
285	49
286	-3
287	-90
288	0
289	43
290	-3
291	-98
292	0
293	40
294	-3
295	-102
296	0
297	38
298	-3
299	-110
300	0
301	23
302	-3
303	-121
304	0
305	13
306	-3
307	-128
308	0
309	13
310	-3
311	119
312	0
313	4
314	-3
315	111
316	-1
317	-4
318	-3
319	107
320	-1
321	-3
322	-3
323	105
324	-1
325	-9
326	-3
327	99
328	-1
329	-13
330	-3
331	96
332	-1
333	-16
334	-3
335	90
336	-1
337	-13
338	-3
339	87
340	-1
341	-6
342	-3
343	81
344	-1
345	-4
346	-3
347	72
348	-1
349	-3
350	-3
351	70
352	-1
353	-1
354	-3
355	72
356	-1
357	-10
358	-3
359	67
360	-1
361	-19
362	-3
363	53
364	-1
365	-21
366	-3
367	43
368	-1
369	-23
370	-3
371	41
372	-1
373	-23
374	-3
375	40
376	-1
377	-18
378	-3
379	42
380	-1
381	-17
382	-3
383	39
384	-1
385	-7
386	-3
387	35
388	-1
389	-5
390	-3
391	38
392	-1
393	-1
394	-3
395	40
396	-1
397	-3
398	-3
399	41
400	-1
401	-9
402	-3
403	40
404	-1
405	-3
406	-3
407	33
408	-1
409	-2
410	-3
411	30
412	0
413	1
414	-3
415	34
416	0
417	7
418	-3
419	29
420	0
421	9
422	-3
423	21
424	0
425	4
426	-3
427	12
428	0
429	7
430	-3
431	11
432	0
433	4
434	-3
435	10
436	0
437	6
438	-3
439	7
440	0
441	2
442	-4
443	-7
444	-1
445	-6
446	-4
447	-13
448	-1
449	-10
450	-4
451	-28
452	-1
453	-9
454	-4
455	-40
456	-1
457	-12
458	-4
459	-48
460	-1
461	-25
462	-4
463	-56
464	-1
465	-29
466	-4
467	-70
468	-1
469	-32
470	-4
471	-77
472	-1
473	-40
474	-4
475	-83
476	-1
477	-45
478	-4
479	-100
480	-1
481	-51
482	-4
483	-110
484	-1
485	-56
486	-4
487	-120
488	-1
489	-56
490	-4
491	-121
492	-1
493	-51
494	-4
495	125
496	-1
497	-63
498	-4
499	119
500	-1
501	-77
502	-4
503	108
504	-1
505	-78
506	-4
507	102
508	-1
509	-85
510	-4
511	97
512	-1
513	-79
514	-4
515	97
516	-1
517	-82
518	-4
519	97
520	-1
521	-83
522	-4
523	94
524	-1
525	-80
526	-4
527	92
528	-1
529	-80
530	-4
531	86
532	-1
533	-80
534	-4
535	82
536	-1
537	-76
538	-4
539	88
540	-1
541	-81
542	-4
543	84
544	-1
545	-86
546	-4
547	83
548	-1
549	-78
550	-4
551	84
552	-1
553	-77
554	-4
555	78
556	-1
557	-86
558	-4
559	74
560	-1
561	-88
562	-4
563	70
564	-1
565	-96
566	-4
567	66
568	-1
569	-92
570	-4
571	65
572	-1
573	-93
574	-4
575	55
576	-1
577	-107
578	-4
579	48
580	-1
581	-110
582	-4
583	32
584	-1
585	-109
586	-4
587	20
588	-1
589	-115
590	-4
591	21
592	-1
593	-123
594	-4
595	20
596	-1
597	-125
598	-4
599	12
600	-1
601	-125
602	-4
603	0
604	-1
605	-127
606	-5
607	-4
608	-1
609	125
610	-5
611	-9
612	-1
613	116
614	-5
615	-23
616	-1
617	102
618	-5
619	-33
620	-1
621	90
622	-5
623	-42
624	-1
625	82
626	-5
627	-59
628	-1
629	70
630	-5
631	-70
632	-1
633	57
634	-5
635	-75
636	-1
637	44
638	-5
639	-90
640	-1
641	35
642	-5
643	-104
644	-1
645	21
646	-5
647	-127
648	-1
649	11
650	-5
651	124
652	-1
653	2
654	-5
655	116
656	-2
657	-15
658	-5
659	103
660	-2
661	-23
662	-5
663	99
664	-2
665	-31
666	-5
667	89
668	-2
669	-39
670	-5
671	81
672	-2
673	-40
674	-5
675	85
676	-2
677	-41
678	-5
