Index	Value
0	-1
1	-43
2	0
3	-79
4	-1
5	-50
6	0
7	-84
8	-1
9	-42
10	0
11	-86
12	-1
13	-46
14	0
15	-84
16	-1
17	-48
18	0
19	-93
20	-1
21	-45
22	0
23	-89
24	-1
25	-43
26	0
27	-89
28	-1
29	-42
30	0
31	-87
32	-1
33	-35
34	0
35	-91
36	-1
37	-31
38	0
39	-89
40	-1
41	-33
42	0
43	-93
44	-1
45	-33
46	0
47	-96
48	-1
49	-32
50	0
51	-96
52	-1
53	-28
54	0
55	-93
56	-1
57	-23
58	0
59	-94
60	-1
61	-24
62	0
63	-99
64	-1
65	-21
66	0
67	-92
68	-1
69	-21
70	0
71	-98
72	-1
73	-17
74	0
75	-95
76	-1
77	-15
78	0
79	-97
80	-1
81	-17
82	0
83	-99
84	-1
85	-16
86	0
87	-98
88	-1
89	-14
90	0
91	-105
92	-1
93	-10
94	0
95	-108
96	-1
97	-7
98	0
99	-113
100	-1
101	-12
102	0
103	-116
104	-1
105	-11
106	0
107	-112
108	-1
109	-15
110	0
111	-113
112	-1
113	-9
114	0
115	-118
116	-1
117	-13
118	0
119	-123
120	-1
121	-9
122	0
123	-118
124	-1
125	-9
126	0
127	-125
128	-1
129	-11
130	0
131	-125
132	-1
133	-14
134	0
135	-125
136	-1
137	-14
138	0
139	127
140	-1
141	-9
142	0
143	-124
144	-1
145	-6
146	0
147	-127
148	-1
149	-8
150	0
151	127
152	-1
153	-11
154	0
155	122
156	-1
157	-11
158	0
159	120
160	-1
161	-11
162	0
163	119
164	-1
165	-11
166	0
167	113
168	-1
169	-11
170	0
171	117
172	-1
173	-13
174	0
175	114
176	-1
177	-8
178	0
179	115
180	-1
181	-7
182	0
183	114
184	-1
185	-8
186	0
187	111
188	-1
189	-8
190	0
191	113
192	-1
193	-6
194	0
195	112
196	-1
197	-6
198	0
199	113
200	-1
201	-5
202	0
203	109
204	-1
205	-3
206	0
207	104
208	-1
209	-10
210	0
211	103
212	-1
213	-9
214	0
215	103
216	-1
217	-12
218	0
219	99
220	-1
221	-12
222	0
223	94
224	-1
225	-14
226	0
227	93
228	-1
229	-16
230	0
231	93
232	-1
233	-19
234	0
235	87
236	-1
237	-20
238	0
239	86
240	-1
241	-23
242	0
243	91
244	-1
245	-29
246	0
247	87
248	-1
249	-28
250	0
251	84
252	-1
253	-30
254	0
255	87
256	-1
257	-28
258	0
259	89
260	-1
261	-25
262	0
263	84
264	-1
265	-27
266	0
267	80
268	-1
269	-29
270	0
271	82
272	-1
273	-28
274	0
275	80
276	-1
277	-28
278	0
279	74
280	-1
281	-33
282	0
283	76
284	-1
285	-35
286	0
287	75
288	-1
289	-32
290	0
291	75
292	-1
293	-41
294	0
295	69
296	-1
297	-45
298	0
299	71
300	-1
301	-47
302	0
303	69
304	-1
305	-48
306	0
307	68
308	-1
309	-53
310	0
311	66
312	-1
313	-59
314	0
315	63
316	-1
317	-60
318	0
319	58
320	-1
321	-67
322	0
323	50
324	-1
325	-74
326	0
327	55
328	-1
329	-74
330	0
331	47
332	-1
333	-77
334	0
335	51
336	-1
337	-77
338	0
339	48
340	-1
341	-76
342	0
343	48
344	-1
345	-75
346	0
347	48
348	-1
349	-82
350	0
351	46
352	-1
353	-81
354	0
355	48
356	-1
357	-83
358	0
359	45
360	-1
361	-81
362	0
363	43
364	-1
365	-92
366	0
367	38
368	-1
369	-87
370	0
371	41
372	-1
373	-85
374	0
375	40
376	-1
377	-88
378	0
379	42
380	-1
381	-86
382	0
383	37
384	-1
385	-89
386	0
387	35
388	-1
389	-89
390	0
391	36
392	-1
393	-88
394	0
395	34
396	-1
397	-92
398	0
399	33
400	-1
401	-95
402	0
403	28
404	-1
405	-95
406	0
407	28
408	-1
409	-94
410	0
411	28
412	-1
413	-93
414	0
415	24
416	-1
417	-96
418	0
419	24
420	-1
421	-94
422	0
423	27
424	-1
425	-92
426	0
427	29
428	-1
429	-89
430	0
431	31
432	-1
433	-83
434	0
435	29
436	-1
437	-82
438	0
439	38
440	-1
441	-82
442	0
443	35
444	-1
445	-81
446	0
447	36
448	-1
449	-80
450	0
451	35
452	-1
453	-76
454	0
455	35
456	-1
457	-84
458	0
459	34
460	-1
461	-84
462	0
463	31
464	-1
465	-88
466	0
467	28
468	-1
469	-89
470	0
471	25
472	-1
473	-88
474	0
475	30
476	-1
477	-87
478	0
479	23
480	-1
481	-92
482	0
483	22
484	-1
485	-98
486	0
487	19
488	-1
489	-97
490	0
491	16
492	-1
493	-100
494	0
495	15
496	-1
497	-103
498	0
499	19
500	-1
501	-101
502	0
503	12
504	-1
505	-104
506	0
507	13
508	-1
509	-101
510	0
511	15
512	-1
513	-94
514	0
515	16
516	-1
517	-98
518	0
519	16
520	-1
521	-98
522	0
523	12
524	-1
525	-98
526	0
527	8
528	-1
529	-102
530	0
531	8
532	-1
533	-100
534	0
535	9
536	-1
537	-100
538	0
539	8
540	-1
541	-107
542	0
543	8
544	-1
545	-100
546	0
547	8
548	-1
549	-98
550	0
551	8
552	-1
553	-102
554	0
555	5
556	-1
557	-100
558	0
559	10
560	-1
561	-98
562	0
563	11
564	-1
565	-90
566	0
567	5
568	-1
569	-89
570	0
571	12
572	-1
573	-86
574	0
575	9
576	-1
577	-83
578	0
579	8
580	-1
581	-81
582	0
583	12
584	-1
585	-74
586	0
587	6
588	-1
589	-77
590	0
591	11
592	-1
593	-72
594	0
595	9
596	-1
597	-73
598	0
599	10
600	-1
601	-74
602	0
603	3
604	-1
605	-75
606	0
607	2
608	-1
609	-70
610	0
611	2
612	-1
613	-68
614	0
615	5
616	-1
617	-70
618	0
619	2
620	-1
621	-63
622	0
623	5
624	-1
625	-63
626	0
627	3
628	-1
629	-62
630	-1
631	-1
632	-1
633	-61
634	0
635	1
636	-1
637	-59
638	0
639	1
640	-1
641	-59
642	0
643	3
644	-1
645	-57
646	-1
647	-1
648	-1
649	-59
650	-1
651	-7
652	-1
653	-51
654	0
655	0
656	-1
657	-51
658	0
659	1
660	-1
661	-45
662	0
663	0
664	-1
665	-43
666	0
667	2
668	-1
669	-38
670	-1
671	-2
672	-1
673	-35
674	-1
675	-3
676	-1
677	-36
678	-1
679	-3
680	-1
681	-31
682	0
683	0
684	-1
685	-27
686	0
687	1
688	-1
689	-26
690	-1
691	-4
692	-1
693	-31
694	-1
695	-4
696	-1
697	-28
698	-1
699	-5
700	-1
701	-32
702	-1
703	-7
704	-1
705	-29
706	-1
707	-12
708	-1
709	-27
710	-1
711	-7
712	-1
713	-25
714	-1
715	-7
716	-1
717	-27
718	-1
719	-8
720	-1
721	-29
722	-1
723	-6
724	-1
725	-29
726	-1
727	-12
728	-1
729	-25
730	-1
731	-13
732	-1
733	-22
734	-1
735	-10
736	-1
737	-20
738	-1
739	-13
740	-1
741	-21
742	-1
743	-18
744	-1
745	-20
746	-1
747	-23
748	-1
749	-18
750	-1
751	-22
752	-1
753	-21
754	-1
755	-25
756	-1
757	-16
758	-1
759	-25
760	-1
761	-19
762	-1
763	-29
764	-1
765	-19
766	-1
767	-29
768	-1
769	-16
770	-1
771	-32
772	-1
773	-12
774	-1
775	-27
776	-1
777	-4
778	-1
779	-24
780	-1
781	-1
782	-1
783	-21
784	0
785	0
786	-1
787	-22
788	-1
789	-1
790	-1
791	-23
792	0
793	12
794	-1
795	-23
796	0
797	18
798	-1
799	-19
800	0
801	21
802	-1
803	-22
804	0
805	26
806	-1
807	-23
808	0
809	31
810	-1
811	-25
812	0
813	29
