Index	Value
0	1
1	75
2	0
3	28
4	1
5	75
6	0
7	28
8	1
9	77
10	0
11	27
12	1
13	71
14	0
15	30
16	1
17	68
18	0
19	24
20	1
21	65
22	0
23	24
24	1
25	65
26	0
27	20
28	1
29	60
30	0
31	21
32	1
33	57
34	0
35	16
36	1
37	52
38	0
39	16
40	1
41	48
42	0
43	20
44	1
45	47
46	0
47	16
48	1
49	48
50	0
51	17
52	1
53	48
54	0
55	21
56	1
57	43
58	0
59	19
60	1
61	44
62	0
63	25
64	1
65	45
66	0
67	23
68	1
69	39
70	0
71	22
72	1
73	39
74	0
75	21
76	1
77	36
78	0
79	24
80	1
81	40
82	0
83	24
84	1
85	42
86	0
87	22
88	1
89	43
90	0
91	23
92	1
93	42
94	0
95	21
96	1
97	40
98	0
99	19
100	1
101	42
102	0
103	21
104	1
105	46
106	0
107	27
108	1
109	48
110	0
111	28
112	1
113	45
114	0
115	29
116	1
117	42
118	0
119	31
120	1
121	43
122	0
123	31
124	1
125	44
126	0
127	35
128	1
129	43
130	0
131	39
132	1
133	42
134	0
135	39
136	1
137	38
138	0
139	38
140	1
141	38
142	0
143	38
144	1
145	31
146	0
147	39
148	1
149	31
150	0
151	35
152	1
153	26
154	0
155	34
156	1
157	24
158	0
159	34
160	1
161	18
162	0
163	33
164	1
165	21
166	0
167	29
168	1
169	22
170	0
171	30
172	1
173	20
174	0
175	33
176	1
177	21
178	0
179	41
180	1
181	19
182	0
183	37
184	1
185	17
186	0
187	41
188	1
189	19
190	0
191	38
192	1
193	19
194	0
195	38
196	1
197	10
198	0
199	41
200	1
201	10
202	0
203	40
204	1
205	15
206	0
207	40
208	1
209	14
210	0
211	43
212	1
213	10
214	0
215	43
216	1
217	15
218	0
219	44
220	1
221	13
222	0
223	43
224	1
225	3
226	0
227	45
228	1
229	11
230	0
231	46
232	1
233	12
234	0
235	48
236	1
237	16
238	0
239	51
240	1
241	14
242	0
243	48
244	1
245	14
246	0
247	48
248	1
249	8
250	0
251	45
252	1
253	8
254	0
255	46
256	1
257	10
258	0
259	44
260	1
261	7
262	0
263	46
264	1
265	8
266	0
267	46
268	1
269	9
270	0
271	47
272	1
273	14
274	0
275	48
276	1
277	6
278	0
279	48
280	1
281	1
282	0
283	49
284	0
285	-1
286	0
287	45
288	0
289	-8
290	0
291	44
292	0
293	-8
294	0
295	40
296	0
297	-10
298	0
299	41
300	0
301	-15
302	0
303	43
304	0
305	-16
306	0
307	42
308	0
309	-18
310	0
311	43
312	0
313	-19
314	0
315	39
316	0
317	-19
318	0
319	38
320	0
321	-22
322	0
323	37
324	0
325	-22
326	0
327	36
328	0
329	-19
330	0
331	36
332	0
333	-12
334	0
335	43
336	0
337	-11
338	0
339	43
340	0
341	-1
342	0
343	47
344	0
345	-3
346	0
347	52
348	1
349	3
350	0
351	49
352	1
353	7
354	0
355	52
356	1
357	7
358	0
359	55
360	1
361	6
362	0
363	54
364	1
365	6
366	0
367	50
368	1
369	2
370	0
371	50
372	1
373	2
374	0
375	51
376	1
377	0
378	0
379	48
380	1
381	0
382	0
383	52
384	1
385	3
386	0
387	55
388	1
389	5
390	0
391	56
392	1
393	7
394	0
395	59
396	1
397	3
398	0
399	54
400	0
401	-3
402	0
403	52
404	0
405	-4
406	0
407	53
408	0
409	-7
410	0
411	50
