Index	Value
0	0
1	-66
2	0
3	-119
4	0
5	-68
6	0
7	-119
8	0
9	-74
10	0
11	-119
12	0
13	-79
14	0
15	-115
16	0
17	-83
18	0
19	-117
20	0
21	-88
22	0
23	-116
24	0
25	-87
26	0
27	-116
28	0
29	-94
30	0
31	-111
32	0
33	-100
34	0
35	-114
36	0
37	-106
38	0
39	-114
40	0
41	-109
42	0
43	-111
44	0
45	-119
46	0
47	-110
48	0
49	-122
50	0
51	-112
52	0
53	-119
54	0
55	-113
56	0
57	-121
58	0
59	-116
60	0
61	-121
62	0
63	-112
64	0
65	-125
66	0
67	-109
68	0
69	127
70	0
71	-110
72	0
73	124
74	0
75	-110
76	0
77	125
78	0
79	-107
80	0
81	127
82	0
83	-109
84	0
85	127
86	0
87	-104
88	0
89	121
90	0
91	-102
92	0
93	119
94	0
95	-101
96	0
97	117
98	0
99	-106
100	0
101	113
102	0
103	-104
104	0
105	115
106	0
107	-100
108	0
109	115
110	0
111	-101
112	0
113	112
114	0
115	-94
116	0
117	111
118	0
119	-96
120	0
121	110
122	0
123	-98
124	0
125	111
126	0
127	-95
128	0
129	110
130	0
131	-94
132	0
133	111
134	0
135	-92
136	0
137	109
138	0
139	-93
140	0
141	110
142	0
143	-92
144	0
145	100
146	0
147	-92
148	0
149	99
150	0
151	-98
152	0
153	99
154	0
155	-94
156	0
157	95
158	0
159	-94
160	0
161	89
162	0
163	-88
164	0
165	89
166	0
167	-90
168	0
169	93
170	0
171	-87
172	0
173	85
174	0
175	-84
176	0
177	87
178	0
179	-83
180	0
181	82
182	0
183	-82
184	0
185	79
186	0
187	-81
188	0
189	75
190	0
191	-78
192	0
193	77
194	0
195	-82
196	0
197	74
198	0
199	-80
200	0
201	73
202	0
203	-78
204	0
205	66
206	0
207	-81
208	0
209	61
210	0
211	-78
212	0
213	57
214	0
215	-81
216	0
217	53
218	0
219	-80
220	0
221	53
222	0
223	-79
224	0
225	46
226	0
227	-82
228	0
229	44
230	0
231	-77
232	0
233	40
234	0
235	-77
236	0
237	35
238	0
239	-76
240	0
241	38
242	0
243	-73
244	0
245	30
246	0
247	-65
248	0
249	28
250	0
251	-66
252	0
253	24
254	0
255	-68
256	0
257	21
258	0
259	-69
260	0
261	22
262	0
263	-69
264	0
265	18
266	0
267	-64
268	0
269	18
270	0
271	-66
272	0
273	13
274	0
275	-68
276	0
277	4
278	0
279	-72
280	-1
281	-2
282	0
283	-71
284	-1
285	-12
286	0
287	-73
288	-1
289	-13
290	0
291	-75
292	-1
293	-18
294	0
295	-77
296	-1
297	-23
298	0
299	-79
300	-1
301	-29
302	0
303	-75
304	-1
305	-31
306	0
307	-75
308	-1
309	-36
310	0
311	-72
312	-1
313	-38
314	0
315	-75
316	-1
317	-41
318	0
319	-74
320	-1
321	-41
322	0
323	-72
324	-1
325	-40
326	0
327	-67
328	-1
329	-38
330	0
331	-64
332	-1
333	-33
334	0
335	-65
336	-1
337	-36
338	0
339	-68
340	-1
341	-32
342	0
343	-64
344	-1
345	-36
346	0
347	-60
348	-1
349	-34
350	0
351	-58
352	-1
353	-34
354	0
355	-54
356	-1
357	-39
358	0
359	-50
360	-1
361	-46
362	0
363	-54
364	-1
365	-48
366	0
367	-50
368	-1
369	-51
370	0
371	-47
372	-1
373	-51
374	0
375	-48
376	-1
377	-60
378	0
379	-47
380	-1
381	-64
382	0
383	-46
384	-1
385	-64
386	0
387	-49
388	-1
389	-71
390	0
391	-51
392	-1
393	-74
394	0
395	-47
396	-1
397	-76
398	0
399	-52
400	-1
401	-83
402	0
403	-54
404	-1
405	-83
406	0
407	-50
408	-1
409	-93
410	0
411	-51
412	-1
413	-87
414	0
415	-54
416	-1
417	-84
418	0
419	-48
420	-1
421	-85
422	0
423	-46
424	-1
425	-85
426	0
427	-47
428	-1
429	-90
430	0
431	-48
432	-1
433	-93
434	0
435	-50
436	-1
437	-95
438	0
439	-49
440	-1
441	-99
442	0
443	-53
444	-1
445	-100
446	0
447	-46
448	-1
449	-99
450	0
451	-44
452	-1
453	-109
454	0
455	-44
456	-1
457	-112
458	0
459	-44
460	-1
461	-112
462	0
463	-43
464	-1
465	-115
466	0
467	-43
468	-1
469	-118
470	0
471	-43
472	-1
473	-123
474	0
475	-42
476	-1
477	-121
478	0
479	-37
480	-1
481	127
482	0
483	-36
484	-1
485	122
486	0
487	-37
488	-1
489	118
490	0
491	-37
492	-1
493	116
494	0
495	-32
496	-1
497	113
498	0
499	-34
500	-1
501	112
502	0
503	-37
504	-1
505	103
506	0
507	-32
508	-1
509	101
510	0
511	-32
512	-1
513	99
514	0
515	-38
516	-1
517	98
518	0
519	-37
520	-1
521	98
522	0
523	-34
524	-1
525	100
526	0
527	-25
528	-1
529	102
530	0
531	-25
532	-1
533	92
534	0
535	-26
536	-1
537	93
538	0
539	-28
540	-1
541	97
542	0
543	-25
544	-1
545	97
546	0
547	-25
548	-1
549	100
