Index	Value
0	-2
1	-113
2	-2
3	-119
4	-2
5	-120
6	-2
7	-106
8	-2
9	-118
10	-2
11	-96
12	-2
13	-117
14	-2
15	-93
16	-2
17	-117
18	-2
19	-81
20	-2
21	-115
22	-2
23	-70
24	-2
25	-116
26	-2
27	-64
28	-2
29	-118
30	-2
31	-51
32	-2
33	-113
34	-2
35	-43
36	-2
37	-114
38	-2
39	-41
40	-2
41	-121
42	-2
43	-39
44	-2
45	-128
46	-2
47	-35
48	-2
49	120
50	-2
51	-33
52	-2
53	120
54	-2
55	-25
56	-2
57	113
58	-2
59	-20
60	-2
61	106
62	-2
63	-24
64	-2
65	98
66	-2
67	-21
68	-2
69	84
70	-2
71	-13
72	-2
73	80
74	-2
75	-7
76	-2
77	77
78	-2
79	-3
80	-2
81	75
82	-1
83	2
84	-2
85	70
86	-1
87	7
88	-2
89	64
90	-1
91	4
92	-2
93	61
94	-1
95	12
96	-2
97	58
98	-1
99	22
100	-2
101	56
102	-1
103	23
104	-2
105	48
106	-1
107	31
108	-2
109	47
110	-1
111	34
112	-2
113	42
114	-1
115	36
116	-2
117	40
118	-1
119	47
120	-2
121	44
122	-1
123	56
124	-2
125	41
126	-1
127	64
128	-2
129	36
130	-1
131	70
132	-2
133	29
134	-1
135	71
136	-2
137	20
138	-1
139	74
140	-2
141	19
142	-1
143	76
144	-2
145	24
146	-1
147	82
148	-2
149	20
150	-1
151	91
152	-2
153	19
154	-1
155	93
156	-2
157	20
158	-1
159	100
160	-2
161	13
162	-1
163	108
164	-2
165	8
166	-1
167	110
168	-2
169	12
170	-1
171	110
172	-2
173	12
174	-1
175	113
176	-2
177	7
178	-1
179	117
180	-2
181	1
182	-1
183	116
184	-3
185	-2
186	-1
187	125
188	-3
189	-9
190	-1
191	-128
192	-3
193	-13
194	-1
195	-128
196	-3
197	-10
198	-1
199	-122
200	-3
201	-13
202	-1
203	-117
204	-3
205	-18
206	-1
207	-114
208	-3
209	-23
210	-1
211	-109
212	-3
213	-27
214	-1
215	-110
216	-3
217	-32
218	-1
219	-111
220	-3
221	-27
222	-1
223	-104
224	-3
225	-25
226	-1
227	-101
228	-3
229	-25
230	-1
231	-97
232	-3
233	-20
234	-1
235	-84
236	-3
237	-14
238	-1
239	-83
240	-3
241	-7
242	-1
243	-77
244	-3
245	-2
246	-1
247	-73
248	-2
249	0
250	-1
251	-66
252	-2
253	6
254	-1
255	-61
256	-2
257	6
258	-1
259	-59
260	-2
261	7
262	-1
263	-50
264	-2
265	6
266	-1
267	-50
268	-2
269	10
270	-1
271	-48
272	-2
273	21
274	-1
275	-45
276	-2
277	23
278	-1
279	-40
280	-2
281	20
282	-1
283	-39
284	-2
285	16
286	-1
287	-37
288	-2
289	17
290	-1
291	-33
292	-2
293	19
294	-1
295	-36
296	-2
297	20
298	-1
299	-39
300	-2
301	15
302	-1
303	-38
304	-2
305	9
306	-1
307	-36
308	-2
309	7
310	-1
311	-31
312	-2
313	2
314	-1
315	-34
316	-2
317	8
318	-1
319	-35
320	-2
321	13
322	-1
323	-32
324	-2
325	9
326	-1
327	-23
328	-2
329	15
330	-1
331	-19
332	-2
333	16
334	-1
335	-18
336	-2
337	20
338	-1
339	-25
340	-2
341	21
342	-1
343	-23
344	-2
345	22
346	-1
347	-15
348	-2
349	24
350	-1
351	-13
352	-2
353	21
354	-1
355	-6
356	-2
357	27
358	-1
359	-7
360	-2
361	24
362	-1
363	-13
364	-2
365	24
366	-1
367	-15
368	-2
369	34
370	-1
371	-8
372	-2
373	32
374	-1
375	-8
376	-2
377	34
378	-1
379	-8
380	-2
381	41
382	-1
383	-14
384	-2
385	41
386	-1
387	-14
388	-2
389	39
390	-1
391	-16
392	-2
393	36
394	-1
395	-14
396	-2
397	39
398	-1
399	-14
400	-2
401	37
402	-1
403	-19
404	-2
405	40
406	-1
407	-14
408	-2
409	43
410	-1
411	-10
412	-2
413	50
414	-1
415	-10
416	-2
417	54
418	-1
419	-8
420	-2
421	58
422	-1
423	-11
424	-2
425	62
426	-1
427	-10
428	-2
429	70
430	-1
431	-14
432	-2
