Index	Value
0	-1
1	-122
2	-1
3	90
4	-1
5	-116
6	-1
7	89
8	-1
9	-117
10	-1
11	85
12	-1
13	-126
14	-1
15	88
16	-1
17	125
18	-1
19	89
20	-1
21	120
22	-1
23	85
24	-1
25	-127
26	-1
27	79
28	-1
29	-128
30	-1
31	85
32	-1
33	-122
34	-1
35	85
36	-1
37	-119
38	-1
39	83
40	-1
41	-123
42	-1
43	82
44	-1
45	124
46	-1
47	78
48	-1
49	-121
50	-1
51	80
52	-1
53	-113
54	-1
55	93
56	-1
57	-106
58	-1
59	90
60	-1
61	-87
62	-1
63	83
64	-1
65	-91
66	-1
67	75
68	-1
69	-113
70	-1
71	79
72	-1
73	-122
74	-1
75	85
76	-1
77	-124
78	-1
79	82
80	-1
81	-119
82	-1
83	79
84	-1
85	-114
86	-1
87	83
88	-1
89	-110
90	-1
91	92
92	-1
93	-116
94	-1
95	101
96	-1
97	-117
98	-1
99	99
100	-1
101	-120
102	-1
103	91
104	-1
105	-125
106	-1
107	86
108	-1
109	-116
110	-1
111	86
112	-1
113	-117
114	-1
115	79
116	-1
117	-121
118	-1
119	69
120	-1
121	127
122	-1
123	67
124	-1
125	115
126	-1
127	70
128	-1
129	106
130	-1
131	73
132	-1
133	102
134	-1
135	68
136	-1
137	111
138	-1
139	80
140	-1
141	120
142	-1
143	89
144	-1
145	115
146	-1
147	94
148	-1
149	127
150	-1
151	77
152	-1
153	-123
154	-1
155	67
156	-1
157	-126
158	-1
159	70
160	-1
161	119
162	-1
163	78
164	-1
165	110
166	-1
167	88
168	-1
169	107
170	-1
171	92
172	-1
173	109
174	-1
175	97
176	-1
177	127
178	-1
179	101
180	-1
181	123
182	-1
183	89
184	-1
185	112
186	-1
187	87
188	-1
189	114
190	-1
191	83
192	-1
193	114
194	-1
195	78
196	-1
197	124
198	-1
199	89
200	-1
201	-124
202	-1
203	107
204	-1
205	-128
206	-1
207	101
208	-1
209	-124
210	-1
211	81
212	-1
213	-121
214	-1
215	76
216	-1
217	-115
218	-1
219	83
220	-1
221	-116
222	-1
223	92
224	-1
225	119
226	-1
227	97
228	-1
229	121
230	-1
231	94
232	-1
233	127
234	-1
235	85
236	-1
237	-123
238	-1
239	90
240	-1
241	-122
242	-1
243	94
244	-1
245	-119
246	-1
247	83
248	-1
249	-115
250	-1
251	85
252	-1
253	-111
254	-1
255	81
256	-1
257	-112
258	-1
259	72
260	-1
261	-114
262	-1
263	92
264	-1
265	-108
266	-1
267	106
268	-1
269	-109
270	-1
271	96
272	-1
273	-114
274	-1
275	74
276	-1
277	-118
278	-1
279	77
280	-1
281	-115
282	-1
283	90
284	-1
285	-112
286	-1
287	87
288	-1
289	-109
290	-1
291	84
292	-1
293	-110
294	-1
295	82
296	-1
297	-113
298	-1
299	85
300	-1
301	-109
302	-1
303	98
304	-1
305	-98
306	-1
307	101
308	-1
309	-90
310	-1
311	110
312	-1
313	-91
314	-1
315	109
316	-1
317	-90
318	-1
319	98
320	-1
321	-95
322	-1
323	91
324	-1
325	-98
326	-1
327	84
328	-1
329	-96
330	-1
331	91
332	-1
333	-98
334	-1
335	90
336	-1
337	-99
338	-1
339	80
340	-1
341	-92
342	-1
343	73
344	-1
345	-106
346	-1
347	72
348	-1
349	-107
350	-1
351	74
352	-1
353	-107
354	-1
355	83
356	-1
357	-103
358	-1
359	95
360	-1
361	-107
362	-1
363	94
364	-1
365	-109
366	-1
367	91
368	-1
369	-107
370	-1
371	97
372	-1
373	-100
374	-1
375	90
376	-1
377	-85
378	-1
379	90
380	-1
381	-88
382	-1
383	86
384	-1
385	-80
386	-1
387	86
388	-1
389	-74
390	-1
391	91
392	-1
393	-70
394	-1
395	93
396	-1
397	-68
398	-1
399	91
400	-1
401	-66
402	-1
403	83
404	-1
405	-73
406	-1
407	76
408	-1
409	-91
