Index	Value
0	-2
1	66
2	6
3	82
4	-2
5	73
6	6
7	85
8	-2
9	91
10	6
11	87
12	-2
13	102
14	6
15	97
16	-2
17	106
18	6
19	106
20	-2
21	110
22	6
23	110
24	-2
25	122
26	6
27	114
28	-2
29	-120
30	6
31	121
32	-2
33	-103
34	6
35	121
36	-2
37	-96
38	6
39	-123
40	-2
41	-73
42	6
43	-113
44	-2
45	-65
46	6
47	-118
48	-2
49	-55
50	6
51	-110
52	-2
53	-45
54	6
55	-101
56	-2
57	-33
58	6
59	-102
60	-2
61	-22
62	6
63	-102
64	-2
65	-14
66	6
67	-97
68	-2
69	-7
70	6
71	-96
72	-1
73	6
74	6
75	-91
76	-1
77	21
78	6
79	-86
80	-1
81	33
82	6
83	-93
84	-1
85	43
86	6
87	-79
88	-1
89	48
90	6
91	-66
92	-1
93	62
94	6
95	-61
96	-1
97	73
98	6
99	-52
100	-1
101	88
102	6
103	-47
104	-1
105	99
106	6
107	-45
108	-1
109	111
110	6
111	-46
112	-1
113	124
114	6
115	-38
116	-1
117	-125
118	6
119	-46
120	-1
121	-111
122	6
123	-51
124	-1
125	-112
126	6
127	-44
128	-1
129	-103
130	6
131	-48
132	-1
133	-99
134	6
135	-52
136	-1
137	-88
138	6
139	-54
140	-1
141	-75
142	6
143	-55
144	-1
145	-79
146	6
147	-46
148	-1
149	-68
150	6
151	-53
152	-1
153	-55
154	6
155	-51
156	-1
157	-65
158	6
159	-51
160	-1
161	-51
162	6
163	-66
164	-1
165	-35
166	6
167	-61
168	-1
169	-35
170	6
171	-44
172	-1
173	-24
174	6
175	-59
176	-1
177	-8
178	6
179	-68
180	0
181	4
182	6
183	-63
184	0
185	14
186	6
187	-60
188	0
189	27
190	6
191	-59
192	0
193	31
194	6
195	-53
196	0
197	37
198	6
199	-56
200	0
201	54
202	6
203	-69
204	0
205	66
206	6
207	-67
208	0
209	78
210	6
211	-67
212	0
213	86
214	6
215	-67
216	0
217	89
218	6
219	-64
220	0
221	105
222	6
