Index	Value
0	-1
1	-57
2	-2
3	109
4	-1
5	-56
6	-2
7	109
8	-1
9	-55
10	-2
11	105
12	-1
13	-57
14	-2
15	103
16	-1
17	-62
18	-2
19	101
20	-1
21	-61
22	-2
23	96
24	-1
25	-63
26	-2
27	92
28	-1
29	-70
30	-2
31	88
32	-1
33	-69
34	-2
35	77
36	-1
37	-70
38	-2
39	76
40	-1
41	-66
42	-2
43	76
44	-1
45	-71
46	-2
47	72
48	-1
49	-71
50	-2
51	68
52	-1
53	-70
54	-2
55	66
56	-1
57	-74
58	-2
59	52
60	-1
61	-70
62	-2
63	44
64	-1
65	-71
66	-2
67	42
68	-1
69	-73
70	-2
71	39
72	-1
73	-74
74	-2
75	35
76	-1
77	-75
78	-2
79	32
80	-1
81	-76
82	-2
83	29
84	-1
85	-79
86	-2
87	20
88	-1
89	-85
90	-2
91	17
92	-1
93	-82
94	-2
95	15
96	-1
97	-77
98	-2
99	18
100	-1
101	-78
102	-2
103	11
104	-1
105	-76
106	-2
107	12
108	-1
109	-70
110	-2
111	17
112	-1
113	-65
114	-2
115	17
116	-1
117	-60
118	-2
119	12
120	-1
121	-61
122	-2
123	9
124	-1
125	-56
126	-2
127	8
128	-1
129	-63
130	-2
131	4
132	-1
133	-59
134	-2
135	1
136	-1
137	-54
138	-2
139	1
140	-1
141	-46
142	-3
143	-1
144	-1
145	-50
146	-3
147	-3
148	-1
149	-47
150	-3
151	-11
152	-1
153	-44
154	-3
155	-3
156	-1
157	-43
158	-3
159	-6
160	-1
161	-38
162	-3
163	-10
164	-1
165	-38
166	-3
167	-14
168	-1
169	-33
170	-3
171	-13
172	-1
173	-34
174	-3
175	-20
176	-1
177	-28
178	-3
179	-19
180	-1
181	-34
182	-3
183	-23
184	-1
185	-31
186	-3
187	-27
188	-1
189	-32
190	-3
191	-25
192	-1
193	-26
194	-3
195	-23
196	-1
197	-24
198	-3
199	-29
200	-1
201	-20
202	-3
203	-32
204	-1
205	-19
206	-3
207	-30
208	-1
209	-15
210	-3
211	-33
212	-1
213	-17
214	-3
215	-28
216	-1
217	-14
218	-3
219	-26
220	-1
221	-17
222	-3
223	-36
224	-1
225	-14
226	-3
227	-45
228	-1
229	-6
230	-3
231	-41
232	-1
233	-5
234	-3
235	-45
236	-1
237	-2
238	-3
239	-49
240	0
241	8
242	-3
243	-34
244	0
245	11
246	-3
247	-27
248	0
249	4
250	-3
251	-34
252	0
253	5
254	-3
255	-29
256	0
257	5
258	-3
259	-34
260	0
261	11
262	-3
263	-34
264	0
265	11
266	-3
267	-28
268	0
269	17
270	-3
271	-26
272	0
273	18
274	-3
275	-24
276	0
277	20
278	-3
279	-24
280	0
281	16
282	-3
283	-20
284	0
285	14
286	-3
287	-27
288	0
289	9
290	-3
291	-30
292	0
293	12
294	-3
295	-33
296	0
297	17
298	-3
299	-32
300	0
301	20
302	-3
303	-27
304	0
305	23
306	-3
307	-23
308	0
309	24
310	-3
311	-26
312	0
313	30
314	-3
315	-21
316	0
317	29
318	-3
319	-18
320	0
321	31
322	-3
323	-20
324	0
325	38
326	-3
327	-14
328	0
329	36
330	-3
331	-16
332	0
333	29
334	-3
335	-11
336	0
337	28
338	-3
339	-17
340	0
341	30
342	-3
343	-24
344	0
345	33
346	-3
347	-18
348	0
349	35
350	-3
351	-13
352	0
353	35
354	-3
355	-14
356	0
357	32
358	-3
359	-14
360	0
361	36
362	-3
363	-11
364	0
365	36
366	-3
367	-6
368	0
369	38
370	-3
371	-13
372	0
373	32
374	-3
375	-9
376	0
377	32
378	-3
379	-10
380	0
381	36
382	-3
383	-12
384	0
385	34
386	-3
387	-13
388	0
389	35
390	-3
391	-11
392	0
393	40
394	-3
395	-2
396	0
397	31
398	-3
399	-7
400	0
401	29
402	-3
403	-6
404	0
405	33
406	-2
407	5
408	0
409	38
410	-2
411	5
412	0
413	35
414	-2
415	3
416	0
417	29
418	-2
419	10
420	0
421	29
422	-2
423	6
424	0
425	26
426	-2
427	4
428	0
429	26
430	-2
431	12
432	0
433	29
434	-2
435	12
436	0
437	32
438	-2
