Index	Value
0	0
1	-128
2	0
3	36
4	0
5	127
6	0
7	40
8	0
9	-126
10	0
11	36
12	0
13	-125
14	0
15	40
16	0
17	-122
18	0
19	47
20	0
21	-119
22	0
23	52
24	0
25	-121
26	0
27	46
28	0
29	-118
30	0
31	47
32	0
33	-120
34	0
35	35
36	0
37	-124
38	0
39	26
40	0
41	123
42	0
43	24
44	0
45	117
46	0
47	21
48	0
49	117
50	0
51	21
52	0
53	116
54	0
55	15
56	0
57	114
58	0
59	14
60	0
61	104
62	0
63	16
64	0
65	93
66	0
67	4
68	0
69	79
70	-1
71	-12
72	0
73	79
74	-1
75	-20
76	0
77	72
78	-1
79	-16
80	0
81	71
82	-1
83	-23
84	0
85	69
86	-1
87	-17
88	0
89	72
90	-1
91	-13
92	0
93	78
94	-1
95	-6
96	0
97	81
98	-1
99	-5
100	0
101	82
102	-1
103	-9
104	0
105	81
106	-1
107	-14
108	0
109	86
110	-1
111	-19
112	0
113	85
114	-1
115	-30
116	0
117	86
118	-1
119	-35
120	0
121	91
122	-1
123	-31
124	0
125	95
126	-1
127	-28
128	0
129	97
130	-1
131	-32
132	0
133	96
134	-1
135	-33
136	0
137	98
138	-1
139	-31
140	0
141	103
142	-1
143	-38
144	0
145	103
146	-1
147	-39
148	0
149	110
150	-1
151	-36
152	0
153	108
154	-1
155	-27
156	0
157	107
158	-1
159	-25
160	0
161	104
162	-1
163	-33
164	0
165	104
166	-1
167	-32
168	0
169	110
170	-1
171	-34
172	0
173	103
174	-1
175	-41
176	0
177	101
178	-1
179	-45
180	0
181	101
182	-1
183	-49
184	0
185	102
186	-1
187	-49
188	0
189	102
190	-1
191	-50
192	0
193	101
194	-1
195	-50
196	0
197	110
198	-1
199	-46
200	0
201	109
202	-1
203	-48
204	0
205	112
206	-1
207	-49
208	0
209	115
210	-1
211	-50
212	0
213	109
214	-1
215	-49
216	0
217	113
218	-1
219	-55
220	0
221	114
222	-1
223	-49
224	0
225	113
226	-1
227	-55
228	0
229	107
230	-1
231	-64
232	0
233	107
234	-1
235	-65
236	0
237	104
238	-1
239	-75
240	0
241	94
242	-1
243	-76
244	0
245	97
246	-1
247	-82
248	0
249	98
250	-1
251	-78
252	0
253	99
254	-1
255	-71
256	0
257	111
258	-1
259	-70
260	0
261	116
