Index	Value
0	-2
1	-26
2	0
3	-34
4	-2
5	-27
6	0
7	-36
8	-2
9	-27
10	0
11	-29
12	-2
13	-28
14	0
15	-36
16	-2
17	-19
18	0
19	-36
20	-2
21	-22
22	0
23	-38
24	-2
25	-24
26	0
27	-30
28	-2
29	-23
30	0
31	-27
32	-2
33	-23
34	0
35	-32
36	-2
37	-23
38	0
39	-35
40	-2
41	-17
42	0
43	-37
44	-2
45	-18
46	0
47	-35
48	-2
49	-21
50	0
51	-32
52	-2
53	-25
54	0
55	-32
56	-2
57	-29
58	0
59	-39
60	-2
61	-26
62	0
63	-35
64	-2
65	-22
66	0
67	-37
68	-2
69	-34
70	0
71	-36
72	-2
73	-34
74	0
75	-34
76	-2
77	-39
78	0
79	-39
80	-2
81	-37
82	0
83	-34
84	-2
85	-30
86	0
87	-36
88	-2
89	-34
90	0
91	-36
92	-2
93	-39
94	0
95	-38
96	-2
97	-36
98	0
99	-43
100	-2
101	-36
102	0
103	-39
104	-2
105	-32
106	0
107	-36
108	-2
109	-27
110	0
111	-34
112	-2
113	-29
114	0
115	-43
116	-2
117	-26
118	0
119	-37
120	-2
121	-28
122	0
123	-41
124	-2
125	-29
126	0
127	-42
128	-2
129	-30
130	0
131	-46
132	-2
133	-26
134	0
135	-40
136	-2
137	-23
138	0
139	-44
140	-2
141	-29
142	0
143	-39
144	-2
145	-30
146	0
147	-42
148	-2
149	-32
150	0
151	-47
152	-2
153	-36
154	0
155	-49
156	-2
157	-36
158	0
159	-47
160	-2
161	-41
162	0
163	-54
164	-2
165	-43
166	0
167	-58
168	-2
169	-43
170	0
171	-54
172	-2
173	-46
174	0
175	-53
176	-2
177	-49
178	0
179	-59
180	-2
181	-52
182	0
183	-63
184	-2
185	-52
186	0
187	-58
188	-2
189	-49
190	0
191	-56
192	-2
193	-50
194	0
195	-48
196	-2
197	-48
198	0
199	-48
200	-2
201	-51
202	0
203	-55
204	-2
205	-53
206	0
207	-57
208	-2
209	-52
210	0
211	-53
212	-2
213	-53
214	0
215	-59
216	-2
217	-51
218	0
219	-53
220	-2
221	-50
222	0
223	-49
224	-2
225	-45
226	0
227	-45
228	-2
229	-49
230	0
231	-37
232	-2
233	-52
234	0
235	-46
236	-2
237	-55
238	0
239	-54
240	-2
241	-56
242	0
243	-47
244	-2
245	-51
246	0
247	-45
248	-2
249	-54
250	0
251	-43
252	-2
253	-54
254	0
255	-46
256	-2
257	-54
258	0
259	-42
260	-2
261	-58
262	0
263	-47
264	-2
265	-55
266	0
267	-46
268	-2
269	-62
270	0
271	-39
272	-2
273	-56
274	0
275	-43
276	-2
277	-57
278	0
279	-46
280	-2
281	-58
282	0
283	-47
284	-2
285	-53
286	0
287	-50
288	-2
289	-52
290	0
291	-44
292	-2
293	-50
294	0
295	-44
296	-2
297	-52
298	0
299	-46
300	-2
301	-45
302	0
303	-36
304	-2
305	-44
306	0
307	-41
308	-2
309	-42
310	0
311	-42
312	-2
313	-43
314	0
315	-39
316	-2
317	-47
318	0
319	-47
320	-2
321	-51
322	0
323	-59
324	-2
325	-46
326	0
327	-52
328	-2
329	-48
330	0
331	-46
332	-2
333	-43
334	0
335	-50
336	-2
337	-47
338	0
339	-44
340	-2
341	-50
342	0
343	-43
344	-2
345	-56
346	0
347	-54
348	-2
349	-56
350	0
351	-56
352	-2
353	-53
354	0
355	-49
356	-2
357	-63
358	0
359	-53
360	-2
361	-61
362	0
363	-52
364	-2
365	-62
366	0
367	-51
368	-2
369	-64
370	0
371	-58
372	-2
373	-64
374	0
375	-58
376	-2
377	-63
378	0
379	-55
380	-2
381	-62
382	0
383	-59
384	-2
385	-67
386	0
387	-64
388	-2
389	-65
390	0
391	-63
392	-2
393	-60
394	0
395	-60
396	-2
397	-59
398	0
399	-54
400	-2
401	-62
402	0
403	-53
404	-2
405	-61
406	0
407	-54
408	-2
409	-65
410	0
411	-59
412	-2
413	-63
414	0
415	-64
416	-2
417	-65
418	0
419	-68
420	-2
421	-66
422	0
423	-71
424	-2
425	-62
426	0
427	-63
428	-2
429	-60
430	0
431	-60
432	-2
433	-63
434	0
435	-68
436	-2
437	-66
438	0
439	-71
440	-2
441	-68
442	0
443	-68
444	-2
445	-66
446	0
447	-70
448	-2
449	-66
450	0
451	-75
452	-2
453	-66
454	0
455	-70
456	-2
457	-64
458	0
459	-66
460	-2
461	-55
462	0
463	-70
464	-2
465	-56
466	0
467	-69
468	-2
469	-59
470	0
471	-72
472	-2
473	-55
474	0
475	-68
476	-2
477	-46
478	0
479	-63
480	-2
481	-42
482	0
483	-62
484	-2
485	-46
486	0
487	-65
488	-2
489	-41
490	0
491	-61
492	-2
493	-36
494	0
495	-58
496	-2
497	-36
498	0
499	-57
500	-2
501	-39
502	0
503	-56
504	-2
505	-35
506	0
507	-62
508	-2
509	-35
510	0
511	-71
512	-2
513	-39
514	0
515	-75
516	-2
517	-33
518	0
519	-77
520	-2
521	-36
522	0
523	-73
524	-2
525	-34
526	0
527	-75
528	-2
529	-30
530	0
531	-72
532	-2
533	-34
534	0
535	-67
536	-2
537	-38
538	0
539	-75
540	-2
541	-36
542	0
543	-72
544	-2
545	-32
546	0
547	-75
548	-2
549	-28
550	0
551	-70
552	-2
553	-37
554	0
555	-72
556	-2
557	-41
558	0
559	-85
560	-2
561	-35
562	0
563	-81
564	-2
565	-34
566	0
567	-80
568	-2
569	-37
570	0
571	-83
572	-2
573	-38
574	0
575	-89
576	-2
577	-43
578	0
579	-86
580	-2
581	-38
582	0
583	-87
584	-2
585	-39
586	0
587	-86
588	-2
589	-39
590	0
591	-87
592	-2
593	-46
594	0
595	-91
596	-2
597	-40
598	0
599	-87
600	-2
601	-35
602	0
603	-82
604	-2
605	-41
606	0
607	-89
608	-2
609	-42
610	0
611	-92
612	-2
613	-42
614	0
615	-96
616	-2
617	-38
618	0
619	-94
620	-2
621	-45
622	0
623	-95
624	-2
625	-42
626	0
627	-99
628	-2
629	-36
630	0
631	-92
632	-2
633	-40
634	0
635	-94
636	-2
637	-37
638	0
639	-91
640	-2
641	-37
642	0
643	-85
644	-2
645	-42
646	0
647	-94
648	-2
649	-39
650	0
651	-91
652	-2
653	-35
654	0
655	-89
656	-2
657	-31
658	0
659	-85
660	-2
661	-28
662	0
663	-87
664	-2
665	-24
666	0
667	-87
668	-2
669	-17
670	0
671	-87
672	-2
673	-24
674	0
675	-90
676	-2
677	-27
678	0
679	-87
680	-2
681	-27
682	0
683	-94
684	-2
685	-26
686	0
687	-94
688	-2
689	-28
690	0
691	-103
692	-2
693	-27
694	0
695	-101
696	-2
697	-18
698	0
699	-97
700	-2
701	-21
702	0
703	-100
704	-2
705	-22
706	0
707	-104
708	-2
709	-20
710	0
711	-94
712	-2
713	-25
714	0
715	-95
716	-2
717	-21
718	0
