Index	Value
0	-1
1	-8
2	0
3	100
4	-1
5	-17
6	0
7	104
8	-1
9	-18
10	0
11	94
12	-1
13	-8
14	0
15	100
16	-1
17	-6
18	0
19	113
20	-1
21	-2
22	0
23	110
24	0
25	1
26	0
27	110
28	-1
29	-4
30	0
31	120
32	0
33	7
34	0
35	115
36	0
37	16
38	0
39	108
40	0
41	12
42	0
43	114
44	0
45	7
46	0
47	118
48	0
49	6
50	0
51	116
52	0
53	7
54	0
55	114
56	0
57	9
58	0
59	113
60	0
61	21
62	0
63	120
64	0
65	17
66	0
67	125
68	0
69	6
70	0
71	124
72	0
73	8
74	0
75	114
76	0
77	12
78	0
79	124
80	0
81	14
82	0
83	119
84	0
85	19
86	0
87	113
88	0
89	14
90	0
91	122
92	0
93	12
94	0
95	119
96	0
97	17
98	0
99	123
100	0
101	16
102	0
103	110
104	0
105	12
106	0
107	113
108	0
109	13
110	0
111	116
112	0
113	14
114	0
115	124
116	0
117	18
118	0
119	-126
120	0
121	19
122	0
123	126
124	0
125	29
126	0
127	125
128	0
129	21
130	0
131	123
132	0
133	20
134	0
135	122
136	0
137	22
138	0
139	125
140	0
141	16
142	0
143	-128
144	0
145	25
146	0
147	123
148	0
149	25
150	0
151	126
152	0
153	30
154	0
155	-128
156	0
157	29
158	0
159	-127
160	0
161	33
162	0
163	-126
164	0
165	31
166	0
167	-127
168	0
169	23
170	0
171	127
172	0
173	18
174	0
175	120
176	0
177	7
178	0
179	121
180	0
181	16
182	0
183	120
184	0
185	22
186	0
187	120
188	0
189	16
190	0
191	125
192	0
193	19
194	0
195	-124
196	0
197	24
198	0
199	-120
200	0
201	31
202	0
203	127
204	0
205	28
206	0
207	126
208	0
209	23
210	0
211	-126
212	0
213	10
214	0
215	-122
216	0
217	17
218	0
219	-124
220	0
221	28
222	0
223	-124
224	0
225	32
226	0
227	-119
228	0
229	37
230	0
231	-122
232	0
233	33
234	0
235	-110
236	0
237	29
238	0
239	-110
240	0
241	29
242	0
243	-109
244	0
245	38
246	0
247	-112
248	0
249	34
250	0
251	-103
252	0
253	29
254	0
255	-103
256	0
257	32
258	0
259	-112
260	0
261	34
262	0
263	-112
264	0
265	25
266	0
267	-110
268	0
269	25
270	0
271	-108
272	0
273	28
274	0
275	-103
276	0
277	25
278	0
279	-101
280	0
281	26
282	0
283	-108
284	0
285	35
286	0
287	-114
288	0
289	27
290	0
291	-107
292	0
293	22
294	0
295	-117
296	0
297	32
298	0
299	-116
300	0
301	35
302	0
303	-109
304	0
305	34
306	0
307	-111
308	0
309	35
310	0
311	-102
312	0
313	45
314	0
315	-104
316	0
317	51
318	0
319	-103
320	0
321	45
322	0
323	-101
324	0
325	43
326	0
327	-100
328	0
329	42
330	0
331	-99
332	0
333	41
334	0
335	-103
336	0
337	51
338	0
339	-109
340	0
341	48
342	0
343	-100
344	0
345	42
346	0
347	-100
348	0
349	34
350	0
351	-103
352	0
353	39
354	0
355	-107
356	0
357	45
358	0
359	-100
360	0
361	39
362	0
363	-95
364	0
365	41
366	0
367	-105
368	0
369	42
370	0
371	-86
372	0
373	36
374	0
375	-85
376	0
377	35
378	0
379	-97
380	0
381	36
382	0
383	-99
384	0
385	42
386	0
387	-98
388	0
389	33
390	0
391	-98
392	0
393	29
394	0
395	-101
396	0
397	27
398	0
399	-96
400	0
401	25
402	0
403	-98
404	0
405	28
406	0
407	-98
408	0
409	22
410	0
411	-102
412	0
413	18
414	0
415	-101
416	0
417	33
418	0
419	-91
420	0
421	29
422	0
423	-88
424	0
425	18
426	0
427	-87
428	0
429	12
430	0
431	-94
432	0
433	19
434	0
435	-94
436	0
437	21
438	0
439	-93
440	0
441	26
442	0
443	-97
444	0
445	25
446	0
447	-93
448	0
449	16
450	0
451	-89
452	0
453	20
454	0
455	-92
456	0
457	29
458	0
459	-98
460	0
461	27
462	0
463	-90
464	0
465	21
466	0
467	-84
468	0
469	16
470	0
471	-87
472	0
473	19
474	0
475	-87
476	0
477	25
478	0
479	-84
480	0
481	23
482	0
483	-80
484	0
485	37
486	0
487	-86
488	0
489	49
490	0
491	-75
492	0
493	43
494	0
495	-78
496	0
497	43
498	0
499	-82
500	0
501	50
502	0
503	-76
504	0
505	46
506	0
507	-71
508	0
509	53
510	0
511	-66
512	0
513	42
514	0
515	-72
516	0
517	45
518	0
519	-76
520	0
521	52
522	0
523	-74
524	0
525	52
526	0
527	-62
528	0
529	53
530	0
531	-73
532	0
533	45
534	0
535	-80
536	0
537	51
538	0
539	-78
540	0
541	41
542	0
543	-79
544	0
545	40
546	0
547	-67
548	0
549	53
550	0
551	-63
552	0
553	47
554	0
555	-58
556	0
557	47
558	0
559	-72
560	0
561	57
562	0
563	-74
564	0
565	45
566	0
567	-67
568	0
569	39
570	0
571	-78
572	0
573	40
574	0
575	-80
576	0
577	38
578	0
579	-74
580	0
581	44
582	0
583	-75
584	0
585	47
586	0
587	-76
588	0
589	38
590	0
591	-77
592	0
593	35
594	0
595	-71
596	0
597	25
598	0
599	-72
600	0
601	28
602	0
603	-82
604	0
605	35
606	0
607	-70
608	0
609	40
610	0
611	-63
612	0
613	42
614	0
615	-73
616	0
617	44
618	0
619	-78
620	0
621	45
622	0
623	-69
624	0
625	39
626	0
627	-64
628	0
629	48
630	0
631	-66
632	0
633	52
634	0
635	-64
636	0
637	53
638	0
639	-64
640	0
641	46
642	0
643	-64
644	0
645	35
646	0
647	-67
648	0
649	37
650	0
651	-70
652	0
653	35
654	0
655	-70
656	0
657	40
658	0
659	-65
660	0
661	39
662	0
663	-67
664	0
665	39
666	0
667	-86
668	0
669	39
670	0
671	-82
672	0
673	39
674	0
675	-82
676	0
677	41
678	0
679	-81
680	0
681	31
682	0
683	-76
684	0
685	31
686	0
687	-85
688	0
689	37
690	0
691	-80
692	0
693	37
694	0
695	-70
696	0
697	41
698	0
699	-66
700	0
701	35
702	0
703	-76
704	0
705	31
706	0
707	-77
708	0
709	37
710	0
711	-79
712	0
713	41
714	0
715	-82
716	0
717	44
718	0
719	-83
720	0
721	34
722	0
723	-79
724	0
725	29
726	0
727	-73
728	0
729	34
730	0
731	-86
732	0
733	31
734	0
735	-95
736	0
737	36
738	0
739	-87
740	0
741	40
742	0
743	-79
744	0
745	48
746	0
747	-73
748	0
749	45
750	0
751	-70
752	0
753	40
754	0
755	-69
756	0
757	53
758	0
759	-69
760	0
761	61
762	0
763	-78
764	0
765	63
766	0
767	-74
768	0
769	66
770	0
771	-62
772	0
773	66
774	0
775	-59
776	0
777	67
778	0
779	-63
780	0
781	63
782	0
783	-71
784	0
785	63
786	0
787	-78
788	0
789	69
790	0
791	-79
792	0
793	68
794	0
795	-78
796	0
797	71
798	0
799	-78
800	0
801	66
802	0
803	-72
804	0
805	68
806	0
807	-75
808	0
809	72
810	0
811	-70
812	0
813	81
814	0
815	-66
816	0
817	77
818	0
819	-66
820	0
821	70
822	0
823	-78
824	0
825	72
826	0
827	-77
828	0
829	74
830	0
831	-79
832	0
833	78
834	0
835	-77
836	0
837	69
838	0
839	-75
840	0
841	65
842	0
843	-71
844	0
845	62
846	0
847	-73
848	0
849	57
850	0
851	-76
852	0
853	59
854	0
855	-76
856	0
857	63
858	0
859	-75
860	0
861	56
862	0
863	-71
864	0
865	61
866	0
867	-69
868	0
869	72
870	0
871	-77
872	0
873	74
874	0
875	-74
876	0
877	64
878	0
879	-70
880	0
881	60
882	0
883	-75
884	0
885	53
886	0
887	-69
888	0
889	70
890	0
891	-74
892	0
893	80
894	0
895	-70
896	0
897	79
898	0
899	-66
900	0
901	74
902	0
903	-63
904	0
905	65
906	0
907	-67
908	0
909	61
910	0
911	-70
912	0
913	67
914	0
915	-79
916	0
917	76
918	0
919	-65
920	0
921	67
922	0
923	-60
924	0
925	65
926	0
927	-69
928	0
929	67
930	0
931	-69
932	0
933	59
934	0
935	-67
936	0
937	60
938	0
939	-66
940	0
941	52
942	0
943	-67
944	0
945	53
946	0
947	-73
948	0
949	59
950	0
951	-71
952	0
953	56
954	0
955	-68
956	0
957	62
958	0
959	-70
960	0
961	68
962	0
963	-72
964	0
965	73
966	0
967	-74
968	0
969	66
970	0
971	-72
972	0
973	58
974	0
975	-76
976	0
977	58
978	0
979	-72
980	0
981	58
982	0
983	-66
984	0
985	66
986	0
987	-77
988	0
989	74
990	0
991	-76
992	0
993	67
994	0
995	-70
996	0
997	64
998	0
999	-76
1000	0
1001	69
1002	0
1003	-72
1004	0
1005	70
1006	0
1007	-62
1008	0
1009	79
1010	0
1011	-66
1012	0
1013	89
1014	0
1015	-73
1016	0
1017	82
1018	0
1019	-68
1020	0
1021	75
1022	0
1023	-60
1024	0
1025	85
1026	0
1027	-59
1028	0
1029	85
1030	0
1031	-54
1032	0
1033	91
1034	0
1035	-54
1036	0
1037	101
1038	0
1039	-46
1040	0
1041	93
1042	0
1043	-49
1044	0
1045	88
1046	0
1047	-55
1048	0
1049	86
1050	0
1051	-50
1052	0
1053	82
1054	0
1055	-53
1056	0
1057	93
1058	0
1059	-51
1060	0
1061	96
1062	0
1063	-47
1064	0
1065	93
1066	0
1067	-46
1068	0
1069	89
1070	0
1071	-49
1072	0
1073	83
1074	0
1075	-54
1076	0
1077	86
1078	0
1079	-56
1080	0
1081	94
1082	0
1083	-57
1084	0
1085	83
1086	0
1087	-56
1088	0
1089	84
1090	0
1091	-58
1092	0
1093	91
1094	0
1095	-59
1096	0
1097	94
1098	0
1099	-57
1100	0
1101	84
1102	0
1103	-45
1104	0
1105	79
1106	0
1107	-48
1108	0
1109	72
1110	0
1111	-51
1112	0
1113	72
1114	0
1115	-58
1116	0
1117	82
1118	0
1119	-60
1120	0
1121	79
1122	0
1123	-63
1124	0
1125	80
1126	0
1127	-64
1128	0
1129	65
1130	0
1131	-59
1132	0
1133	57
1134	0
1135	-63
1136	0
1137	62
1138	0
1139	-62
1140	0
1141	63
1142	0
1143	-64
1144	0
1145	63
1146	0
1147	-67
1148	0
1149	66
1150	0
1151	-76
1152	0
1153	67
1154	0
1155	-69
1156	0
1157	75
1158	0
1159	-66
1160	0
1161	76
1162	0
1163	-63
1164	0
1165	79
1166	0
1167	-62
1168	0
1169	75
1170	0
1171	-67
1172	0
1173	82
1174	0
1175	-66
1176	0
1177	82
1178	0
1179	-60
1180	0
1181	92
1182	0
1183	-57
1184	0
1185	100
1186	0
1187	-53
1188	0
1189	95
1190	0
1191	-56
1192	0
1193	94
1194	0
1195	-58
1196	0
1197	101
1198	0
1199	-53
1200	0
1201	107
1202	0
1203	-54
1204	0
1205	111
1206	0
1207	-52
1208	0
1209	111
1210	0
1211	-55
1212	0
1213	104
1214	0
1215	-51
1216	0
1217	102
1218	0
1219	-61
1220	0
1221	98
1222	0
1223	-57
1224	0
1225	93
1226	0
1227	-59
1228	0
1229	90
1230	0
1231	-70
1232	0
1233	89
1234	0
1235	-69
1236	0
1237	93
1238	0
1239	-67
1240	0
1241	85
1242	0
1243	-65
1244	0
1245	82
1246	0
1247	-63
1248	0
1249	81
1250	0
1251	-66
1252	0
1253	77
1254	0
1255	-69
1256	0
1257	82
1258	0
1259	-69
1260	0
1261	80
1262	0
1263	-64
1264	0
1265	79
1266	0
1267	-71
1268	0
1269	65
1270	0
1271	-69
1272	0
1273	69
1274	0
1275	-72
1276	0
1277	86
1278	0
1279	-70
1280	0
1281	82
1282	0
1283	-70
1284	0
1285	86
1286	0
1287	-70
1288	0
1289	79
1290	0
1291	-69
1292	0
1293	72
1294	0
1295	-68
1296	0
1297	76
1298	0
1299	-78
1300	0
1301	75
1302	0
1303	-78
1304	0
1305	75
1306	0
1307	-72
1308	0
1309	75
1310	0
1311	-68
1312	0
1313	69
1314	0
1315	-71
1316	0
1317	73
1318	0
1319	-82
1320	0
1321	76
1322	0
1323	-87
1324	0
1325	74
1326	0
1327	-82
1328	0
1329	86
1330	0
1331	-84
1332	0
1333	89
1334	0
1335	-86
1336	0
1337	77
1338	0
1339	-81
1340	0
1341	81
1342	0
1343	-86
1344	0
1345	87
1346	0
1347	-91
1348	0
1349	87
1350	0
1351	-88
1352	0
1353	92
1354	0
1355	-85
1356	0
1357	94
1358	0
1359	-82
1360	0
1361	91
1362	0
1363	-83
1364	0
1365	91
1366	0
1367	-78
1368	0
1369	95
1370	0
1371	-76
1372	0
1373	100
1374	0
1375	-71
1376	0
1377	110
1378	0
1379	-74
1380	0
1381	109
1382	0
1383	-74
1384	0
1385	102
1386	0
1387	-76
1388	0
1389	96
1390	0
1391	-83
1392	0
1393	93
1394	0
1395	-84
1396	0
1397	108
1398	0
1399	-77
1400	0
1401	110
1402	0
1403	-75
1404	0
1405	98
1406	0
1407	-81
1408	0
1409	96
1410	0
1411	-89
1412	0
1413	98
1414	0
1415	-90
1416	0
1417	99
1418	0
1419	-85
1420	0
1421	102
1422	0
1423	-81
1424	0
1425	100
1426	0
1427	-78
1428	0
1429	107
1430	0
1431	-73
1432	0
1433	104
1434	0
1435	-77
1436	0
1437	96
1438	0
1439	-85
1440	0
1441	91
1442	0
1443	-88
1444	0
1445	82
1446	0
1447	-89
1448	0
1449	82
1450	0
1451	-88
1452	0
1453	87
1454	0
1455	-92
1456	0
1457	86
1458	0
1459	-88
1460	0
1461	90
1462	0
1463	-91
1464	0
1465	93
1466	0
1467	-81
1468	0
1469	91
1470	0
1471	-83
1472	0
1473	90
1474	0
1475	-93
1476	0
1477	97
1478	0
1479	-95
1480	0
1481	94
1482	0
1483	-92
1484	0
1485	89
1486	0
1487	-100
1488	0
1489	101
1490	0
1491	-98
1492	0
1493	102
1494	0
1495	-97
1496	0
1497	107
1498	0
1499	-90
1500	0
1501	112
1502	0
1503	-82
1504	0
1505	116
1506	0
1507	-89
1508	0
1509	106
1510	0
1511	-95
1512	0
1513	98
1514	0
1515	-99
1516	0
1517	101
1518	0
1519	-99
1520	0
1521	110
1522	0
1523	-95
1524	0
1525	110
1526	0
1527	-96
1528	0
1529	94
1530	0
1531	-106
1532	0
1533	99
1534	0
1535	-109
1536	0
1537	96
1538	0
1539	-102
1540	0
1541	86
1542	0
1543	-113
1544	0
1545	99
1546	0
1547	-118
1548	0
1549	106
1550	0
1551	-105
1552	0
1553	94
1554	0
1555	-102
1556	0
1557	77
1558	0
1559	-104
1560	0
1561	81
1562	0
1563	-116
1564	0
1565	88
1566	0
1567	-110
1568	0
1569	81
1570	0
1571	-112
1572	0
1573	86
1574	0
1575	-115
1576	0
1577	83
1578	0
1579	-104
1580	0
1581	82
1582	0
1583	-106
1584	0
1585	90
1586	0
1587	-111
1588	0
1589	85
1590	0
1591	-118
1592	0
1593	91
1594	0
1595	-112
1596	0
1597	82
1598	0
1599	-99
1600	0
1601	75
1602	0
1603	-100
1604	0
1605	88
1606	0
1607	-108
1608	0
1609	84
1610	0
1611	-100
1612	0
1613	90
1614	0
1615	-103
1616	0
1617	94
1618	0
1619	-97
1620	0
1621	85
1622	0
1623	-88
1624	0
1625	82
1626	0
1627	-93
1628	0
1629	83
1630	0
1631	-101
1632	0
1633	87
1634	0
1635	-107
1636	0
1637	90
1638	0
1639	-103
1640	0
1641	91
1642	0
1643	-102
1644	0
1645	89
1646	0
1647	-103
1648	0
1649	84
1650	0
1651	-108
1652	0
1653	85
1654	0
1655	-117
1656	0
1657	81
1658	0
1659	-115
1660	0
1661	82
1662	0
1663	-117
1664	0
1665	81
1666	0
1667	-117
1668	0
1669	86
1670	0
1671	-113
1672	0
1673	76
1674	0
1675	-115
1676	0
1677	74
1678	0
1679	-119
1680	0
1681	80
1682	0
1683	-121
1684	0
1685	81
1686	0
1687	-113
1688	0
1689	90
1690	0
1691	-118
1692	0
1693	96
1694	0
1695	-118
1696	0
1697	90
1698	0
1699	-113
1700	0
1701	90
1702	0
1703	-109
1704	0
1705	90
1706	0
1707	-110
1708	0
1709	93
1710	0
1711	-99
1712	0
1713	100
1714	0
1715	-112
1716	0
1717	101
1718	0
1719	-111
1720	0
1721	96
1722	0
1723	-105
1724	0
1725	99
1726	0
1727	-101
1728	0
1729	110
1730	0
1731	-97
1732	0
1733	105
1734	0
1735	-110
1736	0
1737	100
1738	0
1739	-110
1740	0
1741	100
1742	0
1743	-101
1744	0
1745	95
1746	0
1747	-102
1748	0
1749	107
1750	0
1751	-108
1752	0
1753	115
1754	0
1755	-104
1756	0
1757	111
1758	0
1759	-100
1760	0
1761	105
1762	0
1763	-109
1764	0
1765	106
1766	0
1767	-114
1768	0
1769	113
1770	0
1771	-108
1772	0
1773	102
1774	0
1775	-111
1776	0
1777	99
1778	0
1779	-115
1780	0
1781	108
1782	0
1783	-119
1784	0
1785	107
1786	0
1787	-117
1788	0
1789	91
1790	0
1791	-116
1792	0
1793	89
1794	0
1795	-117
1796	0
1797	98
1798	0
1799	-109
1800	0
1801	101
1802	0
1803	-109
1804	0
1805	98
1806	0
1807	-117
1808	0
1809	93
1810	0
1811	-126
1812	0
1813	87
1814	0
1815	-120
1816	0
1817	87
1818	0
1819	127
1820	0
1821	78
1822	0
1823	-128
1824	0
1825	84
1826	0
1827	-119
1828	0
1829	90
1830	0
1831	-117
1832	0
1833	87
1834	0
1835	-127
1836	0
1837	100
1838	0
1839	-128
1840	0
1841	99
1842	0
1843	-122
1844	0
1845	90
1846	0
1847	126
1848	0
1849	83
1850	0
1851	123
1852	0
1853	84
1854	0
1855	-127
1856	0
1857	91
1858	0
1859	125
1860	0
1861	95
1862	0
1863	124
1864	0
1865	89
1866	0
1867	121
1868	0
1869	91
1870	0
1871	121
1872	0
1873	93
1874	0
1875	123
1876	0
1877	100
1878	0
1879	-128
1880	0
1881	98
1882	0
1883	-125
1884	0
1885	102
1886	0
1887	126
1888	0
1889	108
1890	0
1891	125
1892	0
1893	114
1894	0
1895	124
1896	0
1897	111
1898	0
1899	122
1900	0
1901	97
1902	0
1903	117
1904	0
1905	97
1906	0
1907	107
1908	0
1909	93
1910	0
1911	114
1912	0
1913	95
1914	0
1915	119
1916	0
1917	101
1918	0
1919	-124
1920	0
1921	98
1922	0
1923	-124
1924	0
1925	98
1926	0
1927	118
1928	0
1929	102
1930	0
1931	122
1932	0
1933	99
1934	0
1935	-126
1936	0
1937	96
1938	0
1939	123
1940	0
1941	93
1942	0
1943	122
1944	0
1945	101
1946	0
1947	127
1948	0
1949	95
1950	0
1951	117
1952	0
1953	91
1954	0
1955	110
1956	0
1957	96
1958	0
1959	116
1960	0
1961	96
1962	0
1963	119
1964	0
1965	99
1966	0
1967	116
1968	0
1969	99
1970	0
1971	115
1972	0
1973	93
1974	0
1975	118
1976	0
1977	88
1978	0
1979	115
1980	0
1981	90
1982	0
1983	114
1984	0
1985	96
1986	0
1987	113
1988	0
1989	89
1990	0
1991	111
1992	0
1993	87
1994	0
1995	108
1996	0
1997	80
1998	0
1999	104
2000	0
2001	83
2002	0
2003	101
2004	0
2005	86
2006	0
2007	101
2008	0
2009	79
2010	0
2011	103
2012	0
2013	74
2014	0
2015	104
2016	0
2017	75
2018	0
2019	109
2020	0
2021	82
2022	0
2023	112
2024	0
2025	92
2026	0
2027	106
2028	0
2029	90
2030	0
2031	99
2032	0
2033	85
2034	0
2035	96
2036	0
2037	81
2038	0
2039	99
2040	0
2041	82
2042	0
2043	95
2044	0
2045	82
2046	0
2047	101
2048	0
2049	88
2050	0
2051	99
2052	0
2053	92
2054	0
2055	103
2056	0
2057	86
2058	0
