Index	Value
0	0
1	-97
2	0
3	82
4	0
5	-88
6	0
7	81
8	0
9	-79
10	0
11	64
12	0
13	-74
14	0
15	62
16	0
17	-66
18	0
19	62
20	0
21	-55
22	0
23	57
24	0
25	-53
26	0
27	49
28	0
29	-48
30	0
31	52
32	0
33	-43
34	0
35	50
36	0
37	-37
38	0
39	43
40	0
41	-25
42	0
43	38
44	0
45	-32
46	0
47	30
48	0
49	-24
50	0
51	21
52	0
53	-20
54	0
55	19
56	0
57	-4
58	0
59	17
60	1
61	2
62	0
63	11
64	1
65	10
66	-1
67	-2
68	1
69	13
70	-1
71	-8
72	1
73	7
74	-1
75	-20
76	1
77	29
78	-1
79	-25
80	1
81	42
82	-1
83	-26
84	1
85	38
86	-1
87	-38
88	1
89	42
90	-1
91	-43
92	1
93	51
94	-1
95	-53
96	1
97	60
98	-1
99	-65
100	1
101	71
102	-1
103	-69
104	1
105	72
106	-1
107	-76
108	1
109	60
110	-1
111	-89
112	1
113	69
114	-1
115	-100
116	1
117	82
118	-1
119	-97
120	1
121	90
122	-1
123	-103
124	1
125	87
126	-1
127	-116
128	1
129	88
130	-1
131	-117
132	1
133	102
134	-1
135	-119
136	1
137	111
138	-1
139	-125
140	1
141	123
142	-1
143	-124
144	1
145	117
146	-1
147	122
148	1
149	120
150	-1
151	119
152	1
153	-122
154	-1
155	122
156	1
157	-105
158	-1
159	124
160	1
161	-103
162	-1
163	119
164	1
165	-94
166	-1
167	117
168	1
169	-85
170	-1
171	113
172	1
173	-89
174	-1
175	110
176	1
177	-63
178	-1
179	116
180	1
181	-58
182	-1
183	123
184	1
185	-48
186	-1
187	120
188	1
189	-41
190	-1
191	117
192	1
193	-36
194	-1
195	115
196	1
197	-28
198	-1
199	118
200	1
201	-11
202	-1
203	123
204	2
205	0
206	-1
207	120
208	2
209	6
210	-1
211	116
212	2
213	14
214	-1
215	117
216	2
217	18
218	-1
219	118
220	2
221	27
222	-1
223	111
224	2
225	39
226	-1
227	119
228	2
229	45
230	-1
231	115
232	2
233	48
234	-1
235	114
236	2
237	57
238	-1
239	117
240	2
241	57
242	-1
243	103
244	2
245	69
246	-1
247	98
248	2
249	78
250	-1
251	109
252	2
253	83
254	-1
255	104
256	2
257	96
258	-1
259	108
260	2
261	99
262	-1
263	106
264	2
265	95
266	-1
267	94
268	2
269	109
270	-1
271	104
272	2
273	117
274	-1
275	112
276	2
277	119
278	-1
279	110
280	2
281	-124
282	-1
283	118
284	2
285	-116
286	-1
287	116
288	2
289	-122
290	-1
291	107
292	2
293	-116
294	-1
295	112
296	2
297	-104
298	-1
299	116
300	2
301	-91
302	-1
303	123
304	2
305	-82
306	-1
307	-128
308	2
309	-73
310	-1
311	-125
312	2
313	-62
314	-1
315	-118
316	2
317	-53
318	-1
319	-116
320	2
321	-36
322	-1
323	-117
324	2
325	-31
326	-1
327	-119
328	2
329	-19
330	-1
331	-111
332	2
333	-17
334	-1
335	-102
336	2
337	-15
338	-1
339	-101
340	2
341	-5
342	-1
343	-96
344	2
345	-2
346	-1
347	-95
348	2
349	-2
350	-1
351	-92
352	2
353	-3
354	-1
355	-91
356	2
357	-6
358	-1
359	-90
360	2
361	-4
362	-1
363	-96
364	2
365	-2
366	-1
367	-94
368	3
369	8
370	-1
371	-87
372	3
373	4
