Index	Value
0	2
1	-15
2	1
3	-127
4	2
5	-22
6	1
7	121
8	2
9	-22
10	1
11	108
12	2
13	-27
14	1
15	103
16	2
17	-32
18	1
19	95
20	2
21	-34
22	1
23	82
24	2
25	-45
26	1
27	78
28	2
29	-49
30	1
31	69
32	2
33	-57
34	1
35	56
36	2
37	-65
38	1
39	45
40	2
41	-71
42	1
43	25
44	2
45	-80
46	1
47	12
48	2
49	-85
50	1
51	6
52	2
53	-88
54	0
55	-1
56	2
57	-93
58	0
59	-15
60	2
61	-103
62	0
63	-27
64	2
65	-103
66	0
67	-40
68	2
69	-104
70	0
71	-48
72	2
73	-106
74	0
75	-60
76	2
77	-111
78	0
79	-68
80	2
81	-119
82	0
83	-74
84	2
85	127
86	0
87	-86
88	2
89	114
90	0
91	-102
92	2
93	103
94	0
95	-116
96	2
97	95
98	0
99	-124
100	2
101	89
102	0
103	121
104	2
105	80
106	0
107	116
108	2
109	70
110	0
111	105
112	2
113	60
114	0
115	101
116	2
117	51
118	0
119	96
120	2
121	38
122	0
123	88
124	2
125	32
126	0
127	72
128	2
129	23
130	0
131	68
132	2
133	15
134	0
135	54
136	2
137	6
138	0
139	41
140	2
141	0
142	0
143	36
144	1
145	-12
146	0
147	32
148	1
149	-22
150	0
151	28
152	1
153	-28
154	0
155	24
156	1
157	-33
158	0
159	25
160	1
161	-40
162	0
163	17
164	1
165	-40
166	0
167	7
168	1
169	-46
170	0
171	0
172	1
173	-53
174	-1
175	-1
176	1
177	-60
178	-1
179	-9
180	1
181	-68
182	-1
183	-12
184	1
185	-74
186	-1
187	-11
188	1
189	-77
190	-1
191	-17
192	1
193	-87
194	-1
195	-26
196	1
197	-99
198	-1
199	-40
200	1
201	-112
202	-1
203	-45
204	1
205	-123
206	-1
207	-53
208	1
209	127
210	-1
211	-60
212	1
213	120
214	-1
215	-66
216	1
217	106
218	-1
219	-79
220	1
221	88
222	-1
223	-84
224	1
225	77
226	-1
227	-98
228	1
229	59
230	-1
231	-110
232	1
233	46
234	-1
235	-118
236	1
237	27
238	-1
239	124
240	1
241	11
242	-1
243	115
244	0
245	-11
246	-1
247	103
248	0
249	-32
250	-1
251	93
252	0
253	-51
254	-1
255	93
256	0
257	-68
258	-1
259	80
260	0
261	-82
262	-1
263	77
264	0
265	-104
266	-1
267	77
268	0
269	-116
270	-1
271	68
272	0
273	126
274	-1
275	62
276	0
277	112
278	-1
279	56
280	0
281	99
282	-1
283	55
284	0
285	90
286	-1
287	51
288	0
289	82
290	-1
291	48
292	0
293	67
294	-1
295	50
296	0
297	52
298	-1
299	50
300	0
301	43
302	-1
303	45
304	0
305	36
306	-1
307	39
308	0
309	32
310	-1
311	39
312	0
313	30
314	-1
315	44
316	0
317	22
318	-1
319	41
320	0
321	20
322	-1
323	37
324	0
325	11
326	-1
327	30
328	-1
329	-2
330	-1
331	31
332	-1
333	-11
334	-1
335	22
336	-1
337	-24
338	-1
339	20
340	-1
341	-32
342	-1
343	17
344	-1
345	-34
346	-1
347	21
348	-1
349	-35
350	-1
351	13
352	-1
353	-51
354	-1
355	4
356	-1
357	-63
358	-1
359	0
360	-1
361	-71
362	-2
363	-6
364	-1
