Index	Value
0	2
1	69
2	2
3	66
4	2
5	67
6	2
7	66
8	2
9	67
10	2
11	75
12	2
13	64
14	2
15	85
16	2
17	60
18	2
19	81
20	2
21	54
22	2
23	73
24	2
25	52
26	2
27	75
28	2
29	47
30	2
31	70
32	2
33	54
34	2
35	79
36	2
37	60
38	2
39	85
40	2
41	48
42	2
43	80
44	2
45	41
46	2
47	76
48	2
49	42
50	2
51	77
52	2
53	43
54	2
55	89
56	2
57	46
58	2
59	86
60	2
61	40
62	2
63	86
64	2
65	26
66	2
67	78
68	2
69	23
70	2
71	74
72	2
73	17
74	2
75	73
76	2
77	18
78	2
79	75
80	2
81	13
82	2
83	77
84	2
85	19
86	2
87	85
88	2
89	22
90	2
91	89
92	2
93	19
94	2
95	90
96	2
97	15
98	2
99	85
100	2
101	12
102	2
103	91
104	2
105	3
106	2
107	89
108	2
109	6
110	2
111	91
112	2
113	11
114	2
115	100
116	2
117	1
118	2
119	97
120	1
121	-2
122	2
123	96
124	1
125	-3
126	2
127	94
128	1
129	-2
130	2
131	88
132	1
133	-4
134	2
135	90
136	1
137	-14
138	2
139	92
140	1
141	-19
142	2
143	83
144	1
145	-23
146	2
147	86
148	1
149	-19
150	2
151	91
152	1
153	-15
154	2
155	96
156	1
157	-18
158	2
159	101
160	1
161	-22
162	2
163	94
164	1
165	-21
166	2
167	92
168	1
169	-22
170	2
171	97
172	1
173	-23
174	2
175	97
176	1
177	-16
178	2
179	99
180	1
181	-17
182	2
183	106
184	1
185	-18
186	2
187	109
188	1
189	-23
190	2
191	106
192	1
193	-28
194	2
195	105
196	1
197	-28
198	2
199	101
200	1
201	-31
202	2
203	104
204	1
205	-26
206	2
207	103
208	1
209	-28
210	2
211	100
212	1
213	-35
214	2
215	109
216	1
217	-44
218	2
219	102
220	1
221	-44
222	2
223	105
224	1
225	-44
226	2
227	98
228	1
229	-49
230	2
231	94
232	1
233	-44
234	2
235	96
236	1
237	-43
238	2
239	97
240	1
241	-53
242	2
243	98
244	1
245	-59
246	2
247	94
248	1
249	-56
250	2
251	95
252	1
253	-56
254	2
255	104
256	1
257	-55
258	2
259	99
260	1
261	-63
262	2
263	95
264	1
265	-66
266	2
267	97
268	1
269	-70
270	2
271	93
272	1
273	-67
274	2
275	94
276	1
277	-62
278	2
279	102
280	1
281	-67
282	2
283	105
284	1
285	-62
286	2
287	106
288	1
289	-67
290	2
291	105
292	1
293	-65
294	2
295	111
296	1
297	-67
298	2
299	101
300	1
301	-67
302	2
303	112
304	1
305	-63
306	2
307	114
308	1
309	-66
310	2
311	110
312	1
313	-71
314	2
315	113
316	1
317	-71
318	2
319	107
320	1
321	-78
322	2
323	98
324	1
325	-79
326	2
327	97
328	1
329	-81
330	2
331	101
332	1
333	-83
334	2
335	101
336	1
337	-83
338	2
339	103
340	1
341	-77
342	2
343	108
344	1
345	-72
346	2
347	115
348	1
349	-78
350	2
351	103
352	1
353	-78
354	2
355	103
356	1
357	-74
358	2
359	114
360	1
361	-69
362	2
363	120
364	1
365	-82
366	2
367	122
368	1
369	-88
370	2
371	113
372	1
373	-90
374	2
375	112
376	1
377	-93
378	2
379	106
380	1
381	-94
382	2
383	101
384	1
385	-97
386	2
387	107
388	1
389	-99
390	2
391	113
392	1
393	-99
394	2
395	111
396	1
397	-100
398	2
399	109
400	1
401	-98
402	2
403	107
404	1
405	-101
406	2
407	105
408	1
409	-102
410	2
411	107
412	1
413	-95
414	2
415	108
416	1
417	-103
418	2
419	106
420	1
421	-108
422	2
423	108
424	1
425	-107
426	2
427	108
428	1
429	-111
430	2
431	105
432	1
433	-116
434	2
435	97
436	1
437	-112
438	2
439	104
440	1
441	-108
442	2
443	106
444	1
445	-110
446	2
447	115
448	1
449	-113
450	2
451	109
452	1
453	-111
454	2
455	117
456	1
457	-113
458	2
459	116
460	1
461	-115
462	2
463	115
464	1
465	-117
466	2
467	116
468	1
469	-115
470	2
471	112
472	1
473	-124
474	2
475	111
476	1
477	-125
478	2
479	109
480	1
481	-122
482	2
483	120
484	1
485	-122
486	2
487	115
488	1
489	126
490	2
491	114
492	1
493	123
494	2
495	103
496	1
497	122
498	2
499	96
500	1
501	115
502	2
503	100
504	1
505	112
506	2
507	107
508	1
509	107
510	2
511	99
512	1
513	100
514	2
515	96
516	1
517	99
518	2
519	96
520	1
521	94
522	2
523	96
524	1
525	93
526	2
527	97
528	1
529	91
530	2
531	94
532	1
533	93
534	2
535	89
536	1
537	91
538	2
539	88
540	1
541	90
542	2
543	84
544	1
545	90
546	2
547	87
548	1
549	89
550	2
551	83
552	1
553	85
554	2
555	86
556	1
557	88
558	2
559	91
560	1
561	93
562	2
563	92
564	1
565	89
566	2
567	102
568	1
569	87
570	2
571	102
572	1
573	87
574	2
575	93
576	1
577	91
578	2
579	102
580	1
581	86
582	2
583	109
584	1
585	89
586	2
587	109
588	1
589	81
590	2
591	105
592	1
593	82
594	2
595	104
596	1
597	86
598	2
599	106
600	1
601	78
602	2
603	101
604	1
605	67
606	2
607	107
608	1
609	71
610	2
611	106
612	1
613	71
614	2
615	106
616	1
617	68
618	2
619	115
620	1
621	69
622	2
623	108
624	1
625	57
626	2
627	104
628	1
629	52
630	2
631	103
632	1
633	55
634	2
635	98
636	1
637	47
638	2
639	93
640	1
641	42
642	2
643	89
644	1
645	37
646	2
647	90
648	1
649	33
650	2
651	97
652	1
653	37
654	2
655	104
656	1
657	29
658	2
659	100
660	1
661	26
662	2
663	92
664	1
665	30
666	2
667	99
668	1
669	29
670	2
671	100
672	1
673	34
674	2
675	100
676	1
677	26
678	2
679	97
680	1
681	27
682	2
683	105
684	1
685	31
686	2
687	111
688	1
689	29
690	2
691	104
692	1
693	31
694	2
695	103
696	1
697	27
698	2
699	101
700	1
701	31
702	2
703	107
704	1
705	27
706	2
707	100
708	1
709	13
710	2
711	89
712	1
713	14
714	2
715	95
716	1
717	12
718	2
719	94
720	1
721	10
722	2
723	96
724	1
725	4
726	2
727	91
728	1
729	7
730	2
731	94
732	1
733	5
734	2
735	97
736	1
737	6
738	2
739	92
740	1
741	8
742	2
743	90
744	1
745	5
746	2
747	84
748	1
749	4
750	2
751	90
752	1
753	6
754	2
755	96
756	1
757	4
758	2
759	97
760	1
761	1
762	2
763	88
764	0
765	-3
766	2
767	92
768	0
769	-9
770	2
771	91
772	0
773	-16
774	2
775	92
776	0
777	-17
778	2
779	90
780	0
781	-18
782	2
783	87
784	0
785	-24
786	2
787	94
788	0
789	-30
790	2
791	86
792	0
793	-32
794	2
795	82
796	0
797	-33
798	2
799	93
800	0
801	-40
802	2
803	91
804	0
805	-45
806	2
807	86
808	0
809	-43
810	2
811	95
812	0
813	-49
814	2
815	89
816	0
817	-50
818	2
819	84
820	0
821	-56
822	2
823	84
824	0
825	-60
826	2
827	81
828	0
829	-61
830	2
831	78
832	0
833	-70
834	2
835	75
836	0
837	-71
838	2
839	81
840	0
841	-72
842	2
843	82
844	0
845	-74
846	2
847	81
848	0
849	-70
850	2
851	77
852	0
853	-70
854	2
855	86
856	0
857	-78
858	2
859	82
860	0
861	-82
862	2
863	72
864	0
865	-86
866	2
867	71
868	0
869	-84
870	2
871	75
872	0
873	-78
874	2
875	75
876	0
877	-75
878	2
879	76
880	0
881	-78
882	2
883	86
884	0
885	-87
886	2
887	85
888	0
889	-87
890	2
891	84
892	0
893	-89
894	2
895	89
896	0
897	-87
898	2
899	85
900	0
901	-83
902	2
903	93
904	0
905	-92
906	2
907	90
908	0
909	-98
910	2
911	81
912	0
913	-103
914	2
915	85
916	0
917	-102
918	2
919	78
920	0
921	-111
922	2
923	83
924	0
925	-115
926	2
927	80
928	0
929	-112
930	2
931	72
932	0
933	-116
934	2
935	76
936	0
937	-116
938	2
939	73
940	0
941	-121
942	2
943	73
944	0
945	-118
946	2
947	77
948	0
949	-120
950	2
951	74
952	0
953	-117
954	2
955	72
956	0
957	-114
958	2
959	82
960	0
961	-118
962	2
963	73
964	0
965	-117
966	2
967	74
968	0
969	-119
970	2
971	72
972	0
973	-121
974	2
975	75
976	0
977	-122
978	2
979	67
980	0
981	-126
982	2
983	65
984	0
985	-126
986	2
987	72
988	0
989	125
990	2
991	70
992	0
993	-127
994	2
995	72
996	0
997	126
998	2
999	71
1000	0
1001	115
1002	2
1003	76
1004	0
1005	118
1006	2
1007	72
1008	0
1009	118
1010	2
1011	69
1012	0
1013	110
1014	2
1015	68
1016	0
1017	105
1018	2
1019	70
1020	0
1021	103
1022	2
1023	64
1024	0
1025	99
1026	2
1027	65
1028	0
1029	96
1030	2
1031	74
1032	0
1033	89
1034	2
1035	64
1036	0
1037	85
1038	2
1039	66
1040	0
1041	81
1042	2
1043	67
1044	0
1045	84
1046	2
1047	59
1048	0
1049	86
1050	2
1051	62
1052	0
1053	86
1054	2
1055	63
1056	0
1057	84
1058	2
1059	62
1060	0
1061	82
1062	2
1063	68
1064	0
1065	97
1066	2
1067	72
1068	0
1069	92
1070	2
1071	69
1072	0
1073	96
1074	2
1075	80
1076	0
1077	95
1078	2
1079	81
1080	0
1081	92
1082	2
1083	72
1084	0
1085	90
1086	2
1087	70
1088	0
1089	89
1090	2
1091	65
1092	0
1093	89
1094	2
1095	70
1096	0
1097	81
1098	2
1099	69
1100	0
1101	75
1102	2
1103	58
1104	0
1105	70
1106	2
1107	53
1108	0
1109	64
1110	2
1111	51
1112	0
1113	55
1114	2
1115	50
1116	0
1117	53
1118	2
1119	50
1120	0
1121	50
1122	2
1123	55
1124	0
1125	39
1126	2
1127	54
1128	0
1129	38
1130	2
1131	48
1132	0
1133	38
1134	2
1135	46
1136	0
1137	50
1138	2
1139	46
1140	0
1141	42
1142	2
1143	50
1144	0
1145	23
1146	2
