Index	Value
0	0
1	21
2	-1
3	-22
4	0
5	16
6	-1
7	-20
8	0
9	14
10	-1
11	-19
12	0
13	14
14	-1
15	-16
16	0
17	20
18	-1
19	-14
20	0
21	19
22	-1
23	-14
24	0
25	15
26	-1
27	-12
28	0
29	19
30	-1
31	-9
32	0
33	21
34	-1
35	-10
36	0
37	22
38	-1
39	-6
40	0
41	18
42	-1
43	-8
44	0
45	25
46	-1
47	-5
48	0
49	23
50	-1
51	-3
52	0
53	20
54	-1
55	-1
56	0
57	22
58	-1
59	-1
60	0
61	22
62	0
63	3
64	0
65	25
66	0
67	5
68	0
69	23
70	0
71	5
72	0
73	24
74	0
75	7
76	0
77	25
78	0
79	5
80	0
81	21
82	0
83	4
84	0
85	21
86	0
87	7
88	0
89	23
90	0
91	5
92	0
93	17
94	0
95	4
96	0
97	18
98	0
99	1
100	0
101	12
102	0
103	1
104	0
105	14
106	0
107	6
108	0
109	11
110	0
111	6
112	0
113	7
114	0
115	7
116	0
117	8
118	0
119	6
120	0
121	16
122	0
123	8
124	0
125	21
126	0
127	6
128	0
129	18
130	0
131	5
132	0
133	21
134	0
135	1
136	0
137	19
138	-1
139	-2
140	0
141	17
142	0
143	2
144	0
145	16
146	0
147	2
148	0
149	18
150	0
151	1
152	0
153	16
154	0
155	0
156	0
157	15
158	0
159	3
160	0
161	3
162	0
163	5
164	0
165	7
166	-1
167	-2
168	0
169	2
170	0
171	5
172	-1
173	-3
174	-1
175	-2
176	0
177	1
178	0
179	2
180	-1
181	-4
182	0
183	4
184	-1
185	-3
186	0
187	10
188	-1
189	-8
190	0
191	8
192	-1
193	-6
194	0
195	3
196	-1
197	-9
198	0
199	8
200	-1
201	-5
202	0
203	6
204	-1
205	-2
206	0
207	15
208	-1
209	-2
210	0
211	15
212	-1
213	-2
214	0
215	18
216	-1
217	-1
218	0
219	18
220	-1
221	-7
222	0
223	15
224	-1
225	-4
226	0
227	15
228	-1
229	-7
230	0
231	17
232	-1
233	-7
234	0
235	16
236	-1
237	-11
238	0
239	19
240	-1
241	-11
242	0
243	20
244	-1
245	-12
246	0
247	17
248	-1
249	-8
250	0
251	20
252	-1
253	-7
254	0
255	21
256	-1
257	-10
258	0
259	20
260	-1
261	-13
262	0
263	26
264	-1
265	-10
266	0
267	28
268	-1
269	-14
270	0
271	30
272	-1
273	-14
274	0
275	28
276	-1
277	-8
278	0
279	37
280	-1
281	-10
282	0
283	44
284	-1
285	-13
286	0
287	40
288	-1
289	-9
290	0
291	46
292	-1
293	-13
294	0
295	40
296	-1
297	-18
298	0
299	46
300	-1
301	-10
302	0
303	46
304	-1
305	-20
306	0
307	46
308	-1
309	-22
310	0
311	44
312	-1
313	-28
314	0
315	36
316	-1
317	-28
318	0
319	41
320	-1
321	-29
322	0
323	42
324	-1
325	-29
326	0
327	44
328	-1
329	-27
330	0
331	49
332	-1
333	-30
334	0
335	50
336	-1
337	-28
338	0
339	51
340	-1
341	-28
342	0
343	49
344	-1
345	-25
346	0
347	56
348	-1
349	-25
350	0
351	53
352	-1
353	-30
354	0
355	52
356	-1
357	-30
358	0
359	58
360	-1
361	-32
362	0
363	53
364	-1
365	-34
366	0
367	51
368	-1
369	-35
370	0
371	57
372	-1
373	-39
374	0
375	56
376	-1
377	-43
378	0
379	57
380	-1
381	-42
382	0
383	61
384	-1
385	-43
386	0
387	58
388	-1
389	-48
390	0
391	55
392	-1
393	-53
394	0
395	55
396	-1
397	-59
398	0
399	57
400	-1
401	-57
402	0
403	61
404	-1
405	-61
406	0
407	58
408	-1
409	-57
410	0
411	57
412	-1
413	-59
414	0
415	53
416	-1
417	-54
418	0
419	54
420	-1
421	-61
422	0
423	51
424	-1
425	-67
426	0
427	46
428	-1
429	-66
430	0
431	46
432	-1
433	-66
434	0
435	46
436	-1
437	-68
438	0
439	46
440	-1
441	-67
442	0
443	47
444	-1
445	-67
446	0
447	44
448	-1
449	-69
450	0
451	48
452	-1
453	-73
454	0
455	49
456	-1
457	-77
458	0
459	51
460	-1
461	-76
462	0
463	48
464	-1
465	-75
466	0
467	51
468	-1
469	-74
470	0
471	51
472	-1
473	-77
474	0
475	50
476	-1
477	-76
478	0
479	57
480	-1
481	-73
482	0
483	62
484	-1
485	-75
486	0
487	57
488	-1
489	-76
490	0
491	57
492	-1
493	-76
494	0
495	63
496	-1
497	-73
498	0
499	60
500	-1
501	-73
502	0
503	63
504	-1
505	-75
506	0
507	66
508	-1
509	-76
510	0
511	70
512	-1
513	-72
514	0
515	73
516	-1
517	-72
518	0
519	76
520	-1
521	-73
522	0
523	77
524	-1
525	-68
526	0
527	74
528	-1
529	-72
530	0
531	71
532	-1
533	-77
534	0
535	72
536	-1
537	-77
538	0
539	72
540	-1
541	-75
542	0
543	75
544	-1
545	-76
546	0
547	77
548	-1
549	-78
550	0
551	74
552	-1
553	-74
554	0
555	79
556	-1
557	-75
558	0
559	77
560	-1
561	-76
562	0
563	81
564	-1
565	-78
566	0
567	80
568	-1
569	-76
570	0
571	80
572	-1
573	-77
574	0
575	75
576	-1
577	-77
578	0
579	73
580	-1
581	-80
582	0
583	77
584	-1
585	-81
586	0
587	68
588	-1
589	-87
590	0
591	68
592	-1
593	-91
594	0
595	66
596	-1
597	-90
598	0
599	68
600	-1
601	-91
602	0
603	66
604	-1
605	-91
606	0
607	69
608	-1
609	-89
610	0
611	66
612	-1
613	-90
614	0
615	72
616	-1
617	-91
618	0
619	75
620	-1
621	-93
622	0
623	68
624	-1
625	-99
626	0
627	70
628	-1
629	-99
630	0
631	69
632	-1
633	-99
634	0
635	70
636	-1
637	-98
638	0
639	67
640	-1
641	-102
642	0
643	73
644	-1
645	-101
646	0
647	75
648	-1
649	-100
650	0
651	77
652	-1
653	-95
654	0
655	79
656	-1
657	-99
658	0
659	80
660	-1
661	-95
662	0
663	77
664	-1
665	-96
666	0
667	82
668	-1
669	-99
670	0
671	80
672	-1
673	-99
674	0
675	80
676	-1
677	-99
678	0
679	83
680	-1
681	-96
682	0
683	80
684	-1
685	-92
686	0
687	86
688	-1
689	-91
690	0
691	88
692	-1
693	-91
694	0
695	89
696	-1
697	-90
698	0
699	86
700	-1
701	-86
702	0
703	91
704	-1
705	-80
706	0
707	85
708	-1
709	-85
710	0
711	93
712	-1
713	-80
714	0
715	91
716	-1
717	-74
718	0
719	92
720	-1
721	-73
722	0
723	94
724	-1
725	-69
726	0
727	97
728	-1
729	-70
730	0
731	93
732	-1
733	-71
734	0
735	94
736	-1
737	-69
738	0
739	97
740	-1
741	-67
742	0
743	97
744	-1
745	-65
746	0
747	100
748	-1
749	-66
750	0
751	101
752	-1
753	-68
754	0
755	102
756	-1
757	-67
758	0
759	99
760	-1
761	-70
762	0
763	103
764	-1
765	-64
766	0
767	104
768	-1
769	-65
770	0
771	108
772	-1
773	-60
774	0
775	106
776	-1
777	-62
778	0
779	113
780	-1
781	-57
782	0
783	115
784	-1
785	-50
786	0
787	116
788	-1
789	-52
790	0
791	117
792	-1
793	-49
794	0
795	112
796	-1
797	-53
798	0
799	111
800	-1
801	-49
802	0
803	108
804	-1
805	-48
806	0
807	111
808	-1
809	-47
810	0
811	114
812	-1
813	-38
814	0
815	117
816	-1
817	-36
818	0
819	114
820	-1
821	-36
822	0
823	115
824	-1
825	-38
826	0
827	113
828	-1
829	-36
830	0
831	111
832	-1
833	-35
834	0
835	114
836	-1
837	-33
838	0
839	109
840	-1
841	-35
842	0
843	110
844	-1
845	-31
846	0
847	112
848	-1
849	-31
850	0
851	111
852	-1
853	-32
854	0
855	111
856	-1
857	-30
858	0
859	109
860	-1
861	-24
862	0
863	112
864	-1
865	-23
866	0
867	114
868	-1
869	-19
870	0
871	119
872	-1
873	-18
874	0
875	118
876	-1
877	-18
878	0
879	121
880	-1
881	-12
882	0
883	120
884	-1
885	-14
886	0
887	119
888	-1
889	-7
890	0
891	124
892	-1
893	-7
894	0
895	126
896	-1
897	-3
898	0
899	124
900	-1
901	-4
902	0
903	126
904	0
905	1
906	0
907	-127
908	0
909	6
910	0
911	127
912	0
913	12
914	0
915	-128
916	0
917	13
918	0
919	-125
920	0
921	12
922	0
923	-121
924	0
925	14
926	0
927	-117
928	0
929	20
930	0
931	-115
932	0
933	16
934	0
935	-117
936	0
937	22
938	0
939	-116
940	0
941	24
942	0
943	-114
944	0
945	22
946	0
947	-111
948	0
949	22
950	0
951	-110
952	0
953	20
954	0
955	-109
956	0
957	17
958	0
959	-112
960	0
961	16
962	0
963	-114
964	0
965	16
966	0
967	-114
968	0
969	13
970	0
971	-118
972	0
973	19
974	0
975	-114
976	0
977	16
978	0
979	-115
980	0
981	14
982	0
983	-114
984	0
985	24
986	0
987	-109
