Index	Value
0	-3
1	-56
2	-7
3	-91
4	-3
5	-69
6	-7
7	-97
8	-3
9	-74
10	-7
11	-112
12	-3
13	-79
14	-7
15	-114
16	-3
17	-88
18	-7
19	-117
20	-3
21	-84
22	-7
23	-121
24	-3
25	-91
26	-7
27	-114
28	-3
29	-102
30	-7
31	-119
32	-3
33	-108
34	-7
35	-126
36	-3
37	-103
38	-7
39	-121
40	-3
41	-112
42	-7
43	-122
44	-3
45	-109
46	-7
47	-123
48	-3
49	-117
50	-7
51	-125
52	-3
53	-123
54	-7
55	-128
56	-3
57	-123
58	-7
59	126
60	-3
61	-118
62	-7
63	123
64	-3
65	-118
66	-7
67	-126
68	-3
69	-121
70	-7
71	121
72	-3
73	-122
74	-7
75	117
76	-3
77	121
78	-7
79	105
80	-3
81	120
82	-7
83	111
84	-3
85	-128
86	-7
87	122
88	-3
89	118
90	-7
91	123
92	-3
93	118
94	-7
95	113
96	-3
97	118
98	-7
99	114
100	-3
101	115
102	-7
103	110
104	-3
105	113
106	-7
107	106
108	-3
109	113
110	-7
111	106
112	-3
113	115
114	-7
115	98
116	-3
117	119
118	-7
119	107
120	-3
121	121
122	-7
123	105
124	-3
125	126
126	-7
127	105
128	-3
129	120
130	-7
131	101
132	-3
133	114
134	-7
135	97
136	-3
137	117
138	-7
139	97
140	-3
141	115
142	-7
143	101
144	-3
145	122
146	-7
147	101
148	-3
149	122
150	-7
151	104
152	-3
153	120
154	-7
155	102
156	-3
157	111
158	-7
159	90
160	-3
161	106
162	-7
163	79
164	-3
165	104
166	-7
167	89
168	-3
169	102
170	-7
171	90
172	-3
173	107
174	-7
175	89
176	-3
177	110
178	-7
179	105
180	-3
181	111
182	-7
183	104
184	-3
185	113
186	-7
187	102
188	-3
189	110
190	-7
191	93
192	-3
193	101
194	-7
195	88
196	-3
197	98
198	-7
199	85
200	-3
201	98
202	-7
203	78
204	-3
205	97
206	-7
207	87
208	-3
209	97
210	-7
211	83
212	-3
213	93
214	-7
215	77
216	-3
217	91
218	-7
219	74
220	-3
221	96
222	-7
223	80
224	-3
225	92
226	-7
227	78
228	-3
229	89
230	-7
231	79
232	-3
233	93
234	-7
235	78
236	-3
237	97
238	-7
239	85
240	-3
241	91
242	-7
243	89
244	-3
245	93
246	-7
247	88
248	-3
249	99
250	-7
251	86
252	-3
253	98
254	-7
255	93
256	-3
257	101
258	-7
259	97
260	-3
261	100
262	-7
263	89
264	-3
265	108
266	-7
267	99
268	-3
269	104
270	-7
271	95
272	-3
273	110
274	-7
275	100
276	-3
277	118
278	-7
279	99
280	-3
281	115
282	-7
283	100
284	-3
285	119
286	-7
287	102
288	-3
289	121
290	-7
291	102
292	-3
293	123
294	-7
295	116
296	-3
297	-128
298	-7
299	118
300	-3
301	126
302	-7
303	117
304	-3
305	-126
306	-7
307	117
308	-3
309	-124
310	-7
311	126
312	-3
313	-121
314	-7
315	125
316	-3
317	-122
318	-7
319	124
320	-3
321	-121
322	-7
323	124
324	-3
325	-112
326	-7
327	-122
328	-3
329	-103
330	-7
331	-115
332	-3
333	-102
334	-7
335	-110
336	-3
337	-98
338	-7
339	-104
340	-3
341	-87
342	-7
343	-94
344	-3
345	-88
346	-7
347	-90
348	-3
349	-88
350	-7
351	-88
352	-3
353	-82
354	-7
355	-79
356	-3
357	-77
358	-7
359	-77
360	-3
361	-79
362	-7
363	-77
364	-3
365	-80
366	-7
367	-74
368	-3
369	-73
370	-7
371	-63
372	-3
373	-73
374	-7
375	-59
376	-3
377	-70
378	-7
379	-57
380	-3
381	-73
382	-7
383	-43
384	-3
385	-71
386	-7
387	-42
388	-3
389	-70
390	-7
391	-42
392	-3
393	-67
394	-7
395	-39
396	-3
397	-68
398	-7
399	-35
400	-3
401	-65
402	-7
403	-31
404	-3
405	-56
406	-7
407	-25
408	-3
409	-59
410	-7
411	-12
412	-3
413	-55
414	-7
415	-6
416	-3
417	-56
418	-7
419	-1
420	-3
421	-53
422	-7
423	-2
424	-3
425	-45
426	-6
427	10
428	-3
429	-37
430	-6
431	15
432	-3
433	-29
434	-6
435	25
436	-3
437	-22
438	-6
439	37
440	-3
441	-16
442	-6
443	47
444	-3
445	-8
446	-6
447	67
448	-3
449	-8
450	-6
451	69
452	-3
453	-6
454	-6
455	68
456	-3
457	-4
458	-6
459	75
460	-3
461	-9
462	-6
463	80
464	-3
465	-9
466	-6
467	81
468	-3
469	-10
470	-6
471	91
472	-3
473	-8
474	-6
475	107
476	-3
477	-8
478	-6
479	111
480	-3
481	-3
482	-6
483	127
484	-3
485	-1
486	-6
487	-126
488	-2
489	2
490	-6
491	126
492	-2
493	4
494	-6
495	-123
496	-2
497	5
498	-6
499	-112
500	-2
501	6
502	-6
503	-110
504	-2
505	10
506	-6
507	-100
508	-2
509	11
510	-6
511	-84
512	-2
513	18
514	-6
515	-75
516	-2
517	14
518	-6
519	-65
520	-2
521	8
522	-6
523	-56
524	-2
525	11
526	-6
527	-47
528	-2
529	13
530	-6
531	-36
532	-2
533	13
534	-6
535	-23
536	-2
537	15
538	-6
539	-15
540	-2
541	18
542	-6
543	-2
544	-2
545	18
546	-5
547	6
548	-2
549	25
550	-5
551	20
552	-2
553	23
554	-5
555	24
556	-2
557	20
558	-5
559	38
560	-2
561	21
562	-5
563	43
564	-2
565	32
566	-5
567	59
568	-2
569	42
570	-5
571	71
572	-2
573	43
574	-5
575	74
576	-2
577	41
578	-5
579	86
580	-2
581	41
582	-5
583	88
584	-2
585	37
586	-5
587	98
588	-2
589	41
590	-5
591	107
592	-2
593	52
594	-5
595	126
596	-2
597	43
598	-5
599	-117
600	-2
601	39
602	-5
603	-112
604	-2
605	44
606	-5
607	-99
608	-2
609	45
610	-5
611	-91
612	-2
613	51
614	-5
615	-80
616	-2
617	53
618	-5
619	-77
620	-2
621	39
622	-5
623	-69
624	-2
625	37
626	-5
627	-57
628	-2
629	43
630	-5
631	-47
632	-2
633	41
634	-5
635	-37
636	-2
637	43
638	-5
639	-30
640	-2
641	47
642	-5
643	-20
644	-2
645	45
646	-5
647	-9
648	-2
649	40
650	-5
651	-8
652	-2
653	50
654	-4
655	4
656	-2
657	52
658	-4
659	20
660	-2
661	53
662	-4
663	19
664	-2
665	48
666	-4
667	26
668	-2
669	48
670	-4
671	42
672	-2
673	52
674	-4
675	57
676	-2
677	53
678	-4
679	61
680	-2
681	46
682	-4
683	76
684	-2
685	46
686	-4
687	93
688	-2
689	46
690	-4
691	97
692	-2
693	35
694	-4
695	97
696	-2
697	39
698	-4
699	110
700	-2
701	38
702	-4
703	121
704	-2
705	31
706	-4
707	126
708	-2
709	32
710	-4
711	-116
712	-2
713	37
714	-4
715	-108
716	-2
717	34
718	-4
719	-91
720	-2
721	27
722	-4
723	-76
724	-2
725	30
726	-4
727	-73
728	-2
729	26
730	-4
731	-61
732	-2
733	22
734	-4
735	-56
736	-2
737	23
738	-4
739	-53
740	-2
741	22
742	-4
743	-44
744	-2
745	19
746	-4
747	-36
748	-2
749	17
750	-4
751	-35
752	-2
753	10
754	-4
755	-18
756	-2
757	12
758	-4
759	-3
760	-2
761	18
762	-3
763	3
764	-2
765	15
766	-3
767	20
768	-2
769	8
770	-3
771	28
772	-2
773	9
774	-3
775	29
776	-3
777	-2
778	-3
779	33
780	-3
781	-13
782	-3
783	47
784	-3
785	-9
786	-3
787	65
788	-3
789	-9
790	-3
791	66
792	-3
793	-18
794	-3
795	70
796	-3
797	-20
798	-3
799	86
800	-3
801	-27
802	-3
803	92
804	-3
805	-32
806	-3
807	95
808	-3
809	-35
810	-3
811	101
812	-3
813	-35
814	-3
815	118
816	-3
817	-39
818	-3
819	127
820	-3
821	-37
822	-3
823	-109
824	-3
825	-37
826	-3
827	-103
828	-3
829	-51
830	-3
831	-100
832	-3
833	-50
834	-3
835	-91
836	-3
837	-51
838	-3
839	-77
840	-3
841	-43
842	-3
843	-59
844	-3
845	-44
846	-3
847	-38
848	-3
849	-48
850	-3
851	-26
852	-3
853	-57
854	-3
855	-28
856	-3
857	-64
858	-3
859	-26
860	-3
861	-63
862	-3
863	-11
864	-3
865	-73
866	-3
867	-14
868	-3
869	-69
870	-3
871	-1
872	-3
873	-67
874	-2
875	20
876	-3
877	-74
878	-2
879	26
880	-3
881	-84
882	-2
883	35
884	-3
885	-82
886	-2
887	38
888	-3
889	-85
890	-2
891	43
892	-3
893	-85
894	-2
895	62
896	-3
897	-83
898	-2
899	65
900	-3
901	-96
902	-2
903	74
904	-3
905	-106
906	-2
907	78
908	-3
909	-109
910	-2
911	82
912	-3
913	-118
914	-2
915	92
916	-3
917	-124
918	-2
919	101
920	-3
921	-126
922	-2
923	107
924	-3
925	121
926	-2
927	113
928	-3
929	122
930	-2
931	126
932	-3
933	113
934	-2
935	-123
936	-3
937	109
938	-2
939	-112
940	-3
941	107
942	-2
943	-111
944	-3
945	106
946	-2
947	-107
948	-3
949	96
950	-2
951	-102
952	-3
953	89
954	-2
955	-91
956	-3
957	80
958	-2
959	-89
960	-3
961	68
962	-2
963	-81
964	-3
965	68
966	-2
967	-67
968	-3
969	70
970	-2
971	-57
972	-3
973	59
974	-2
975	-57
976	-3
977	49
978	-2
979	-50
980	-3
981	47
982	-2
983	-42
984	-3
985	44
986	-2
987	-40
988	-3
989	37
990	-2
991	-34
992	-3
993	39
994	-2
995	-23
996	-3
997	33
998	-2
999	-15
1000	-3
1001	23
1002	-2
1003	-3
1004	-3
1005	24
1006	-1
1007	9
1008	-3
1009	21
1010	-1
1011	15
1012	-3
1013	14
1014	-1
1015	16
1016	-3
1017	16
1018	-1
1019	31
1020	-3
1021	24
1022	-1
1023	47
1024	-3
1025	23
1026	-1
1027	53
1028	-3
1029	17
1030	-1
1031	57
1032	-3
1033	18
1034	-1
1035	64
1036	-3
1037	16
1038	-1
1039	70
1040	-3
1041	6
1042	-1
1043	75
1044	-3
1045	12
1046	-1
1047	94
1048	-3
1049	15
1050	-1
1051	103
1052	-3
1053	3
1054	-1
1055	102
1056	-3
1057	3
1058	-1
1059	112
1060	-3
1061	2
1062	-1
1063	124
1064	-4
1065	-8
1066	-1
1067	125
1068	-4
1069	-4
1070	-1
1071	-120
1072	-4
1073	-4
1074	-1
1075	-108
1076	-4
1077	-7
1078	-1
1079	-114
1080	-4
1081	-18
1082	-1
1083	-114
1084	-4
1085	-16
1086	-1
1087	-102
1088	-4
1089	-20
1090	-1
1091	-90
1092	-4
1093	-20
1094	-1
1095	-85
1096	-4
1097	-26
1098	-1
1099	-74
1100	-4
1101	-28
1102	-1
1103	-66
1104	-4
1105	-27
1106	-1
1107	-69
1108	-4
1109	-30
1110	-1
1111	-56
1112	-4
1113	-24
1114	-1
1115	-44
1116	-4
1117	-33
1118	-1
1119	-44
1120	-4
1121	-34
1122	-1
1123	-37
1124	-4
1125	-29
1126	-1
1127	-30
1128	-4
1129	-28
1130	-1
1131	-19
1132	-4
1133	-27
1134	-1
1135	-11
1136	-4
1137	-33
1138	-1
1139	-10
1140	-4
1141	-35
1142	-1
1143	-3
1144	-4
1145	-32
1146	0
1147	13
1148	-4
1149	-33
1150	0
1151	20
1152	-4
1153	-40
1154	0
1155	25
1156	-4
1157	-45
1158	0
1159	24
1160	-4
1161	-41
1162	0
1163	31
1164	-4
1165	-38
1166	0
1167	44
1168	-4
1169	-37
1170	0
1171	47
1172	-4
1173	-38
1174	0
1175	65
1176	-4
1177	-39
1178	0
1179	72
1180	-4
1181	-32
1182	0
1183	75
1184	-4
1185	-41
1186	0
1187	76
1188	-4
1189	-44
1190	0
1191	79
1192	-4
1193	-45
1194	0
1195	84
1196	-4
1197	-50
1198	0
1199	89
1200	-4
1201	-47
1202	0
1203	103
1204	-4
1205	-39
1206	0
1207	114
1208	-4
1209	-39
1210	0
1211	121
1212	-4
1213	-40
1214	0
1215	-128
1216	-4
1217	-35
1218	0
1219	-121
1220	-4
1221	-34
1222	0
1223	-116
1224	-4
1225	-28
1226	0
1227	-114
1228	-4
1229	-27
1230	0
1231	-105
1232	-4
1233	-19
1234	0
1235	-87
1236	-4
1237	-25
1238	0
1239	-77
1240	-4
1241	-25
1242	0
1243	-80
1244	-4
1245	-17
1246	0
1247	-68
1248	-4
1249	-14
1250	0
1251	-65
1252	-4
1253	-9
1254	0
1255	-53
1256	-4
1257	-2
1258	0
1259	-45
1260	-4
1261	-1
1262	0
1263	-33
1264	-3
1265	4
1266	0
1267	-24
1268	-3
1269	8
1270	0
1271	-26
1272	-3
1273	6
1274	0
1275	-31
1276	-3
1277	12
1278	0
1279	-17
1280	-3
1281	14
1282	0
1283	-8
1284	-3
1285	23
1286	1
1287	4
1288	-3
1289	16
1290	1
1291	11
1292	-3
1293	17
1294	1
1295	13
1296	-3
1297	17
1298	1
1299	15
1300	-3
1301	15
1302	1
1303	25
1304	-3
1305	26
1306	1
1307	34
1308	-3
1309	17
1310	1
1311	37
1312	-3
1313	21
1314	1
1315	48
1316	-3
1317	30
1318	1
1319	53
1320	-3
1321	32
1322	1
1323	56
1324	-3
1325	30
1326	1
1327	63
1328	-3
1329	40
1330	1
1331	74
1332	-3
1333	56
1334	1
1335	79
1336	-3
1337	46
1338	1
1339	84
1340	-3
1341	51
1342	1
1343	93
1344	-3
1345	58
1346	1
1347	107
1348	-3
1349	59
1350	1
1351	119
1352	-3
1353	67
1354	1
1355	-127
1356	-3
1357	75
1358	1
1359	-122
1360	-3
1361	84
1362	1
1363	-114
1364	-3
1365	82
1366	1
1367	-112
1368	-3
1369	87
1370	1
1371	-107
1372	-3
1373	87
1374	1
1375	-90
1376	-3
1377	89
1378	1
1379	-80
1380	-3
1381	90
1382	1
1383	-76
1384	-3
1385	91
1386	1
1387	-64
1388	-3
1389	94
1390	1
1391	-68
1392	-3
1393	94
1394	1
1395	-61
1396	-3
1397	94
1398	1
1399	-54
1400	-3
1401	93
1402	1
1403	-44
1404	-3
1405	101
1406	1
1407	-29
1408	-3
1409	102
1410	1
1411	-14
1412	-3
1413	111
1414	1
1415	-1
1416	-3
1417	111
1418	1
1419	-1
1420	-3
1421	119
1422	2
1423	18
1424	-3
1425	126
1426	2
1427	26
1428	-3
1429	-128
1430	2
1431	32
1432	-3
1433	-122
1434	2
1435	41
1436	-3
1437	-116
1438	2
1439	47
1440	-3
1441	-116
1442	2
1443	54
1444	-3
1445	-108
1446	2
1447	64
1448	-3
1449	-101
1450	2
1451	86
1452	-3
1453	-98
1454	2
1455	90
1456	-3
1457	-98
1458	2
1459	91
1460	-3
1461	-95
1462	2
1463	103
1464	-3
1465	-92
1466	2
1467	114
1468	-3
1469	-92
1470	2
1471	120
1472	-3
1473	-84
1474	2
1475	-123
1476	-3
1477	-84
1478	2
1479	-118
1480	-3
1481	-74
1482	2
1483	-117
1484	-3
1485	-77
1486	2
1487	-107
1488	-3
1489	-72
1490	2
1491	-97
1492	-3
1493	-73
1494	2
1495	-87
1496	-3
1497	-76
1498	2
1499	-86
1500	-3
1501	-79
1502	2
1503	-82
1504	-3
1505	-81
1506	2
1507	-76
1508	-3
1509	-77
1510	2
1511	-65
1512	-3
1513	-78
1514	2
1515	-60
1516	-3
1517	-79
1518	2
1519	-54
1520	-3
1521	-72
1522	2
1523	-47
1524	-3
1525	-68
1526	2
1527	-36
1528	-3
1529	-64
1530	2
1531	-33
1532	-3
1533	-50
1534	2
1535	-22
1536	-3
1537	-51
1538	2
1539	-23
1540	-3
1541	-45
1542	2
1543	-13
1544	-3
1545	-40
1546	3
1547	0
1548	-3
1549	-26
1550	3
1551	11
1552	-3
1553	-27
1554	3
1555	17
1556	-3
1557	-22
1558	3
1559	27
1560	-3
1561	-17
1562	3
1563	38
1564	-3
1565	-17
1566	3
1567	45
1568	-3
1569	-8
1570	3
1571	50
1572	-3
1573	-8
1574	3
1575	54
1576	-3
1577	-10
1578	3
1579	61
1580	-3
1581	-12
1582	3
1583	62
1584	-3
1585	-11
1586	3
1587	69
1588	-3
1589	-4
1590	3
1591	76
1592	-3
1593	-5
1594	3
1595	79
1596	-3
1597	-4
1598	3
1599	85
1600	-2
1601	3
1602	3
1603	101
1604	-2
1605	6
1606	3
1607	102
1608	-2
1609	7
1610	3
1611	105
1612	-2
1613	14
1614	3
1615	117
1616	-2
1617	14
1618	3
1619	121
1620	-2
1621	15
1622	3
1623	121
1624	-2
1625	13
1626	3
1627	125
1628	-2
1629	13
1630	3
1631	-126
1632	-2
1633	3
1634	3
1635	127
1636	-3
1637	-1
1638	3
1639	127
1640	-3
1641	-8
1642	3
1643	-121
1644	-3
1645	-10
1646	3
1647	-115
1648	-3
1649	-12
1650	3
1651	-108
1652	-3
1653	-28
1654	3
1655	-112
1656	-3
1657	-26
1658	3
1659	-114
1660	-3
1661	-24
1662	3
1663	-106
1664	-3
1665	-23
1666	3
1667	-105
1668	-3
1669	-23
1670	3
1671	-95
1672	-3
1673	-23
1674	3
1675	-90
1676	-3
1677	-22
1678	3
1679	-84
1680	-3
1681	-30
1682	3
1683	-84
1684	-3
1685	-23
1686	3
1687	-77
1688	-3
1689	-20
1690	3
1691	-73
1692	-3
1693	-25
1694	3
1695	-74
1696	-3
1697	-15
1698	3
1699	-71
1700	-3
1701	-14
1702	3
1703	-68
1704	-3
1705	-18
1706	3
1707	-62
1708	-3
1709	-22
1710	3
1711	-71
1712	-3
1713	-22
1714	3
1715	-69
1716	-3
1717	-25
1718	3
1719	-74
1720	-3
1721	-22
1722	3
1723	-74
1724	-3
1725	-19
1726	3
1727	-65
1728	-3
1729	-16
1730	3
1731	-63
1732	-3
1733	-12
1734	3
1735	-60
1736	-3
1737	-15
1738	3
1739	-56
1740	-3
1741	-19
1742	3
1743	-59
1744	-3
1745	-15
1746	3
1747	-57
1748	-3
1749	-9
1750	3
1751	-49
1752	-3
1753	-11
1754	3
1755	-47
1756	-3
1757	-11
1758	3
1759	-52
1760	-3
1761	-7
1762	3
1763	-48
1764	-3
1765	-6
1766	3
1767	-51
1768	-3
1769	-9
1770	3
1771	-51
1772	-3
1773	-7
1774	3
1775	-50
1776	-3
1777	-11
1778	3
1779	-48
1780	-3
1781	-17
1782	3
1783	-54
1784	-3
1785	-11
1786	3
1787	-54
1788	-3
1789	-12
1790	3
1791	-51
1792	-3
1793	-11
1794	3
1795	-50
1796	-3
1797	-14
1798	3
1799	-58
1800	-3
1801	-15
1802	3
